group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,193021.0,ns,204
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,394089.0,ns,408
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,477143.0,ns,612
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,1231256.0,ns,816
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,694659.0,ns,1020
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,991219.0,ns,1224
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,944322.0,ns,1428
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,1622283.0,ns,1632
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,1379222.0,ns,1836
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,1919617.0,ns,2040
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3096859.0,ns,2244
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,1545131.0,ns,2448
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3081145.0,ns,2652
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3181954.0,ns,2856
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,5072070.0,ns,3060
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3799614.0,ns,3264
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3788254.0,ns,3468
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,2442996.0,ns,3672
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3990339.0,ns,3876
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3513332.0,ns,4080
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6943295.0,ns,4284
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,5620186.0,ns,4488
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3058602.0,ns,4692
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,4015836.0,ns,4896
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,5125270.0,ns,5100
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6194715.0,ns,5304
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3942722.0,ns,5508
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,3985175.0,ns,5712
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6331402.0,ns,5916
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,4233477.0,ns,6120
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6187291.0,ns,6324
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,5206661.0,ns,6528
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,11075573.0,ns,6732
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6959253.0,ns,6936
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,4693313.0,ns,7140
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,11927618.0,ns,7344
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6783433.0,ns,7548
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,5261309.0,ns,7752
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6530074.0,ns,7956
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,13540043.0,ns,8160
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,13946580.0,ns,8364
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,8118580.0,ns,8568
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,14581953.0,ns,8772
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,8130815.0,ns,8976
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,10813144.0,ns,9180
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,8163446.0,ns,9384
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6505397.0,ns,9588
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,8872562.0,ns,9792
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6314879.0,ns,9996
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,12367328.0,ns,10200
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,6981627.0,ns,10404
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,8059447.0,ns,10608
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,10661730.0,ns,10812
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,16089181.0,ns,11016
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,7642650.0,ns,11220
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,9077104.0,ns,11424
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,19061601.0,ns,11628
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,15641167.0,ns,11832
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,14225496.0,ns,12036
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,13964104.0,ns,12240
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,9914205.0,ns,12444
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,14075180.0,ns,12648
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,21200274.0,ns,12852
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,15288087.0,ns,13056
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,11359499.0,ns,13260
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,13726306.0,ns,13464
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,11729106.0,ns,13668
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,23227011.0,ns,13872
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,10959614.0,ns,14076
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,18053644.0,ns,14280
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,9651147.0,ns,14484
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,16863008.0,ns,14688
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,23437234.0,ns,14892
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,15727317.0,ns,15096
distr_random_i128,ChaCha8Rng,Canon-Unbiased,,,19038998.0,ns,15300
