group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,ChaCha8Rng,Canon-reduced,,,206799.0,ns,228
distr_random_i128,ChaCha8Rng,Canon-reduced,,,338680.0,ns,456
distr_random_i128,ChaCha8Rng,Canon-reduced,,,593145.0,ns,684
distr_random_i128,ChaCha8Rng,Canon-reduced,,,1099984.0,ns,912
distr_random_i128,ChaCha8Rng,Canon-reduced,,,1351794.0,ns,1140
distr_random_i128,ChaCha8Rng,Canon-reduced,,,1589259.0,ns,1368
distr_random_i128,ChaCha8Rng,Canon-reduced,,,1103428.0,ns,1596
distr_random_i128,ChaCha8Rng,Canon-reduced,,,1852605.0,ns,1824
distr_random_i128,ChaCha8Rng,Canon-reduced,,,1885715.0,ns,2052
distr_random_i128,ChaCha8Rng,Canon-reduced,,,1582407.0,ns,2280
distr_random_i128,ChaCha8Rng,Canon-reduced,,,1713090.0,ns,2508
distr_random_i128,ChaCha8Rng,Canon-reduced,,,2509777.0,ns,2736
distr_random_i128,ChaCha8Rng,Canon-reduced,,,3494772.0,ns,2964
distr_random_i128,ChaCha8Rng,Canon-reduced,,,2745651.0,ns,3192
distr_random_i128,ChaCha8Rng,Canon-reduced,,,2596679.0,ns,3420
distr_random_i128,ChaCha8Rng,Canon-reduced,,,2467605.0,ns,3648
distr_random_i128,ChaCha8Rng,Canon-reduced,,,2612482.0,ns,3876
distr_random_i128,ChaCha8Rng,Canon-reduced,,,4018811.0,ns,4104
distr_random_i128,ChaCha8Rng,Canon-reduced,,,4493756.0,ns,4332
distr_random_i128,ChaCha8Rng,Canon-reduced,,,5499933.0,ns,4560
distr_random_i128,ChaCha8Rng,Canon-reduced,,,4845385.0,ns,4788
distr_random_i128,ChaCha8Rng,Canon-reduced,,,5525349.0,ns,5016
distr_random_i128,ChaCha8Rng,Canon-reduced,,,4949446.0,ns,5244
distr_random_i128,ChaCha8Rng,Canon-reduced,,,4338046.0,ns,5472
distr_random_i128,ChaCha8Rng,Canon-reduced,,,3769986.0,ns,5700
distr_random_i128,ChaCha8Rng,Canon-reduced,,,5916016.0,ns,5928
distr_random_i128,ChaCha8Rng,Canon-reduced,,,4429164.0,ns,6156
distr_random_i128,ChaCha8Rng,Canon-reduced,,,5659176.0,ns,6384
distr_random_i128,ChaCha8Rng,Canon-reduced,,,7081633.0,ns,6612
distr_random_i128,ChaCha8Rng,Canon-reduced,,,4854770.0,ns,6840
distr_random_i128,ChaCha8Rng,Canon-reduced,,,7052372.0,ns,7068
distr_random_i128,ChaCha8Rng,Canon-reduced,,,7937109.0,ns,7296
distr_random_i128,ChaCha8Rng,Canon-reduced,,,5595632.0,ns,7524
distr_random_i128,ChaCha8Rng,Canon-reduced,,,9276311.0,ns,7752
distr_random_i128,ChaCha8Rng,Canon-reduced,,,9693873.0,ns,7980
distr_random_i128,ChaCha8Rng,Canon-reduced,,,6156726.0,ns,8208
distr_random_i128,ChaCha8Rng,Canon-reduced,,,8111132.0,ns,8436
distr_random_i128,ChaCha8Rng,Canon-reduced,,,7327677.0,ns,8664
distr_random_i128,ChaCha8Rng,Canon-reduced,,,6591298.0,ns,8892
distr_random_i128,ChaCha8Rng,Canon-reduced,,,5835851.0,ns,9120
distr_random_i128,ChaCha8Rng,Canon-reduced,,,11293797.0,ns,9348
distr_random_i128,ChaCha8Rng,Canon-reduced,,,6685062.0,ns,9576
distr_random_i128,ChaCha8Rng,Canon-reduced,,,6844700.0,ns,9804
distr_random_i128,ChaCha8Rng,Canon-reduced,,,10789834.0,ns,10032
distr_random_i128,ChaCha8Rng,Canon-reduced,,,7905206.0,ns,10260
distr_random_i128,ChaCha8Rng,Canon-reduced,,,12632212.0,ns,10488
distr_random_i128,ChaCha8Rng,Canon-reduced,,,7538312.0,ns,10716
distr_random_i128,ChaCha8Rng,Canon-reduced,,,11720822.0,ns,10944
distr_random_i128,ChaCha8Rng,Canon-reduced,,,9921693.0,ns,11172
distr_random_i128,ChaCha8Rng,Canon-reduced,,,10775242.0,ns,11400
distr_random_i128,ChaCha8Rng,Canon-reduced,,,8442652.0,ns,11628
distr_random_i128,ChaCha8Rng,Canon-reduced,,,13525311.0,ns,11856
distr_random_i128,ChaCha8Rng,Canon-reduced,,,14071209.0,ns,12084
distr_random_i128,ChaCha8Rng,Canon-reduced,,,13542068.0,ns,12312
distr_random_i128,ChaCha8Rng,Canon-reduced,,,8332965.0,ns,12540
distr_random_i128,ChaCha8Rng,Canon-reduced,,,13856661.0,ns,12768
distr_random_i128,ChaCha8Rng,Canon-reduced,,,9271323.0,ns,12996
distr_random_i128,ChaCha8Rng,Canon-reduced,,,16081674.0,ns,13224
distr_random_i128,ChaCha8Rng,Canon-reduced,,,11970457.0,ns,13452
distr_random_i128,ChaCha8Rng,Canon-reduced,,,14384370.0,ns,13680
distr_random_i128,ChaCha8Rng,Canon-reduced,,,10348005.0,ns,13908
distr_random_i128,ChaCha8Rng,Canon-reduced,,,15098056.0,ns,14136
distr_random_i128,ChaCha8Rng,Canon-reduced,,,13728152.0,ns,14364
distr_random_i128,ChaCha8Rng,Canon-reduced,,,13693858.0,ns,14592
distr_random_i128,ChaCha8Rng,Canon-reduced,,,10391326.0,ns,14820
distr_random_i128,ChaCha8Rng,Canon-reduced,,,11199350.0,ns,15048
distr_random_i128,ChaCha8Rng,Canon-reduced,,,17311284.0,ns,15276
distr_random_i128,ChaCha8Rng,Canon-reduced,,,11114708.0,ns,15504
distr_random_i128,ChaCha8Rng,Canon-reduced,,,12219001.0,ns,15732
distr_random_i128,ChaCha8Rng,Canon-reduced,,,13587861.0,ns,15960
distr_random_i128,ChaCha8Rng,Canon-reduced,,,18291822.0,ns,16188
distr_random_i128,ChaCha8Rng,Canon-reduced,,,11640048.0,ns,16416
distr_random_i128,ChaCha8Rng,Canon-reduced,,,13824948.0,ns,16644
distr_random_i128,ChaCha8Rng,Canon-reduced,,,15016979.0,ns,16872
distr_random_i128,ChaCha8Rng,Canon-reduced,,,14986759.0,ns,17100
distr_random_i128,ChaCha8Rng,Canon-reduced,,,12342845.0,ns,17328
distr_random_i128,ChaCha8Rng,Canon-reduced,,,12014583.0,ns,17556
distr_random_i128,ChaCha8Rng,Canon-reduced,,,17796285.0,ns,17784
distr_random_i128,ChaCha8Rng,Canon-reduced,,,12937311.0,ns,18012
distr_random_i128,ChaCha8Rng,Canon-reduced,,,15273838.0,ns,18240
distr_random_i128,ChaCha8Rng,Canon-reduced,,,13584207.0,ns,18468
distr_random_i128,ChaCha8Rng,Canon-reduced,,,22753928.0,ns,18696
distr_random_i128,ChaCha8Rng,Canon-reduced,,,16090724.0,ns,18924
distr_random_i128,ChaCha8Rng,Canon-reduced,,,19324763.0,ns,19152
distr_random_i128,ChaCha8Rng,Canon-reduced,,,20077194.0,ns,19380
distr_random_i128,ChaCha8Rng,Canon-reduced,,,15230416.0,ns,19608
distr_random_i128,ChaCha8Rng,Canon-reduced,,,16364040.0,ns,19836
distr_random_i128,ChaCha8Rng,Canon-reduced,,,14633193.0,ns,20064
distr_random_i128,ChaCha8Rng,Canon-reduced,,,19996559.0,ns,20292
distr_random_i128,ChaCha8Rng,Canon-reduced,,,21208126.0,ns,20520
distr_random_i128,ChaCha8Rng,Canon-reduced,,,17182466.0,ns,20748
distr_random_i128,ChaCha8Rng,Canon-reduced,,,24740026.0,ns,20976
distr_random_i128,ChaCha8Rng,Canon-reduced,,,19038593.0,ns,21204
distr_random_i128,ChaCha8Rng,Canon-reduced,,,25850632.0,ns,21432
distr_random_i128,ChaCha8Rng,Canon-reduced,,,17564884.0,ns,21660
distr_random_i128,ChaCha8Rng,Canon-reduced,,,26130813.0,ns,21888
distr_random_i128,ChaCha8Rng,Canon-reduced,,,18906085.0,ns,22116
distr_random_i128,ChaCha8Rng,Canon-reduced,,,24940531.0,ns,22344
distr_random_i128,ChaCha8Rng,Canon-reduced,,,16773272.0,ns,22572
distr_random_i128,ChaCha8Rng,Canon-reduced,,,18691297.0,ns,22800
