group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,ChaCha8Rng,Canon32,,,156302.0,ns,188
distr_random_i128,ChaCha8Rng,Canon32,,,339836.0,ns,376
distr_random_i128,ChaCha8Rng,Canon32,,,633738.0,ns,564
distr_random_i128,ChaCha8Rng,Canon32,,,1057236.0,ns,752
distr_random_i128,ChaCha8Rng,Canon32,,,1022471.0,ns,940
distr_random_i128,ChaCha8Rng,Canon32,,,1129290.0,ns,1128
distr_random_i128,ChaCha8Rng,Canon32,,,1171208.0,ns,1316
distr_random_i128,ChaCha8Rng,Canon32,,,1069320.0,ns,1504
distr_random_i128,ChaCha8Rng,Canon32,,,2159204.0,ns,1692
distr_random_i128,ChaCha8Rng,Canon32,,,2650146.0,ns,1880
distr_random_i128,ChaCha8Rng,Canon32,,,1642466.0,ns,2068
distr_random_i128,ChaCha8Rng,Canon32,,,1942748.0,ns,2256
distr_random_i128,ChaCha8Rng,Canon32,,,2235104.0,ns,2444
distr_random_i128,ChaCha8Rng,Canon32,,,2739501.0,ns,2632
distr_random_i128,ChaCha8Rng,Canon32,,,3537487.0,ns,2820
distr_random_i128,ChaCha8Rng,Canon32,,,2600877.0,ns,3008
distr_random_i128,ChaCha8Rng,Canon32,,,4472243.0,ns,3196
distr_random_i128,ChaCha8Rng,Canon32,,,2925705.0,ns,3384
distr_random_i128,ChaCha8Rng,Canon32,,,5034171.0,ns,3572
distr_random_i128,ChaCha8Rng,Canon32,,,5267067.0,ns,3760
distr_random_i128,ChaCha8Rng,Canon32,,,2742101.0,ns,3948
distr_random_i128,ChaCha8Rng,Canon32,,,3684795.0,ns,4136
distr_random_i128,ChaCha8Rng,Canon32,,,3267058.0,ns,4324
distr_random_i128,ChaCha8Rng,Canon32,,,6420557.0,ns,4512
distr_random_i128,ChaCha8Rng,Canon32,,,4125630.0,ns,4700
distr_random_i128,ChaCha8Rng,Canon32,,,3424011.0,ns,4888
distr_random_i128,ChaCha8Rng,Canon32,,,5506908.0,ns,5076
distr_random_i128,ChaCha8Rng,Canon32,,,6623693.0,ns,5264
distr_random_i128,ChaCha8Rng,Canon32,,,7445514.0,ns,5452
distr_random_i128,ChaCha8Rng,Canon32,,,4610954.0,ns,5640
distr_random_i128,ChaCha8Rng,Canon32,,,4716745.0,ns,5828
distr_random_i128,ChaCha8Rng,Canon32,,,4777974.0,ns,6016
distr_random_i128,ChaCha8Rng,Canon32,,,8502773.0,ns,6204
