group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,Pcg32,Bitmask,,,85837.0,ns,130
distr_random_i128,Pcg32,Bitmask,,,422459.0,ns,260
distr_random_i128,Pcg32,Bitmask,,,357070.0,ns,390
distr_random_i128,Pcg32,Bitmask,,,745002.0,ns,520
distr_random_i128,Pcg32,Bitmask,,,580116.0,ns,650
distr_random_i128,Pcg32,Bitmask,,,697747.0,ns,780
distr_random_i128,Pcg32,Bitmask,,,1491473.0,ns,910
distr_random_i128,Pcg32,Bitmask,,,963343.0,ns,1040
distr_random_i128,Pcg32,Bitmask,,,1960200.0,ns,1170
distr_random_i128,Pcg32,Bitmask,,,1910399.0,ns,1300
distr_random_i128,Pcg32,Bitmask,,,1750434.0,ns,1430
distr_random_i128,Pcg32,Bitmask,,,1041846.0,ns,1560
distr_random_i128,Pcg32,Bitmask,,,1812453.0,ns,1690
distr_random_i128,Pcg32,Bitmask,,,2848491.0,ns,1820
distr_random_i128,Pcg32,Bitmask,,,2066599.0,ns,1950
distr_random_i128,Pcg32,Bitmask,,,1953479.0,ns,2080
distr_random_i128,Pcg32,Bitmask,,,3583929.0,ns,2210
distr_random_i128,Pcg32,Bitmask,,,3312351.0,ns,2340
distr_random_i128,Pcg32,Bitmask,,,2502189.0,ns,2470
distr_random_i128,Pcg32,Bitmask,,,4519397.0,ns,2600
distr_random_i128,Pcg32,Bitmask,,,3707388.0,ns,2730
distr_random_i128,Pcg32,Bitmask,,,2998296.0,ns,2860
distr_random_i128,Pcg32,Bitmask,,,3398740.0,ns,2990
distr_random_i128,Pcg32,Bitmask,,,2839484.0,ns,3120
distr_random_i128,Pcg32,Bitmask,,,5028208.0,ns,3250
distr_random_i128,Pcg32,Bitmask,,,2397734.0,ns,3380
distr_random_i128,Pcg32,Bitmask,,,5215351.0,ns,3510
distr_random_i128,Pcg32,Bitmask,,,6180293.0,ns,3640
distr_random_i128,Pcg32,Bitmask,,,6763037.0,ns,3770
distr_random_i128,Pcg32,Bitmask,,,6422943.0,ns,3900
distr_random_i128,Pcg32,Bitmask,,,3127302.0,ns,4030
distr_random_i128,Pcg32,Bitmask,,,3187898.0,ns,4160
distr_random_i128,Pcg32,Bitmask,,,3353509.0,ns,4290
distr_random_i128,Pcg32,Bitmask,,,5241415.0,ns,4420
distr_random_i128,Pcg32,Bitmask,,,6603204.0,ns,4550
distr_random_i128,Pcg32,Bitmask,,,3509765.0,ns,4680
distr_random_i128,Pcg32,Bitmask,,,3914951.0,ns,4810
distr_random_i128,Pcg32,Bitmask,,,6151817.0,ns,4940
distr_random_i128,Pcg32,Bitmask,,,8162838.0,ns,5070
distr_random_i128,Pcg32,Bitmask,,,3267344.0,ns,5200
distr_random_i128,Pcg32,Bitmask,,,8516468.0,ns,5330
distr_random_i128,Pcg32,Bitmask,,,3431169.0,ns,5460
distr_random_i128,Pcg32,Bitmask,,,4901894.0,ns,5590
distr_random_i128,Pcg32,Bitmask,,,8397262.0,ns,5720
distr_random_i128,Pcg32,Bitmask,,,4215814.0,ns,5850
distr_random_i128,Pcg32,Bitmask,,,4194145.0,ns,5980
distr_random_i128,Pcg32,Bitmask,,,5827203.0,ns,6110
distr_random_i128,Pcg32,Bitmask,,,5022175.0,ns,6240
distr_random_i128,Pcg32,Bitmask,,,5415165.0,ns,6370
distr_random_i128,Pcg32,Bitmask,,,4469385.0,ns,6500
distr_random_i128,Pcg32,Bitmask,,,7270374.0,ns,6630
distr_random_i128,Pcg32,Bitmask,,,5541674.0,ns,6760
distr_random_i128,Pcg32,Bitmask,,,5743335.0,ns,6890
distr_random_i128,Pcg32,Bitmask,,,12086983.0,ns,7020
distr_random_i128,Pcg32,Bitmask,,,10915225.0,ns,7150
distr_random_i128,Pcg32,Bitmask,,,7440136.0,ns,7280
distr_random_i128,Pcg32,Bitmask,,,5537579.0,ns,7410
distr_random_i128,Pcg32,Bitmask,,,4581930.0,ns,7540
distr_random_i128,Pcg32,Bitmask,,,5137624.0,ns,7670
distr_random_i128,Pcg32,Bitmask,,,5400499.0,ns,7800
distr_random_i128,Pcg32,Bitmask,,,12384759.0,ns,7930
distr_random_i128,Pcg32,Bitmask,,,6763484.0,ns,8060
distr_random_i128,Pcg32,Bitmask,,,9754656.0,ns,8190
distr_random_i128,Pcg32,Bitmask,,,13692738.0,ns,8320
distr_random_i128,Pcg32,Bitmask,,,5039373.0,ns,8450
distr_random_i128,Pcg32,Bitmask,,,9245887.0,ns,8580
