group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,Pcg32,Canon-reduced,,,169823.0,ns,227
distr_random_i128,Pcg32,Canon-reduced,,,424307.0,ns,454
distr_random_i128,Pcg32,Canon-reduced,,,495147.0,ns,681
distr_random_i128,Pcg32,Canon-reduced,,,796778.0,ns,908
distr_random_i128,Pcg32,Canon-reduced,,,977632.0,ns,1135
distr_random_i128,Pcg32,Canon-reduced,,,1591129.0,ns,1362
distr_random_i128,Pcg32,Canon-reduced,,,1301364.0,ns,1589
distr_random_i128,Pcg32,Canon-reduced,,,2056024.0,ns,1816
distr_random_i128,Pcg32,Canon-reduced,,,1669338.0,ns,2043
distr_random_i128,Pcg32,Canon-reduced,,,1870646.0,ns,2270
distr_random_i128,Pcg32,Canon-reduced,,,2448346.0,ns,2497
distr_random_i128,Pcg32,Canon-reduced,,,2065810.0,ns,2724
distr_random_i128,Pcg32,Canon-reduced,,,2620313.0,ns,2951
distr_random_i128,Pcg32,Canon-reduced,,,3892421.0,ns,3178
distr_random_i128,Pcg32,Canon-reduced,,,3764552.0,ns,3405
distr_random_i128,Pcg32,Canon-reduced,,,2851515.0,ns,3632
distr_random_i128,Pcg32,Canon-reduced,,,3833357.0,ns,3859
distr_random_i128,Pcg32,Canon-reduced,,,3198429.0,ns,4086
distr_random_i128,Pcg32,Canon-reduced,,,3440562.0,ns,4313
distr_random_i128,Pcg32,Canon-reduced,,,5400426.0,ns,4540
distr_random_i128,Pcg32,Canon-reduced,,,4032879.0,ns,4767
distr_random_i128,Pcg32,Canon-reduced,,,4164052.0,ns,4994
distr_random_i128,Pcg32,Canon-reduced,,,4472119.0,ns,5221
distr_random_i128,Pcg32,Canon-reduced,,,4938407.0,ns,5448
distr_random_i128,Pcg32,Canon-reduced,,,5253985.0,ns,5675
distr_random_i128,Pcg32,Canon-reduced,,,7058525.0,ns,5902
distr_random_i128,Pcg32,Canon-reduced,,,5844778.0,ns,6129
distr_random_i128,Pcg32,Canon-reduced,,,5132066.0,ns,6356
distr_random_i128,Pcg32,Canon-reduced,,,5516468.0,ns,6583
distr_random_i128,Pcg32,Canon-reduced,,,5384717.0,ns,6810
distr_random_i128,Pcg32,Canon-reduced,,,6658029.0,ns,7037
distr_random_i128,Pcg32,Canon-reduced,,,6347391.0,ns,7264
distr_random_i128,Pcg32,Canon-reduced,,,7752518.0,ns,7491
distr_random_i128,Pcg32,Canon-reduced,,,6027362.0,ns,7718
distr_random_i128,Pcg32,Canon-reduced,,,7721229.0,ns,7945
distr_random_i128,Pcg32,Canon-reduced,,,8398799.0,ns,8172
distr_random_i128,Pcg32,Canon-reduced,,,9495728.0,ns,8399
distr_random_i128,Pcg32,Canon-reduced,,,6415072.0,ns,8626
distr_random_i128,Pcg32,Canon-reduced,,,6491195.0,ns,8853
distr_random_i128,Pcg32,Canon-reduced,,,10373074.0,ns,9080
distr_random_i128,Pcg32,Canon-reduced,,,11575229.0,ns,9307
distr_random_i128,Pcg32,Canon-reduced,,,7394944.0,ns,9534
distr_random_i128,Pcg32,Canon-reduced,,,11956110.0,ns,9761
distr_random_i128,Pcg32,Canon-reduced,,,7579312.0,ns,9988
distr_random_i128,Pcg32,Canon-reduced,,,12714360.0,ns,10215
distr_random_i128,Pcg32,Canon-reduced,,,12943943.0,ns,10442
distr_random_i128,Pcg32,Canon-reduced,,,7800523.0,ns,10669
distr_random_i128,Pcg32,Canon-reduced,,,13590952.0,ns,10896
distr_random_i128,Pcg32,Canon-reduced,,,10304780.0,ns,11123
distr_random_i128,Pcg32,Canon-reduced,,,8687892.0,ns,11350
distr_random_i128,Pcg32,Canon-reduced,,,10484028.0,ns,11577
distr_random_i128,Pcg32,Canon-reduced,,,9806964.0,ns,11804
distr_random_i128,Pcg32,Canon-reduced,,,9332591.0,ns,12031
distr_random_i128,Pcg32,Canon-reduced,,,12945159.0,ns,12258
distr_random_i128,Pcg32,Canon-reduced,,,14578333.0,ns,12485
distr_random_i128,Pcg32,Canon-reduced,,,10019844.0,ns,12712
distr_random_i128,Pcg32,Canon-reduced,,,14293777.0,ns,12939
distr_random_i128,Pcg32,Canon-reduced,,,11128831.0,ns,13166
distr_random_i128,Pcg32,Canon-reduced,,,11034367.0,ns,13393
distr_random_i128,Pcg32,Canon-reduced,,,12433419.0,ns,13620
distr_random_i128,Pcg32,Canon-reduced,,,12230184.0,ns,13847
distr_random_i128,Pcg32,Canon-reduced,,,14243255.0,ns,14074
distr_random_i128,Pcg32,Canon-reduced,,,18072184.0,ns,14301
distr_random_i128,Pcg32,Canon-reduced,,,10703763.0,ns,14528
distr_random_i128,Pcg32,Canon-reduced,,,11866215.0,ns,14755
