group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,SmallRng,Canon-reduced,,,153699.0,ns,324
distr_random_i128,SmallRng,Canon-reduced,,,560186.0,ns,648
distr_random_i128,SmallRng,Canon-reduced,,,622758.0,ns,972
distr_random_i128,SmallRng,Canon-reduced,,,1074853.0,ns,1296
distr_random_i128,SmallRng,Canon-reduced,,,1376268.0,ns,1620
distr_random_i128,SmallRng,Canon-reduced,,,855521.0,ns,1944
distr_random_i128,SmallRng,Canon-reduced,,,1916294.0,ns,2268
distr_random_i128,SmallRng,Canon-reduced,,,1392717.0,ns,2592
distr_random_i128,SmallRng,Canon-reduced,,,2248810.0,ns,2916
distr_random_i128,SmallRng,Canon-reduced,,,1873827.0,ns,3240
distr_random_i128,SmallRng,Canon-reduced,,,2153711.0,ns,3564
distr_random_i128,SmallRng,Canon-reduced,,,3418057.0,ns,3888
distr_random_i128,SmallRng,Canon-reduced,,,1835252.0,ns,4212
distr_random_i128,SmallRng,Canon-reduced,,,2425156.0,ns,4536
distr_random_i128,SmallRng,Canon-reduced,,,2256792.0,ns,4860
distr_random_i128,SmallRng,Canon-reduced,,,4469352.0,ns,5184
distr_random_i128,SmallRng,Canon-reduced,,,4716390.0,ns,5508
distr_random_i128,SmallRng,Canon-reduced,,,4539896.0,ns,5832
distr_random_i128,SmallRng,Canon-reduced,,,3360120.0,ns,6156
distr_random_i128,SmallRng,Canon-reduced,,,4716015.0,ns,6480
distr_random_i128,SmallRng,Canon-reduced,,,5401980.0,ns,6804
distr_random_i128,SmallRng,Canon-reduced,,,6229064.0,ns,7128
distr_random_i128,SmallRng,Canon-reduced,,,5010247.0,ns,7452
distr_random_i128,SmallRng,Canon-reduced,,,6736573.0,ns,7776
distr_random_i128,SmallRng,Canon-reduced,,,3523485.0,ns,8100
distr_random_i128,SmallRng,Canon-reduced,,,7222611.0,ns,8424
distr_random_i128,SmallRng,Canon-reduced,,,6023629.0,ns,8748
distr_random_i128,SmallRng,Canon-reduced,,,5328475.0,ns,9072
distr_random_i128,SmallRng,Canon-reduced,,,6245850.0,ns,9396
distr_random_i128,SmallRng,Canon-reduced,,,4245601.0,ns,9720
distr_random_i128,SmallRng,Canon-reduced,,,6569325.0,ns,10044
distr_random_i128,SmallRng,Canon-reduced,,,7496106.0,ns,10368
distr_random_i128,SmallRng,Canon-reduced,,,9226196.0,ns,10692
distr_random_i128,SmallRng,Canon-reduced,,,5142070.0,ns,11016
distr_random_i128,SmallRng,Canon-reduced,,,8203262.0,ns,11340
distr_random_i128,SmallRng,Canon-reduced,,,7961662.0,ns,11664
distr_random_i128,SmallRng,Canon-reduced,,,6808983.0,ns,11988
distr_random_i128,SmallRng,Canon-reduced,,,10681707.0,ns,12312
distr_random_i128,SmallRng,Canon-reduced,,,7008083.0,ns,12636
distr_random_i128,SmallRng,Canon-reduced,,,7759408.0,ns,12960
distr_random_i128,SmallRng,Canon-reduced,,,8697427.0,ns,13284
distr_random_i128,SmallRng,Canon-reduced,,,9071488.0,ns,13608
distr_random_i128,SmallRng,Canon-reduced,,,12017950.0,ns,13932
distr_random_i128,SmallRng,Canon-reduced,,,8182208.0,ns,14256
distr_random_i128,SmallRng,Canon-reduced,,,9663749.0,ns,14580
distr_random_i128,SmallRng,Canon-reduced,,,12955774.0,ns,14904
distr_random_i128,SmallRng,Canon-reduced,,,12689179.0,ns,15228
distr_random_i128,SmallRng,Canon-reduced,,,12146971.0,ns,15552
distr_random_i128,SmallRng,Canon-reduced,,,7931696.0,ns,15876
distr_random_i128,SmallRng,Canon-reduced,,,11721981.0,ns,16200
distr_random_i128,SmallRng,Canon-reduced,,,10630049.0,ns,16524
distr_random_i128,SmallRng,Canon-reduced,,,7553857.0,ns,16848
distr_random_i128,SmallRng,Canon-reduced,,,13901176.0,ns,17172
distr_random_i128,SmallRng,Canon-reduced,,,7608646.0,ns,17496
distr_random_i128,SmallRng,Canon-reduced,,,10852441.0,ns,17820
distr_random_i128,SmallRng,Canon-reduced,,,10996359.0,ns,18144
distr_random_i128,SmallRng,Canon-reduced,,,8215408.0,ns,18468
distr_random_i128,SmallRng,Canon-reduced,,,15028045.0,ns,18792
distr_random_i128,SmallRng,Canon-reduced,,,9083366.0,ns,19116
distr_random_i128,SmallRng,Canon-reduced,,,9312705.0,ns,19440
distr_random_i128,SmallRng,Canon-reduced,,,9356903.0,ns,19764
distr_random_i128,SmallRng,Canon-reduced,,,9495150.0,ns,20088
distr_random_i128,SmallRng,Canon-reduced,,,14873388.0,ns,20412
distr_random_i128,SmallRng,Canon-reduced,,,11976219.0,ns,20736
distr_random_i128,SmallRng,Canon-reduced,,,10554064.0,ns,21060
distr_random_i128,SmallRng,Canon-reduced,,,14742027.0,ns,21384
distr_random_i128,SmallRng,Canon-reduced,,,10937099.0,ns,21708
distr_random_i128,SmallRng,Canon-reduced,,,11384104.0,ns,22032
distr_random_i128,SmallRng,Canon-reduced,,,11347564.0,ns,22356
distr_random_i128,SmallRng,Canon-reduced,,,11293918.0,ns,22680
distr_random_i128,SmallRng,Canon-reduced,,,13944759.0,ns,23004
distr_random_i128,SmallRng,Canon-reduced,,,11834789.0,ns,23328
distr_random_i128,SmallRng,Canon-reduced,,,19042774.0,ns,23652
distr_random_i128,SmallRng,Canon-reduced,,,10485182.0,ns,23976
distr_random_i128,SmallRng,Canon-reduced,,,16460228.0,ns,24300
distr_random_i128,SmallRng,Canon-reduced,,,14695602.0,ns,24624
distr_random_i128,SmallRng,Canon-reduced,,,21687891.0,ns,24948
distr_random_i128,SmallRng,Canon-reduced,,,21771751.0,ns,25272
distr_random_i128,SmallRng,Canon-reduced,,,16201222.0,ns,25596
distr_random_i128,SmallRng,Canon-reduced,,,11295597.0,ns,25920
distr_random_i128,SmallRng,Canon-reduced,,,13192099.0,ns,26244
distr_random_i128,SmallRng,Canon-reduced,,,13328445.0,ns,26568
distr_random_i128,SmallRng,Canon-reduced,,,12099238.0,ns,26892
distr_random_i128,SmallRng,Canon-reduced,,,14989494.0,ns,27216
distr_random_i128,SmallRng,Canon-reduced,,,23631980.0,ns,27540
distr_random_i128,SmallRng,Canon-reduced,,,24072056.0,ns,27864
distr_random_i128,SmallRng,Canon-reduced,,,12484420.0,ns,28188
distr_random_i128,SmallRng,Canon-reduced,,,23723332.0,ns,28512
distr_random_i128,SmallRng,Canon-reduced,,,23456704.0,ns,28836
distr_random_i128,SmallRng,Canon-reduced,,,13975869.0,ns,29160
distr_random_i128,SmallRng,Canon-reduced,,,21382999.0,ns,29484
distr_random_i128,SmallRng,Canon-reduced,,,13930594.0,ns,29808
distr_random_i128,SmallRng,Canon-reduced,,,15357711.0,ns,30132
distr_random_i128,SmallRng,Canon-reduced,,,13460821.0,ns,30456
distr_random_i128,SmallRng,Canon-reduced,,,17913072.0,ns,30780
distr_random_i128,SmallRng,Canon-reduced,,,19334173.0,ns,31104
distr_random_i128,SmallRng,Canon-reduced,,,23074130.0,ns,31428
distr_random_i128,SmallRng,Canon-reduced,,,21621187.0,ns,31752
distr_random_i128,SmallRng,Canon-reduced,,,16900405.0,ns,32076
distr_random_i128,SmallRng,Canon-reduced,,,18879171.0,ns,32400
