group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,SmallRng,Canon,,,261947.0,ns,257
distr_random_i128,SmallRng,Canon,,,294662.0,ns,514
distr_random_i128,SmallRng,Canon,,,609673.0,ns,771
distr_random_i128,SmallRng,Canon,,,679872.0,ns,1028
distr_random_i128,SmallRng,Canon,,,645940.0,ns,1285
distr_random_i128,SmallRng,Canon,,,1484767.0,ns,1542
distr_random_i128,SmallRng,Canon,,,1673818.0,ns,1799
distr_random_i128,SmallRng,Canon,,,1031727.0,ns,2056
distr_random_i128,SmallRng,Canon,,,2277230.0,ns,2313
distr_random_i128,SmallRng,Canon,,,2419999.0,ns,2570
distr_random_i128,SmallRng,Canon,,,1849465.0,ns,2827
distr_random_i128,SmallRng,Canon,,,1420689.0,ns,3084
distr_random_i128,SmallRng,Canon,,,3275712.0,ns,3341
distr_random_i128,SmallRng,Canon,,,3285463.0,ns,3598
distr_random_i128,SmallRng,Canon,,,1872112.0,ns,3855
distr_random_i128,SmallRng,Canon,,,2942640.0,ns,4112
distr_random_i128,SmallRng,Canon,,,2812757.0,ns,4369
distr_random_i128,SmallRng,Canon,,,2390875.0,ns,4626
distr_random_i128,SmallRng,Canon,,,4628072.0,ns,4883
distr_random_i128,SmallRng,Canon,,,2633230.0,ns,5140
distr_random_i128,SmallRng,Canon,,,5084134.0,ns,5397
distr_random_i128,SmallRng,Canon,,,4190456.0,ns,5654
distr_random_i128,SmallRng,Canon,,,4049412.0,ns,5911
distr_random_i128,SmallRng,Canon,,,2832262.0,ns,6168
distr_random_i128,SmallRng,Canon,,,2962015.0,ns,6425
distr_random_i128,SmallRng,Canon,,,2991467.0,ns,6682
distr_random_i128,SmallRng,Canon,,,4230895.0,ns,6939
distr_random_i128,SmallRng,Canon,,,6514880.0,ns,7196
distr_random_i128,SmallRng,Canon,,,6657939.0,ns,7453
distr_random_i128,SmallRng,Canon,,,6970560.0,ns,7710
distr_random_i128,SmallRng,Canon,,,3977771.0,ns,7967
distr_random_i128,SmallRng,Canon,,,5608817.0,ns,8224
distr_random_i128,SmallRng,Canon,,,7785189.0,ns,8481
distr_random_i128,SmallRng,Canon,,,3913313.0,ns,8738
distr_random_i128,SmallRng,Canon,,,5906872.0,ns,8995
distr_random_i128,SmallRng,Canon,,,8744562.0,ns,9252
distr_random_i128,SmallRng,Canon,,,6627689.0,ns,9509
distr_random_i128,SmallRng,Canon,,,8582481.0,ns,9766
distr_random_i128,SmallRng,Canon,,,6741329.0,ns,10023
distr_random_i128,SmallRng,Canon,,,7628561.0,ns,10280
distr_random_i128,SmallRng,Canon,,,6049559.0,ns,10537
distr_random_i128,SmallRng,Canon,,,10042865.0,ns,10794
distr_random_i128,SmallRng,Canon,,,6840285.0,ns,11051
distr_random_i128,SmallRng,Canon,,,6973232.0,ns,11308
distr_random_i128,SmallRng,Canon,,,10785967.0,ns,11565
distr_random_i128,SmallRng,Canon,,,6426331.0,ns,11822
distr_random_i128,SmallRng,Canon,,,6105172.0,ns,12079
distr_random_i128,SmallRng,Canon,,,5884065.0,ns,12336
distr_random_i128,SmallRng,Canon,,,5665669.0,ns,12593
distr_random_i128,SmallRng,Canon,,,12589176.0,ns,12850
distr_random_i128,SmallRng,Canon,,,5945880.0,ns,13107
distr_random_i128,SmallRng,Canon,,,8401274.0,ns,13364
distr_random_i128,SmallRng,Canon,,,7625035.0,ns,13621
distr_random_i128,SmallRng,Canon,,,6261674.0,ns,13878
distr_random_i128,SmallRng,Canon,,,7772708.0,ns,14135
distr_random_i128,SmallRng,Canon,,,6397065.0,ns,14392
distr_random_i128,SmallRng,Canon,,,8815702.0,ns,14649
distr_random_i128,SmallRng,Canon,,,13084539.0,ns,14906
distr_random_i128,SmallRng,Canon,,,6864611.0,ns,15163
distr_random_i128,SmallRng,Canon,,,12232380.0,ns,15420
distr_random_i128,SmallRng,Canon,,,13470371.0,ns,15677
distr_random_i128,SmallRng,Canon,,,15660564.0,ns,15934
distr_random_i128,SmallRng,Canon,,,15360939.0,ns,16191
distr_random_i128,SmallRng,Canon,,,8145713.0,ns,16448
distr_random_i128,SmallRng,Canon,,,16380619.0,ns,16705
distr_random_i128,SmallRng,Canon,,,8318636.0,ns,16962
distr_random_i128,SmallRng,Canon,,,8307569.0,ns,17219
distr_random_i128,SmallRng,Canon,,,9369132.0,ns,17476
distr_random_i128,SmallRng,Canon,,,16065340.0,ns,17733
distr_random_i128,SmallRng,Canon,,,12824677.0,ns,17990
distr_random_i128,SmallRng,Canon,,,10190450.0,ns,18247
distr_random_i128,SmallRng,Canon,,,17025996.0,ns,18504
distr_random_i128,SmallRng,Canon,,,17506063.0,ns,18761
distr_random_i128,SmallRng,Canon,,,18516387.0,ns,19018
distr_random_i128,SmallRng,Canon,,,10987467.0,ns,19275
distr_random_i128,SmallRng,Canon,,,17378481.0,ns,19532
distr_random_i128,SmallRng,Canon,,,9977140.0,ns,19789
distr_random_i128,SmallRng,Canon,,,19406577.0,ns,20046
distr_random_i128,SmallRng,Canon,,,19413968.0,ns,20303
distr_random_i128,SmallRng,Canon,,,14827758.0,ns,20560
distr_random_i128,SmallRng,Canon,,,16913419.0,ns,20817
distr_random_i128,SmallRng,Canon,,,10115690.0,ns,21074
distr_random_i128,SmallRng,Canon,,,11560419.0,ns,21331
distr_random_i128,SmallRng,Canon,,,10497093.0,ns,21588
distr_random_i128,SmallRng,Canon,,,10248150.0,ns,21845
distr_random_i128,SmallRng,Canon,,,10764001.0,ns,22102
distr_random_i128,SmallRng,Canon,,,11616895.0,ns,22359
distr_random_i128,SmallRng,Canon,,,12415298.0,ns,22616
distr_random_i128,SmallRng,Canon,,,11468212.0,ns,22873
distr_random_i128,SmallRng,Canon,,,18665761.0,ns,23130
distr_random_i128,SmallRng,Canon,,,14775837.0,ns,23387
distr_random_i128,SmallRng,Canon,,,14457055.0,ns,23644
distr_random_i128,SmallRng,Canon,,,14386087.0,ns,23901
distr_random_i128,SmallRng,Canon,,,11826383.0,ns,24158
distr_random_i128,SmallRng,Canon,,,11880091.0,ns,24415
distr_random_i128,SmallRng,Canon,,,17914055.0,ns,24672
distr_random_i128,SmallRng,Canon,,,11463345.0,ns,24929
distr_random_i128,SmallRng,Canon,,,14850186.0,ns,25186
distr_random_i128,SmallRng,Canon,,,12238384.0,ns,25443
distr_random_i128,SmallRng,Canon,,,15282195.0,ns,25700
