group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,Pcg32,Bitmask,,,189949.0,ns,365
distr_random_i16,Pcg32,Bitmask,,,363394.0,ns,730
distr_random_i16,Pcg32,Bitmask,,,808400.0,ns,1095
distr_random_i16,Pcg32,Bitmask,,,1005597.0,ns,1460
distr_random_i16,Pcg32,Bitmask,,,882502.0,ns,1825
distr_random_i16,Pcg32,Bitmask,,,1504611.0,ns,2190
distr_random_i16,Pcg32,Bitmask,,,550699.0,ns,2555
distr_random_i16,Pcg32,Bitmask,,,804191.0,ns,2920
distr_random_i16,Pcg32,Bitmask,,,1355640.0,ns,3285
distr_random_i16,Pcg32,Bitmask,,,812006.0,ns,3650
distr_random_i16,Pcg32,Bitmask,,,1233073.0,ns,4015
distr_random_i16,Pcg32,Bitmask,,,1455794.0,ns,4380
distr_random_i16,Pcg32,Bitmask,,,1227397.0,ns,4745
distr_random_i16,Pcg32,Bitmask,,,2673303.0,ns,5110
distr_random_i16,Pcg32,Bitmask,,,4246129.0,ns,5475
distr_random_i16,Pcg32,Bitmask,,,3389014.0,ns,5840
distr_random_i16,Pcg32,Bitmask,,,1073241.0,ns,6205
distr_random_i16,Pcg32,Bitmask,,,1195598.0,ns,6570
distr_random_i16,Pcg32,Bitmask,,,5906182.0,ns,6935
distr_random_i16,Pcg32,Bitmask,,,4705762.0,ns,7300
distr_random_i16,Pcg32,Bitmask,,,3551805.0,ns,7665
distr_random_i16,Pcg32,Bitmask,,,5215185.0,ns,8030
distr_random_i16,Pcg32,Bitmask,,,6411734.0,ns,8395
distr_random_i16,Pcg32,Bitmask,,,3624268.0,ns,8760
distr_random_i16,Pcg32,Bitmask,,,4202234.0,ns,9125
distr_random_i16,Pcg32,Bitmask,,,6059705.0,ns,9490
distr_random_i16,Pcg32,Bitmask,,,6111029.0,ns,9855
distr_random_i16,Pcg32,Bitmask,,,2541472.0,ns,10220
distr_random_i16,Pcg32,Bitmask,,,2717260.0,ns,10585
distr_random_i16,Pcg32,Bitmask,,,4976314.0,ns,10950
distr_random_i16,Pcg32,Bitmask,,,2491829.0,ns,11315
distr_random_i16,Pcg32,Bitmask,,,4039126.0,ns,11680
distr_random_i16,Pcg32,Bitmask,,,4550440.0,ns,12045
distr_random_i16,Pcg32,Bitmask,,,6969895.0,ns,12410
distr_random_i16,Pcg32,Bitmask,,,10257015.0,ns,12775
distr_random_i16,Pcg32,Bitmask,,,3333390.0,ns,13140
distr_random_i16,Pcg32,Bitmask,,,6135156.0,ns,13505
distr_random_i16,Pcg32,Bitmask,,,4256749.0,ns,13870
distr_random_i16,Pcg32,Bitmask,,,7438810.0,ns,14235
distr_random_i16,Pcg32,Bitmask,,,11376450.0,ns,14600
distr_random_i16,Pcg32,Bitmask,,,4562767.0,ns,14965
distr_random_i16,Pcg32,Bitmask,,,12430256.0,ns,15330
distr_random_i16,Pcg32,Bitmask,,,12227233.0,ns,15695
distr_random_i16,Pcg32,Bitmask,,,6984236.0,ns,16060
distr_random_i16,Pcg32,Bitmask,,,9276733.0,ns,16425
distr_random_i16,Pcg32,Bitmask,,,3471744.0,ns,16790
distr_random_i16,Pcg32,Bitmask,,,4384224.0,ns,17155
distr_random_i16,Pcg32,Bitmask,,,12889645.0,ns,17520
distr_random_i16,Pcg32,Bitmask,,,6549880.0,ns,17885
distr_random_i16,Pcg32,Bitmask,,,14422195.0,ns,18250
distr_random_i16,Pcg32,Bitmask,,,9215889.0,ns,18615
distr_random_i16,Pcg32,Bitmask,,,5677049.0,ns,18980
distr_random_i16,Pcg32,Bitmask,,,10725442.0,ns,19345
distr_random_i16,Pcg32,Bitmask,,,15252230.0,ns,19710
distr_random_i16,Pcg32,Bitmask,,,7519057.0,ns,20075
distr_random_i16,Pcg32,Bitmask,,,6028113.0,ns,20440
distr_random_i16,Pcg32,Bitmask,,,3496420.0,ns,20805
distr_random_i16,Pcg32,Bitmask,,,5731457.0,ns,21170
distr_random_i16,Pcg32,Bitmask,,,8689206.0,ns,21535
distr_random_i16,Pcg32,Bitmask,,,13247867.0,ns,21900
distr_random_i16,Pcg32,Bitmask,,,17326880.0,ns,22265
distr_random_i16,Pcg32,Bitmask,,,7817934.0,ns,22630
distr_random_i16,Pcg32,Bitmask,,,14071732.0,ns,22995
distr_random_i16,Pcg32,Bitmask,,,14903398.0,ns,23360
distr_random_i16,Pcg32,Bitmask,,,12494441.0,ns,23725
distr_random_i16,Pcg32,Bitmask,,,16168383.0,ns,24090
distr_random_i16,Pcg32,Bitmask,,,12258264.0,ns,24455
distr_random_i16,Pcg32,Bitmask,,,14030886.0,ns,24820
distr_random_i16,Pcg32,Bitmask,,,19099712.0,ns,25185
distr_random_i16,Pcg32,Bitmask,,,6181021.0,ns,25550
distr_random_i16,Pcg32,Bitmask,,,5087291.0,ns,25915
distr_random_i16,Pcg32,Bitmask,,,8070551.0,ns,26280
distr_random_i16,Pcg32,Bitmask,,,10069726.0,ns,26645
distr_random_i16,Pcg32,Bitmask,,,19787415.0,ns,27010
distr_random_i16,Pcg32,Bitmask,,,16465593.0,ns,27375
distr_random_i16,Pcg32,Bitmask,,,18522675.0,ns,27740
distr_random_i16,Pcg32,Bitmask,,,7309402.0,ns,28105
distr_random_i16,Pcg32,Bitmask,,,10800713.0,ns,28470
distr_random_i16,Pcg32,Bitmask,,,6464315.0,ns,28835
distr_random_i16,Pcg32,Bitmask,,,22411419.0,ns,29200
distr_random_i16,Pcg32,Bitmask,,,17480109.0,ns,29565
distr_random_i16,Pcg32,Bitmask,,,17899975.0,ns,29930
distr_random_i16,Pcg32,Bitmask,,,24397409.0,ns,30295
distr_random_i16,Pcg32,Bitmask,,,24423339.0,ns,30660
distr_random_i16,Pcg32,Bitmask,,,21194237.0,ns,31025
distr_random_i16,Pcg32,Bitmask,,,13223333.0,ns,31390
distr_random_i16,Pcg32,Bitmask,,,24513577.0,ns,31755
distr_random_i16,Pcg32,Bitmask,,,25776877.0,ns,32120
distr_random_i16,Pcg32,Bitmask,,,15776721.0,ns,32485
distr_random_i16,Pcg32,Bitmask,,,13420907.0,ns,32850
distr_random_i16,Pcg32,Bitmask,,,23564936.0,ns,33215
distr_random_i16,Pcg32,Bitmask,,,21067143.0,ns,33580
distr_random_i16,Pcg32,Bitmask,,,6444590.0,ns,33945
distr_random_i16,Pcg32,Bitmask,,,17679769.0,ns,34310
distr_random_i16,Pcg32,Bitmask,,,25269704.0,ns,34675
distr_random_i16,Pcg32,Bitmask,,,6741312.0,ns,35040
distr_random_i16,Pcg32,Bitmask,,,11674992.0,ns,35405
distr_random_i16,Pcg32,Bitmask,,,12274538.0,ns,35770
distr_random_i16,Pcg32,Bitmask,,,28562029.0,ns,36135
distr_random_i16,Pcg32,Bitmask,,,11858137.0,ns,36500
