group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,Pcg64,Canon-Lemire,,,194902.0,ns,772
distr_random_i16,Pcg64,Canon-Lemire,,,393676.0,ns,1544
distr_random_i16,Pcg64,Canon-Lemire,,,585008.0,ns,2316
distr_random_i16,Pcg64,Canon-Lemire,,,781645.0,ns,3088
distr_random_i16,Pcg64,Canon-Lemire,,,977449.0,ns,3860
distr_random_i16,Pcg64,Canon-Lemire,,,1171563.0,ns,4632
distr_random_i16,Pcg64,Canon-Lemire,,,1384606.0,ns,5404
distr_random_i16,Pcg64,Canon-Lemire,,,1563098.0,ns,6176
distr_random_i16,Pcg64,Canon-Lemire,,,1757137.0,ns,6948
distr_random_i16,Pcg64,Canon-Lemire,,,1954135.0,ns,7720
distr_random_i16,Pcg64,Canon-Lemire,,,2172871.0,ns,8492
distr_random_i16,Pcg64,Canon-Lemire,,,2343253.0,ns,9264
distr_random_i16,Pcg64,Canon-Lemire,,,2540995.0,ns,10036
distr_random_i16,Pcg64,Canon-Lemire,,,2735080.0,ns,10808
distr_random_i16,Pcg64,Canon-Lemire,,,2932193.0,ns,11580
distr_random_i16,Pcg64,Canon-Lemire,,,3126310.0,ns,12352
distr_random_i16,Pcg64,Canon-Lemire,,,3321629.0,ns,13124
distr_random_i16,Pcg64,Canon-Lemire,,,3513483.0,ns,13896
distr_random_i16,Pcg64,Canon-Lemire,,,3710379.0,ns,14668
distr_random_i16,Pcg64,Canon-Lemire,,,3906349.0,ns,15440
distr_random_i16,Pcg64,Canon-Lemire,,,4102045.0,ns,16212
distr_random_i16,Pcg64,Canon-Lemire,,,4303920.0,ns,16984
distr_random_i16,Pcg64,Canon-Lemire,,,4504328.0,ns,17756
distr_random_i16,Pcg64,Canon-Lemire,,,4694477.0,ns,18528
distr_random_i16,Pcg64,Canon-Lemire,,,4886779.0,ns,19300
distr_random_i16,Pcg64,Canon-Lemire,,,5083920.0,ns,20072
distr_random_i16,Pcg64,Canon-Lemire,,,5290924.0,ns,20844
distr_random_i16,Pcg64,Canon-Lemire,,,5475385.0,ns,21616
distr_random_i16,Pcg64,Canon-Lemire,,,5668035.0,ns,22388
distr_random_i16,Pcg64,Canon-Lemire,,,5868074.0,ns,23160
distr_random_i16,Pcg64,Canon-Lemire,,,6057949.0,ns,23932
distr_random_i16,Pcg64,Canon-Lemire,,,6259353.0,ns,24704
distr_random_i16,Pcg64,Canon-Lemire,,,6453373.0,ns,25476
distr_random_i16,Pcg64,Canon-Lemire,,,6642558.0,ns,26248
distr_random_i16,Pcg64,Canon-Lemire,,,6835145.0,ns,27020
distr_random_i16,Pcg64,Canon-Lemire,,,7035113.0,ns,27792
distr_random_i16,Pcg64,Canon-Lemire,,,7246506.0,ns,28564
distr_random_i16,Pcg64,Canon-Lemire,,,7422300.0,ns,29336
distr_random_i16,Pcg64,Canon-Lemire,,,7615421.0,ns,30108
distr_random_i16,Pcg64,Canon-Lemire,,,7815275.0,ns,30880
distr_random_i16,Pcg64,Canon-Lemire,,,8008112.0,ns,31652
distr_random_i16,Pcg64,Canon-Lemire,,,8206791.0,ns,32424
distr_random_i16,Pcg64,Canon-Lemire,,,8396897.0,ns,33196
distr_random_i16,Pcg64,Canon-Lemire,,,8594571.0,ns,33968
distr_random_i16,Pcg64,Canon-Lemire,,,8791942.0,ns,34740
distr_random_i16,Pcg64,Canon-Lemire,,,8982295.0,ns,35512
distr_random_i16,Pcg64,Canon-Lemire,,,9195835.0,ns,36284
distr_random_i16,Pcg64,Canon-Lemire,,,9380878.0,ns,37056
distr_random_i16,Pcg64,Canon-Lemire,,,9577856.0,ns,37828
distr_random_i16,Pcg64,Canon-Lemire,,,9775896.0,ns,38600
distr_random_i16,Pcg64,Canon-Lemire,,,9967633.0,ns,39372
distr_random_i16,Pcg64,Canon-Lemire,,,10164186.0,ns,40144
distr_random_i16,Pcg64,Canon-Lemire,,,10357204.0,ns,40916
distr_random_i16,Pcg64,Canon-Lemire,,,10550381.0,ns,41688
distr_random_i16,Pcg64,Canon-Lemire,,,10745613.0,ns,42460
