group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,SmallRng,Canon32,,,211115.0,ns,1220
distr_random_i16,SmallRng,Canon32,,,395333.0,ns,2440
distr_random_i16,SmallRng,Canon32,,,595269.0,ns,3660
distr_random_i16,SmallRng,Canon32,,,792064.0,ns,4880
distr_random_i16,SmallRng,Canon32,,,978238.0,ns,6100
distr_random_i16,SmallRng,Canon32,,,1183391.0,ns,7320
distr_random_i16,SmallRng,Canon32,,,1378700.0,ns,8540
distr_random_i16,SmallRng,Canon32,,,1568724.0,ns,9760
distr_random_i16,SmallRng,Canon32,,,1763355.0,ns,10980
distr_random_i16,SmallRng,Canon32,,,2126326.0,ns,12200
distr_random_i16,SmallRng,Canon32,,,2203899.0,ns,13420
distr_random_i16,SmallRng,Canon32,,,2336143.0,ns,14640
distr_random_i16,SmallRng,Canon32,,,2528507.0,ns,15860
distr_random_i16,SmallRng,Canon32,,,2723370.0,ns,17080
distr_random_i16,SmallRng,Canon32,,,2912222.0,ns,18300
distr_random_i16,SmallRng,Canon32,,,3113152.0,ns,19520
distr_random_i16,SmallRng,Canon32,,,3307839.0,ns,20740
distr_random_i16,SmallRng,Canon32,,,3488288.0,ns,21960
distr_random_i16,SmallRng,Canon32,,,3688090.0,ns,23180
distr_random_i16,SmallRng,Canon32,,,3889579.0,ns,24400
distr_random_i16,SmallRng,Canon32,,,4071928.0,ns,25620
distr_random_i16,SmallRng,Canon32,,,4274729.0,ns,26840
distr_random_i16,SmallRng,Canon32,,,4461438.0,ns,28060
distr_random_i16,SmallRng,Canon32,,,4652473.0,ns,29280
distr_random_i16,SmallRng,Canon32,,,4849929.0,ns,30500
distr_random_i16,SmallRng,Canon32,,,5057099.0,ns,31720
distr_random_i16,SmallRng,Canon32,,,5264550.0,ns,32940
distr_random_i16,SmallRng,Canon32,,,5449230.0,ns,34160
distr_random_i16,SmallRng,Canon32,,,5627531.0,ns,35380
distr_random_i16,SmallRng,Canon32,,,5821963.0,ns,36600
distr_random_i16,SmallRng,Canon32,,,6296234.0,ns,37820
distr_random_i16,SmallRng,Canon32,,,6339261.0,ns,39040
distr_random_i16,SmallRng,Canon32,,,6509031.0,ns,40260
distr_random_i16,SmallRng,Canon32,,,6691026.0,ns,41480
distr_random_i16,SmallRng,Canon32,,,6886932.0,ns,42700
distr_random_i16,SmallRng,Canon32,,,7085756.0,ns,43920
distr_random_i16,SmallRng,Canon32,,,7268233.0,ns,45140
distr_random_i16,SmallRng,Canon32,,,7460446.0,ns,46360
distr_random_i16,SmallRng,Canon32,,,7601145.0,ns,47580
distr_random_i16,SmallRng,Canon32,,,7741637.0,ns,48800
distr_random_i16,SmallRng,Canon32,,,7961531.0,ns,50020
distr_random_i16,SmallRng,Canon32,,,8131424.0,ns,51240
distr_random_i16,SmallRng,Canon32,,,8358112.0,ns,52460
distr_random_i16,SmallRng,Canon32,,,8569830.0,ns,53680
distr_random_i16,SmallRng,Canon32,,,8759300.0,ns,54900
distr_random_i16,SmallRng,Canon32,,,8944431.0,ns,56120
distr_random_i16,SmallRng,Canon32,,,9123654.0,ns,57340
distr_random_i16,SmallRng,Canon32,,,9330740.0,ns,58560
distr_random_i16,SmallRng,Canon32,,,9490056.0,ns,59780
distr_random_i16,SmallRng,Canon32,,,9791187.0,ns,61000
distr_random_i16,SmallRng,Canon32,,,9872892.0,ns,62220
