group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,ChaCha8Rng,Bitmask,,,180451.0,ns,251
distr_random_i32,ChaCha8Rng,Bitmask,,,175636.0,ns,502
distr_random_i32,ChaCha8Rng,Bitmask,,,323914.0,ns,753
distr_random_i32,ChaCha8Rng,Bitmask,,,904621.0,ns,1004
distr_random_i32,ChaCha8Rng,Bitmask,,,219880.0,ns,1255
distr_random_i32,ChaCha8Rng,Bitmask,,,452170.0,ns,1506
distr_random_i32,ChaCha8Rng,Bitmask,,,1568634.0,ns,1757
distr_random_i32,ChaCha8Rng,Bitmask,,,436535.0,ns,2008
distr_random_i32,ChaCha8Rng,Bitmask,,,1924480.0,ns,2259
distr_random_i32,ChaCha8Rng,Bitmask,,,2256515.0,ns,2510
distr_random_i32,ChaCha8Rng,Bitmask,,,1503555.0,ns,2761
distr_random_i32,ChaCha8Rng,Bitmask,,,2062521.0,ns,3012
distr_random_i32,ChaCha8Rng,Bitmask,,,1447616.0,ns,3263
distr_random_i32,ChaCha8Rng,Bitmask,,,2870185.0,ns,3514
distr_random_i32,ChaCha8Rng,Bitmask,,,1399720.0,ns,3765
distr_random_i32,ChaCha8Rng,Bitmask,,,2570743.0,ns,4016
distr_random_i32,ChaCha8Rng,Bitmask,,,3119625.0,ns,4267
distr_random_i32,ChaCha8Rng,Bitmask,,,3127092.0,ns,4518
distr_random_i32,ChaCha8Rng,Bitmask,,,3690709.0,ns,4769
distr_random_i32,ChaCha8Rng,Bitmask,,,4560668.0,ns,5020
distr_random_i32,ChaCha8Rng,Bitmask,,,2476215.0,ns,5271
distr_random_i32,ChaCha8Rng,Bitmask,,,3902091.0,ns,5522
distr_random_i32,ChaCha8Rng,Bitmask,,,1153308.0,ns,5773
distr_random_i32,ChaCha8Rng,Bitmask,,,5277613.0,ns,6024
distr_random_i32,ChaCha8Rng,Bitmask,,,4307585.0,ns,6275
distr_random_i32,ChaCha8Rng,Bitmask,,,5830889.0,ns,6526
distr_random_i32,ChaCha8Rng,Bitmask,,,6000834.0,ns,6777
distr_random_i32,ChaCha8Rng,Bitmask,,,4603137.0,ns,7028
distr_random_i32,ChaCha8Rng,Bitmask,,,1925506.0,ns,7279
distr_random_i32,ChaCha8Rng,Bitmask,,,2086027.0,ns,7530
distr_random_i32,ChaCha8Rng,Bitmask,,,6247555.0,ns,7781
distr_random_i32,ChaCha8Rng,Bitmask,,,2679676.0,ns,8032
distr_random_i32,ChaCha8Rng,Bitmask,,,5280746.0,ns,8283
