group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,196660.0,ns,785
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,392750.0,ns,1570
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,584371.0,ns,2355
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,782222.0,ns,3140
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,976006.0,ns,3925
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1170376.0,ns,4710
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1367180.0,ns,5495
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1560707.0,ns,6280
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1758472.0,ns,7065
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1954405.0,ns,7850
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2253501.0,ns,8635
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2343521.0,ns,9420
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2537908.0,ns,10205
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2736029.0,ns,10990
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2938702.0,ns,11775
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3122668.0,ns,12560
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3318105.0,ns,13345
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3522044.0,ns,14130
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3714701.0,ns,14915
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3925115.0,ns,15700
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4102208.0,ns,16485
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4301320.0,ns,17270
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4511699.0,ns,18055
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4696918.0,ns,18840
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4886368.0,ns,19625
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5077813.0,ns,20410
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5274700.0,ns,21195
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5473607.0,ns,21980
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5665480.0,ns,22765
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5869851.0,ns,23550
