group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,Pcg32,Canon-Unbiased,,,196404.0,ns,593
distr_random_i32,Pcg32,Canon-Unbiased,,,390305.0,ns,1186
distr_random_i32,Pcg32,Canon-Unbiased,,,591687.0,ns,1779
distr_random_i32,Pcg32,Canon-Unbiased,,,790050.0,ns,2372
distr_random_i32,Pcg32,Canon-Unbiased,,,986067.0,ns,2965
distr_random_i32,Pcg32,Canon-Unbiased,,,1172434.0,ns,3558
distr_random_i32,Pcg32,Canon-Unbiased,,,1374634.0,ns,4151
distr_random_i32,Pcg32,Canon-Unbiased,,,1567513.0,ns,4744
distr_random_i32,Pcg32,Canon-Unbiased,,,1760896.0,ns,5337
distr_random_i32,Pcg32,Canon-Unbiased,,,1970010.0,ns,5930
distr_random_i32,Pcg32,Canon-Unbiased,,,2173416.0,ns,6523
distr_random_i32,Pcg32,Canon-Unbiased,,,2346437.0,ns,7116
distr_random_i32,Pcg32,Canon-Unbiased,,,2548846.0,ns,7709
distr_random_i32,Pcg32,Canon-Unbiased,,,2753074.0,ns,8302
distr_random_i32,Pcg32,Canon-Unbiased,,,2937675.0,ns,8895
distr_random_i32,Pcg32,Canon-Unbiased,,,3141668.0,ns,9488
distr_random_i32,Pcg32,Canon-Unbiased,,,3328270.0,ns,10081
distr_random_i32,Pcg32,Canon-Unbiased,,,3526977.0,ns,10674
distr_random_i32,Pcg32,Canon-Unbiased,,,3717639.0,ns,11267
distr_random_i32,Pcg32,Canon-Unbiased,,,3936813.0,ns,11860
distr_random_i32,Pcg32,Canon-Unbiased,,,4131695.0,ns,12453
distr_random_i32,Pcg32,Canon-Unbiased,,,4320662.0,ns,13046
distr_random_i32,Pcg32,Canon-Unbiased,,,4519393.0,ns,13639
distr_random_i32,Pcg32,Canon-Unbiased,,,4692283.0,ns,14232
distr_random_i32,Pcg32,Canon-Unbiased,,,4887034.0,ns,14825
distr_random_i32,Pcg32,Canon-Unbiased,,,5086719.0,ns,15418
distr_random_i32,Pcg32,Canon-Unbiased,,,5310234.0,ns,16011
distr_random_i32,Pcg32,Canon-Unbiased,,,5476323.0,ns,16604
distr_random_i32,Pcg32,Canon-Unbiased,,,5699185.0,ns,17197
distr_random_i32,Pcg32,Canon-Unbiased,,,5887008.0,ns,17790
distr_random_i32,Pcg32,Canon-Unbiased,,,6074326.0,ns,18383
distr_random_i32,Pcg32,Canon-Unbiased,,,6275476.0,ns,18976
distr_random_i32,Pcg32,Canon-Unbiased,,,6473721.0,ns,19569
distr_random_i32,Pcg32,Canon-Unbiased,,,6658182.0,ns,20162
distr_random_i32,Pcg32,Canon-Unbiased,,,6908234.0,ns,20755
distr_random_i32,Pcg32,Canon-Unbiased,,,7043788.0,ns,21348
distr_random_i32,Pcg32,Canon-Unbiased,,,7237195.0,ns,21941
distr_random_i32,Pcg32,Canon-Unbiased,,,7428590.0,ns,22534
distr_random_i32,Pcg32,Canon-Unbiased,,,7643556.0,ns,23127
distr_random_i32,Pcg32,Canon-Unbiased,,,7848934.0,ns,23720
distr_random_i32,Pcg32,Canon-Unbiased,,,8063682.0,ns,24313
distr_random_i32,Pcg32,Canon-Unbiased,,,8259691.0,ns,24906
distr_random_i32,Pcg32,Canon-Unbiased,,,8405909.0,ns,25499
distr_random_i32,Pcg32,Canon-Unbiased,,,8603655.0,ns,26092
distr_random_i32,Pcg32,Canon-Unbiased,,,8810496.0,ns,26685
distr_random_i32,Pcg32,Canon-Unbiased,,,9007444.0,ns,27278
distr_random_i32,Pcg32,Canon-Unbiased,,,9192540.0,ns,27871
distr_random_i32,Pcg32,Canon-Unbiased,,,9410749.0,ns,28464
distr_random_i32,Pcg32,Canon-Unbiased,,,9629615.0,ns,29057
distr_random_i32,Pcg32,Canon-Unbiased,,,9825938.0,ns,29650
distr_random_i32,Pcg32,Canon-Unbiased,,,9978704.0,ns,30243
distr_random_i32,Pcg32,Canon-Unbiased,,,10208058.0,ns,30836
distr_random_i32,Pcg32,Canon-Unbiased,,,10419150.0,ns,31429
distr_random_i32,Pcg32,Canon-Unbiased,,,10589865.0,ns,32022
distr_random_i32,Pcg32,Canon-Unbiased,,,10786522.0,ns,32615
