group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,Pcg32,Old,,,103198.0,ns,480
distr_random_i32,Pcg32,Old,,,210651.0,ns,960
distr_random_i32,Pcg32,Old,,,247111.0,ns,1440
distr_random_i32,Pcg32,Old,,,343005.0,ns,1920
distr_random_i32,Pcg32,Old,,,534634.0,ns,2400
distr_random_i32,Pcg32,Old,,,670675.0,ns,2880
distr_random_i32,Pcg32,Old,,,588981.0,ns,3360
distr_random_i32,Pcg32,Old,,,743016.0,ns,3840
distr_random_i32,Pcg32,Old,,,1040217.0,ns,4320
distr_random_i32,Pcg32,Old,,,905637.0,ns,4800
distr_random_i32,Pcg32,Old,,,1496642.0,ns,5280
distr_random_i32,Pcg32,Old,,,1090730.0,ns,5760
distr_random_i32,Pcg32,Old,,,1191178.0,ns,6240
distr_random_i32,Pcg32,Old,,,1343773.0,ns,6720
distr_random_i32,Pcg32,Old,,,2058492.0,ns,7200
distr_random_i32,Pcg32,Old,,,1315278.0,ns,7680
distr_random_i32,Pcg32,Old,,,5785002.0,ns,8160
distr_random_i32,Pcg32,Old,,,1646936.0,ns,8640
distr_random_i32,Pcg32,Old,,,1786630.0,ns,9120
distr_random_i32,Pcg32,Old,,,2801319.0,ns,9600
distr_random_i32,Pcg32,Old,,,1711689.0,ns,10080
distr_random_i32,Pcg32,Old,,,3839047.0,ns,10560
distr_random_i32,Pcg32,Old,,,3445043.0,ns,11040
distr_random_i32,Pcg32,Old,,,1998681.0,ns,11520
distr_random_i32,Pcg32,Old,,,2017275.0,ns,12000
distr_random_i32,Pcg32,Old,,,3545816.0,ns,12480
distr_random_i32,Pcg32,Old,,,2237866.0,ns,12960
distr_random_i32,Pcg32,Old,,,2481573.0,ns,13440
distr_random_i32,Pcg32,Old,,,3403307.0,ns,13920
distr_random_i32,Pcg32,Old,,,2786682.0,ns,14400
distr_random_i32,Pcg32,Old,,,4018656.0,ns,14880
distr_random_i32,Pcg32,Old,,,3103216.0,ns,15360
distr_random_i32,Pcg32,Old,,,11720632.0,ns,15840
distr_random_i32,Pcg32,Old,,,3578433.0,ns,16320
distr_random_i32,Pcg32,Old,,,6499411.0,ns,16800
distr_random_i32,Pcg32,Old,,,2890356.0,ns,17280
distr_random_i32,Pcg32,Old,,,3019141.0,ns,17760
distr_random_i32,Pcg32,Old,,,5263018.0,ns,18240
distr_random_i32,Pcg32,Old,,,5827286.0,ns,18720
distr_random_i32,Pcg32,Old,,,9038946.0,ns,19200
distr_random_i32,Pcg32,Old,,,15218902.0,ns,19680
distr_random_i32,Pcg32,Old,,,3318676.0,ns,20160
distr_random_i32,Pcg32,Old,,,17209109.0,ns,20640
distr_random_i32,Pcg32,Old,,,8370090.0,ns,21120
distr_random_i32,Pcg32,Old,,,3679050.0,ns,21600
distr_random_i32,Pcg32,Old,,,17098764.0,ns,22080
distr_random_i32,Pcg32,Old,,,4081725.0,ns,22560
distr_random_i32,Pcg32,Old,,,3899800.0,ns,23040
distr_random_i32,Pcg32,Old,,,4449912.0,ns,23520
distr_random_i32,Pcg32,Old,,,6854289.0,ns,24000
distr_random_i32,Pcg32,Old,,,4138995.0,ns,24480
distr_random_i32,Pcg32,Old,,,4226534.0,ns,24960
distr_random_i32,Pcg32,Old,,,19200805.0,ns,25440
distr_random_i32,Pcg32,Old,,,7143321.0,ns,25920
distr_random_i32,Pcg32,Old,,,4531524.0,ns,26400
distr_random_i32,Pcg32,Old,,,4636484.0,ns,26880
distr_random_i32,Pcg32,Old,,,5065232.0,ns,27360
distr_random_i32,Pcg32,Old,,,10059891.0,ns,27840
distr_random_i32,Pcg32,Old,,,5137033.0,ns,28320
distr_random_i32,Pcg32,Old,,,9762869.0,ns,28800
distr_random_i32,Pcg32,Old,,,5678620.0,ns,29280
distr_random_i32,Pcg32,Old,,,11727575.0,ns,29760
distr_random_i32,Pcg32,Old,,,24277548.0,ns,30240
distr_random_i32,Pcg32,Old,,,6599640.0,ns,30720
distr_random_i32,Pcg32,Old,,,5325409.0,ns,31200
distr_random_i32,Pcg32,Old,,,5300920.0,ns,31680
distr_random_i32,Pcg32,Old,,,9378358.0,ns,32160
