group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,Pcg64,Old,,,83961.0,ns,322
distr_random_i32,Pcg64,Old,,,167831.0,ns,644
distr_random_i32,Pcg64,Old,,,258030.0,ns,966
distr_random_i32,Pcg64,Old,,,422122.0,ns,1288
distr_random_i32,Pcg64,Old,,,998453.0,ns,1610
distr_random_i32,Pcg64,Old,,,525198.0,ns,1932
distr_random_i32,Pcg64,Old,,,1003901.0,ns,2254
distr_random_i32,Pcg64,Old,,,843581.0,ns,2576
distr_random_i32,Pcg64,Old,,,717398.0,ns,2898
distr_random_i32,Pcg64,Old,,,898215.0,ns,3220
distr_random_i32,Pcg64,Old,,,984539.0,ns,3542
distr_random_i32,Pcg64,Old,,,1789796.0,ns,3864
distr_random_i32,Pcg64,Old,,,1047072.0,ns,4186
distr_random_i32,Pcg64,Old,,,1632546.0,ns,4508
distr_random_i32,Pcg64,Old,,,1377151.0,ns,4830
distr_random_i32,Pcg64,Old,,,2302574.0,ns,5152
distr_random_i32,Pcg64,Old,,,1528915.0,ns,5474
distr_random_i32,Pcg64,Old,,,1884700.0,ns,5796
distr_random_i32,Pcg64,Old,,,2023184.0,ns,6118
distr_random_i32,Pcg64,Old,,,1702343.0,ns,6440
distr_random_i32,Pcg64,Old,,,1994584.0,ns,6762
distr_random_i32,Pcg64,Old,,,5771802.0,ns,7084
distr_random_i32,Pcg64,Old,,,1965032.0,ns,7406
distr_random_i32,Pcg64,Old,,,8790571.0,ns,7728
distr_random_i32,Pcg64,Old,,,2933088.0,ns,8050
distr_random_i32,Pcg64,Old,,,8222549.0,ns,8372
distr_random_i32,Pcg64,Old,,,2340689.0,ns,8694
distr_random_i32,Pcg64,Old,,,2224297.0,ns,9016
distr_random_i32,Pcg64,Old,,,3162459.0,ns,9338
distr_random_i32,Pcg64,Old,,,4924684.0,ns,9660
distr_random_i32,Pcg64,Old,,,2453862.0,ns,9982
distr_random_i32,Pcg64,Old,,,4969984.0,ns,10304
distr_random_i32,Pcg64,Old,,,3357909.0,ns,10626
distr_random_i32,Pcg64,Old,,,5072185.0,ns,10948
distr_random_i32,Pcg64,Old,,,2849274.0,ns,11270
distr_random_i32,Pcg64,Old,,,8806490.0,ns,11592
distr_random_i32,Pcg64,Old,,,11974811.0,ns,11914
distr_random_i32,Pcg64,Old,,,11830520.0,ns,12236
distr_random_i32,Pcg64,Old,,,4230600.0,ns,12558
distr_random_i32,Pcg64,Old,,,9197074.0,ns,12880
distr_random_i32,Pcg64,Old,,,5405947.0,ns,13202
distr_random_i32,Pcg64,Old,,,3317594.0,ns,13524
distr_random_i32,Pcg64,Old,,,3661323.0,ns,13846
distr_random_i32,Pcg64,Old,,,3702361.0,ns,14168
distr_random_i32,Pcg64,Old,,,3571219.0,ns,14490
distr_random_i32,Pcg64,Old,,,4741061.0,ns,14812
distr_random_i32,Pcg64,Old,,,4593896.0,ns,15134
distr_random_i32,Pcg64,Old,,,4418418.0,ns,15456
distr_random_i32,Pcg64,Old,,,9103072.0,ns,15778
distr_random_i32,Pcg64,Old,,,13987400.0,ns,16100
distr_random_i32,Pcg64,Old,,,4564671.0,ns,16422
distr_random_i32,Pcg64,Old,,,9325300.0,ns,16744
distr_random_i32,Pcg64,Old,,,4388723.0,ns,17066
distr_random_i32,Pcg64,Old,,,6208291.0,ns,17388
distr_random_i32,Pcg64,Old,,,4398378.0,ns,17710
distr_random_i32,Pcg64,Old,,,6611537.0,ns,18032
distr_random_i32,Pcg64,Old,,,5457089.0,ns,18354
distr_random_i32,Pcg64,Old,,,19258994.0,ns,18676
distr_random_i32,Pcg64,Old,,,6585720.0,ns,18998
distr_random_i32,Pcg64,Old,,,8774689.0,ns,19320
distr_random_i32,Pcg64,Old,,,8344895.0,ns,19642
distr_random_i32,Pcg64,Old,,,5761467.0,ns,19964
