group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,SmallRng,Canon-Lemire,,,194266.0,ns,1303
distr_random_i32,SmallRng,Canon-Lemire,,,392961.0,ns,2606
distr_random_i32,SmallRng,Canon-Lemire,,,580190.0,ns,3909
distr_random_i32,SmallRng,Canon-Lemire,,,777722.0,ns,5212
distr_random_i32,SmallRng,Canon-Lemire,,,970891.0,ns,6515
distr_random_i32,SmallRng,Canon-Lemire,,,1167056.0,ns,7818
distr_random_i32,SmallRng,Canon-Lemire,,,1360702.0,ns,9121
distr_random_i32,SmallRng,Canon-Lemire,,,1561202.0,ns,10424
distr_random_i32,SmallRng,Canon-Lemire,,,1746452.0,ns,11727
distr_random_i32,SmallRng,Canon-Lemire,,,1939596.0,ns,13030
distr_random_i32,SmallRng,Canon-Lemire,,,2150021.0,ns,14333
distr_random_i32,SmallRng,Canon-Lemire,,,2327089.0,ns,15636
distr_random_i32,SmallRng,Canon-Lemire,,,2522580.0,ns,16939
distr_random_i32,SmallRng,Canon-Lemire,,,2720080.0,ns,18242
distr_random_i32,SmallRng,Canon-Lemire,,,2903180.0,ns,19545
distr_random_i32,SmallRng,Canon-Lemire,,,3136394.0,ns,20848
distr_random_i32,SmallRng,Canon-Lemire,,,3303230.0,ns,22151
distr_random_i32,SmallRng,Canon-Lemire,,,3505706.0,ns,23454
distr_random_i32,SmallRng,Canon-Lemire,,,3692358.0,ns,24757
distr_random_i32,SmallRng,Canon-Lemire,,,3910792.0,ns,26060
distr_random_i32,SmallRng,Canon-Lemire,,,4076370.0,ns,27363
distr_random_i32,SmallRng,Canon-Lemire,,,4257606.0,ns,28666
distr_random_i32,SmallRng,Canon-Lemire,,,4445325.0,ns,29969
distr_random_i32,SmallRng,Canon-Lemire,,,4649805.0,ns,31272
distr_random_i32,SmallRng,Canon-Lemire,,,4849679.0,ns,32575
distr_random_i32,SmallRng,Canon-Lemire,,,5045800.0,ns,33878
distr_random_i32,SmallRng,Canon-Lemire,,,5234388.0,ns,35181
distr_random_i32,SmallRng,Canon-Lemire,,,5441499.0,ns,36484
distr_random_i32,SmallRng,Canon-Lemire,,,5625279.0,ns,37787
distr_random_i32,SmallRng,Canon-Lemire,,,5811178.0,ns,39090
distr_random_i32,SmallRng,Canon-Lemire,,,6024593.0,ns,40393
distr_random_i32,SmallRng,Canon-Lemire,,,6201683.0,ns,41696
distr_random_i32,SmallRng,Canon-Lemire,,,6398600.0,ns,42999
distr_random_i32,SmallRng,Canon-Lemire,,,6619898.0,ns,44302
distr_random_i32,SmallRng,Canon-Lemire,,,6793614.0,ns,45605
distr_random_i32,SmallRng,Canon-Lemire,,,6969883.0,ns,46908
distr_random_i32,SmallRng,Canon-Lemire,,,7170011.0,ns,48211
