group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,SmallRng,Canon-Unbiased,,,200092.0,ns,1214
distr_random_i32,SmallRng,Canon-Unbiased,,,399963.0,ns,2428
distr_random_i32,SmallRng,Canon-Unbiased,,,586929.0,ns,3642
distr_random_i32,SmallRng,Canon-Unbiased,,,778640.0,ns,4856
distr_random_i32,SmallRng,Canon-Unbiased,,,976927.0,ns,6070
distr_random_i32,SmallRng,Canon-Unbiased,,,1171864.0,ns,7284
distr_random_i32,SmallRng,Canon-Unbiased,,,1367235.0,ns,8498
distr_random_i32,SmallRng,Canon-Unbiased,,,1557640.0,ns,9712
distr_random_i32,SmallRng,Canon-Unbiased,,,1749246.0,ns,10926
distr_random_i32,SmallRng,Canon-Unbiased,,,1948824.0,ns,12140
distr_random_i32,SmallRng,Canon-Unbiased,,,2212686.0,ns,13354
distr_random_i32,SmallRng,Canon-Unbiased,,,2348377.0,ns,14568
distr_random_i32,SmallRng,Canon-Unbiased,,,2523724.0,ns,15782
distr_random_i32,SmallRng,Canon-Unbiased,,,2720395.0,ns,16996
distr_random_i32,SmallRng,Canon-Unbiased,,,2914435.0,ns,18210
distr_random_i32,SmallRng,Canon-Unbiased,,,3115465.0,ns,19424
distr_random_i32,SmallRng,Canon-Unbiased,,,3303270.0,ns,20638
distr_random_i32,SmallRng,Canon-Unbiased,,,3486495.0,ns,21852
distr_random_i32,SmallRng,Canon-Unbiased,,,3696556.0,ns,23066
distr_random_i32,SmallRng,Canon-Unbiased,,,3881862.0,ns,24280
distr_random_i32,SmallRng,Canon-Unbiased,,,4092051.0,ns,25494
distr_random_i32,SmallRng,Canon-Unbiased,,,4386589.0,ns,26708
distr_random_i32,SmallRng,Canon-Unbiased,,,4472575.0,ns,27922
distr_random_i32,SmallRng,Canon-Unbiased,,,4669221.0,ns,29136
distr_random_i32,SmallRng,Canon-Unbiased,,,4873440.0,ns,30350
distr_random_i32,SmallRng,Canon-Unbiased,,,5063145.0,ns,31564
distr_random_i32,SmallRng,Canon-Unbiased,,,5244044.0,ns,32778
distr_random_i32,SmallRng,Canon-Unbiased,,,5448239.0,ns,33992
distr_random_i32,SmallRng,Canon-Unbiased,,,5641319.0,ns,35206
distr_random_i32,SmallRng,Canon-Unbiased,,,5822094.0,ns,36420
distr_random_i32,SmallRng,Canon-Unbiased,,,6034952.0,ns,37634
distr_random_i32,SmallRng,Canon-Unbiased,,,6233048.0,ns,38848
distr_random_i32,SmallRng,Canon-Unbiased,,,6424225.0,ns,40062
distr_random_i32,SmallRng,Canon-Unbiased,,,6603602.0,ns,41276
