group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,SmallRng,Canon,,,196299.0,ns,1318
distr_random_i32,SmallRng,Canon,,,397138.0,ns,2636
distr_random_i32,SmallRng,Canon,,,588735.0,ns,3954
distr_random_i32,SmallRng,Canon,,,786324.0,ns,5272
distr_random_i32,SmallRng,Canon,,,978762.0,ns,6590
distr_random_i32,SmallRng,Canon,,,1172798.0,ns,7908
distr_random_i32,SmallRng,Canon,,,1370894.0,ns,9226
distr_random_i32,SmallRng,Canon,,,1580534.0,ns,10544
distr_random_i32,SmallRng,Canon,,,1763396.0,ns,11862
distr_random_i32,SmallRng,Canon,,,1979456.0,ns,13180
distr_random_i32,SmallRng,Canon,,,2172427.0,ns,14498
distr_random_i32,SmallRng,Canon,,,2349683.0,ns,15816
distr_random_i32,SmallRng,Canon,,,2541553.0,ns,17134
distr_random_i32,SmallRng,Canon,,,2748077.0,ns,18452
distr_random_i32,SmallRng,Canon,,,2949509.0,ns,19770
distr_random_i32,SmallRng,Canon,,,3136807.0,ns,21088
distr_random_i32,SmallRng,Canon,,,3322763.0,ns,22406
distr_random_i32,SmallRng,Canon,,,3523276.0,ns,23724
distr_random_i32,SmallRng,Canon,,,3741064.0,ns,25042
distr_random_i32,SmallRng,Canon,,,3932157.0,ns,26360
distr_random_i32,SmallRng,Canon,,,4119125.0,ns,27678
distr_random_i32,SmallRng,Canon,,,4318571.0,ns,28996
distr_random_i32,SmallRng,Canon,,,4523701.0,ns,30314
distr_random_i32,SmallRng,Canon,,,4694002.0,ns,31632
distr_random_i32,SmallRng,Canon,,,4896584.0,ns,32950
distr_random_i32,SmallRng,Canon,,,5101668.0,ns,34268
distr_random_i32,SmallRng,Canon,,,5297673.0,ns,35586
distr_random_i32,SmallRng,Canon,,,5497670.0,ns,36904
distr_random_i32,SmallRng,Canon,,,5688243.0,ns,38222
distr_random_i32,SmallRng,Canon,,,5899113.0,ns,39540
distr_random_i32,SmallRng,Canon,,,6096783.0,ns,40858
distr_random_i32,SmallRng,Canon,,,6268475.0,ns,42176
distr_random_i32,SmallRng,Canon,,,6476228.0,ns,43494
distr_random_i32,SmallRng,Canon,,,6688732.0,ns,44812
distr_random_i32,SmallRng,Canon,,,6877936.0,ns,46130
distr_random_i32,SmallRng,Canon,,,7080255.0,ns,47448
distr_random_i32,SmallRng,Canon,,,7245384.0,ns,48766
distr_random_i32,SmallRng,Canon,,,7454627.0,ns,50084
distr_random_i32,SmallRng,Canon,,,7648570.0,ns,51402
distr_random_i32,SmallRng,Canon,,,7845222.0,ns,52720
distr_random_i32,SmallRng,Canon,,,8028008.0,ns,54038
distr_random_i32,SmallRng,Canon,,,8235471.0,ns,55356
distr_random_i32,SmallRng,Canon,,,8421754.0,ns,56674
distr_random_i32,SmallRng,Canon,,,8616941.0,ns,57992
distr_random_i32,SmallRng,Canon,,,8826163.0,ns,59310
distr_random_i32,SmallRng,Canon,,,9047063.0,ns,60628
distr_random_i32,SmallRng,Canon,,,9212494.0,ns,61946
distr_random_i32,SmallRng,Canon,,,9408647.0,ns,63264
distr_random_i32,SmallRng,Canon,,,9592550.0,ns,64582
distr_random_i32,SmallRng,Canon,,,9801490.0,ns,65900
distr_random_i32,SmallRng,Canon,,,10037034.0,ns,67218
distr_random_i32,SmallRng,Canon,,,10191598.0,ns,68536
distr_random_i32,SmallRng,Canon,,,10412541.0,ns,69854
distr_random_i32,SmallRng,Canon,,,10605416.0,ns,71172
distr_random_i32,SmallRng,Canon,,,10786895.0,ns,72490
distr_random_i32,SmallRng,Canon,,,10997037.0,ns,73808
distr_random_i32,SmallRng,Canon,,,11194186.0,ns,75126
distr_random_i32,SmallRng,Canon,,,11362925.0,ns,76444
distr_random_i32,SmallRng,Canon,,,11573324.0,ns,77762
distr_random_i32,SmallRng,Canon,,,11749028.0,ns,79080
distr_random_i32,SmallRng,Canon,,,11953444.0,ns,80398
distr_random_i32,SmallRng,Canon,,,12145055.0,ns,81716
distr_random_i32,SmallRng,Canon,,,12376679.0,ns,83034
distr_random_i32,SmallRng,Canon,,,12541389.0,ns,84352
distr_random_i32,SmallRng,Canon,,,12733893.0,ns,85670
distr_random_i32,SmallRng,Canon,,,12960897.0,ns,86988
distr_random_i32,SmallRng,Canon,,,13182032.0,ns,88306
distr_random_i32,SmallRng,Canon,,,13391307.0,ns,89624
distr_random_i32,SmallRng,Canon,,,13529794.0,ns,90942
distr_random_i32,SmallRng,Canon,,,13776445.0,ns,92260
distr_random_i32,SmallRng,Canon,,,13914274.0,ns,93578
distr_random_i32,SmallRng,Canon,,,14115047.0,ns,94896
distr_random_i32,SmallRng,Canon,,,14342972.0,ns,96214
distr_random_i32,SmallRng,Canon,,,14527095.0,ns,97532
distr_random_i32,SmallRng,Canon,,,14740689.0,ns,98850
distr_random_i32,SmallRng,Canon,,,14899584.0,ns,100168
distr_random_i32,SmallRng,Canon,,,15107658.0,ns,101486
distr_random_i32,SmallRng,Canon,,,15289585.0,ns,102804
distr_random_i32,SmallRng,Canon,,,15529701.0,ns,104122
distr_random_i32,SmallRng,Canon,,,15682797.0,ns,105440
distr_random_i32,SmallRng,Canon,,,15890502.0,ns,106758
distr_random_i32,SmallRng,Canon,,,16068499.0,ns,108076
distr_random_i32,SmallRng,Canon,,,16242959.0,ns,109394
distr_random_i32,SmallRng,Canon,,,16472144.0,ns,110712
distr_random_i32,SmallRng,Canon,,,16729479.0,ns,112030
distr_random_i32,SmallRng,Canon,,,16898263.0,ns,113348
distr_random_i32,SmallRng,Canon,,,17093796.0,ns,114666
distr_random_i32,SmallRng,Canon,,,17289896.0,ns,115984
distr_random_i32,SmallRng,Canon,,,17455963.0,ns,117302
distr_random_i32,SmallRng,Canon,,,17639993.0,ns,118620
distr_random_i32,SmallRng,Canon,,,17909308.0,ns,119938
distr_random_i32,SmallRng,Canon,,,18039493.0,ns,121256
distr_random_i32,SmallRng,Canon,,,18223514.0,ns,122574
distr_random_i32,SmallRng,Canon,,,18453426.0,ns,123892
distr_random_i32,SmallRng,Canon,,,18671232.0,ns,125210
distr_random_i32,SmallRng,Canon,,,18828139.0,ns,126528
distr_random_i32,SmallRng,Canon,,,19024073.0,ns,127846
distr_random_i32,SmallRng,Canon,,,19223437.0,ns,129164
distr_random_i32,SmallRng,Canon,,,19431340.0,ns,130482
distr_random_i32,SmallRng,Canon,,,19613060.0,ns,131800
