group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,ChaCha8Rng,Canon-reduced,,,116200.0,ns,353
distr_random_i64,ChaCha8Rng,Canon-reduced,,,355649.0,ns,706
distr_random_i64,ChaCha8Rng,Canon-reduced,,,554479.0,ns,1059
distr_random_i64,ChaCha8Rng,Canon-reduced,,,732125.0,ns,1412
distr_random_i64,ChaCha8Rng,Canon-reduced,,,595363.0,ns,1765
distr_random_i64,ChaCha8Rng,Canon-reduced,,,1383842.0,ns,2118
distr_random_i64,ChaCha8Rng,Canon-reduced,,,1111436.0,ns,2471
distr_random_i64,ChaCha8Rng,Canon-reduced,,,1465980.0,ns,2824
distr_random_i64,ChaCha8Rng,Canon-reduced,,,1133585.0,ns,3177
distr_random_i64,ChaCha8Rng,Canon-reduced,,,1459795.0,ns,3530
distr_random_i64,ChaCha8Rng,Canon-reduced,,,2421788.0,ns,3883
distr_random_i64,ChaCha8Rng,Canon-reduced,,,2032599.0,ns,4236
distr_random_i64,ChaCha8Rng,Canon-reduced,,,2480967.0,ns,4589
distr_random_i64,ChaCha8Rng,Canon-reduced,,,1626738.0,ns,4942
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3193949.0,ns,5295
distr_random_i64,ChaCha8Rng,Canon-reduced,,,2723108.0,ns,5648
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3474704.0,ns,6001
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3874840.0,ns,6354
distr_random_i64,ChaCha8Rng,Canon-reduced,,,2428020.0,ns,6707
distr_random_i64,ChaCha8Rng,Canon-reduced,,,4171324.0,ns,7060
distr_random_i64,ChaCha8Rng,Canon-reduced,,,4992028.0,ns,7413
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3285564.0,ns,7766
distr_random_i64,ChaCha8Rng,Canon-reduced,,,2520362.0,ns,8119
distr_random_i64,ChaCha8Rng,Canon-reduced,,,2941115.0,ns,8472
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3424393.0,ns,8825
distr_random_i64,ChaCha8Rng,Canon-reduced,,,5374348.0,ns,9178
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3949841.0,ns,9531
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3180776.0,ns,9884
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3447409.0,ns,10237
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3287992.0,ns,10590
distr_random_i64,ChaCha8Rng,Canon-reduced,,,4446875.0,ns,10943
distr_random_i64,ChaCha8Rng,Canon-reduced,,,4837041.0,ns,11296
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3370303.0,ns,11649
distr_random_i64,ChaCha8Rng,Canon-reduced,,,3631268.0,ns,12002
distr_random_i64,ChaCha8Rng,Canon-reduced,,,5232374.0,ns,12355
distr_random_i64,ChaCha8Rng,Canon-reduced,,,4196002.0,ns,12708
distr_random_i64,ChaCha8Rng,Canon-reduced,,,4660264.0,ns,13061
distr_random_i64,ChaCha8Rng,Canon-reduced,,,8088520.0,ns,13414
distr_random_i64,ChaCha8Rng,Canon-reduced,,,9024707.0,ns,13767
distr_random_i64,ChaCha8Rng,Canon-reduced,,,6317317.0,ns,14120
distr_random_i64,ChaCha8Rng,Canon-reduced,,,4156688.0,ns,14473
distr_random_i64,ChaCha8Rng,Canon-reduced,,,4638777.0,ns,14826
distr_random_i64,ChaCha8Rng,Canon-reduced,,,7269052.0,ns,15179
distr_random_i64,ChaCha8Rng,Canon-reduced,,,9498623.0,ns,15532
distr_random_i64,ChaCha8Rng,Canon-reduced,,,7815193.0,ns,15885
distr_random_i64,ChaCha8Rng,Canon-reduced,,,6446037.0,ns,16238
distr_random_i64,ChaCha8Rng,Canon-reduced,,,5139145.0,ns,16591
distr_random_i64,ChaCha8Rng,Canon-reduced,,,5575503.0,ns,16944
distr_random_i64,ChaCha8Rng,Canon-reduced,,,9902479.0,ns,17297
distr_random_i64,ChaCha8Rng,Canon-reduced,,,6880185.0,ns,17650
distr_random_i64,ChaCha8Rng,Canon-reduced,,,11275291.0,ns,18003
distr_random_i64,ChaCha8Rng,Canon-reduced,,,5977293.0,ns,18356
distr_random_i64,ChaCha8Rng,Canon-reduced,,,10528958.0,ns,18709
distr_random_i64,ChaCha8Rng,Canon-reduced,,,8363645.0,ns,19062
distr_random_i64,ChaCha8Rng,Canon-reduced,,,5187368.0,ns,19415
distr_random_i64,ChaCha8Rng,Canon-reduced,,,8358038.0,ns,19768
distr_random_i64,ChaCha8Rng,Canon-reduced,,,5347534.0,ns,20121
distr_random_i64,ChaCha8Rng,Canon-reduced,,,5317684.0,ns,20474
distr_random_i64,ChaCha8Rng,Canon-reduced,,,11681358.0,ns,20827
distr_random_i64,ChaCha8Rng,Canon-reduced,,,6160397.0,ns,21180
distr_random_i64,ChaCha8Rng,Canon-reduced,,,8223134.0,ns,21533
distr_random_i64,ChaCha8Rng,Canon-reduced,,,11315215.0,ns,21886
distr_random_i64,ChaCha8Rng,Canon-reduced,,,13514191.0,ns,22239
distr_random_i64,ChaCha8Rng,Canon-reduced,,,13008908.0,ns,22592
distr_random_i64,ChaCha8Rng,Canon-reduced,,,14063226.0,ns,22945
distr_random_i64,ChaCha8Rng,Canon-reduced,,,9504594.0,ns,23298
distr_random_i64,ChaCha8Rng,Canon-reduced,,,8460146.0,ns,23651
distr_random_i64,ChaCha8Rng,Canon-reduced,,,10831725.0,ns,24004
distr_random_i64,ChaCha8Rng,Canon-reduced,,,13229536.0,ns,24357
distr_random_i64,ChaCha8Rng,Canon-reduced,,,9450435.0,ns,24710
distr_random_i64,ChaCha8Rng,Canon-reduced,,,9278441.0,ns,25063
distr_random_i64,ChaCha8Rng,Canon-reduced,,,8230827.0,ns,25416
distr_random_i64,ChaCha8Rng,Canon-reduced,,,8038954.0,ns,25769
distr_random_i64,ChaCha8Rng,Canon-reduced,,,13795910.0,ns,26122
distr_random_i64,ChaCha8Rng,Canon-reduced,,,8941320.0,ns,26475
distr_random_i64,ChaCha8Rng,Canon-reduced,,,17551617.0,ns,26828
distr_random_i64,ChaCha8Rng,Canon-reduced,,,7537653.0,ns,27181
distr_random_i64,ChaCha8Rng,Canon-reduced,,,7231691.0,ns,27534
distr_random_i64,ChaCha8Rng,Canon-reduced,,,7429638.0,ns,27887
distr_random_i64,ChaCha8Rng,Canon-reduced,,,8227414.0,ns,28240
distr_random_i64,ChaCha8Rng,Canon-reduced,,,10941388.0,ns,28593
distr_random_i64,ChaCha8Rng,Canon-reduced,,,10301665.0,ns,28946
distr_random_i64,ChaCha8Rng,Canon-reduced,,,13845610.0,ns,29299
distr_random_i64,ChaCha8Rng,Canon-reduced,,,19698849.0,ns,29652
distr_random_i64,ChaCha8Rng,Canon-reduced,,,13771788.0,ns,30005
distr_random_i64,ChaCha8Rng,Canon-reduced,,,13564156.0,ns,30358
distr_random_i64,ChaCha8Rng,Canon-reduced,,,12295115.0,ns,30711
distr_random_i64,ChaCha8Rng,Canon-reduced,,,13602633.0,ns,31064
distr_random_i64,ChaCha8Rng,Canon-reduced,,,9583587.0,ns,31417
distr_random_i64,ChaCha8Rng,Canon-reduced,,,10411135.0,ns,31770
distr_random_i64,ChaCha8Rng,Canon-reduced,,,15941609.0,ns,32123
distr_random_i64,ChaCha8Rng,Canon-reduced,,,15748493.0,ns,32476
distr_random_i64,ChaCha8Rng,Canon-reduced,,,15209359.0,ns,32829
distr_random_i64,ChaCha8Rng,Canon-reduced,,,12875550.0,ns,33182
distr_random_i64,ChaCha8Rng,Canon-reduced,,,13338792.0,ns,33535
distr_random_i64,ChaCha8Rng,Canon-reduced,,,12473787.0,ns,33888
distr_random_i64,ChaCha8Rng,Canon-reduced,,,15564970.0,ns,34241
