group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,ChaCha8Rng,Canon,,,129614.0,ns,418
distr_random_i64,ChaCha8Rng,Canon,,,583122.0,ns,836
distr_random_i64,ChaCha8Rng,Canon,,,324303.0,ns,1254
distr_random_i64,ChaCha8Rng,Canon,,,835487.0,ns,1672
distr_random_i64,ChaCha8Rng,Canon,,,664839.0,ns,2090
distr_random_i64,ChaCha8Rng,Canon,,,1766726.0,ns,2508
distr_random_i64,ChaCha8Rng,Canon,,,899178.0,ns,2926
distr_random_i64,ChaCha8Rng,Canon,,,1256519.0,ns,3344
distr_random_i64,ChaCha8Rng,Canon,,,1945164.0,ns,3762
distr_random_i64,ChaCha8Rng,Canon,,,2734280.0,ns,4180
distr_random_i64,ChaCha8Rng,Canon,,,2824596.0,ns,4598
distr_random_i64,ChaCha8Rng,Canon,,,2463240.0,ns,5016
distr_random_i64,ChaCha8Rng,Canon,,,1852108.0,ns,5434
distr_random_i64,ChaCha8Rng,Canon,,,2492575.0,ns,5852
distr_random_i64,ChaCha8Rng,Canon,,,2540238.0,ns,6270
distr_random_i64,ChaCha8Rng,Canon,,,3796437.0,ns,6688
distr_random_i64,ChaCha8Rng,Canon,,,3032591.0,ns,7106
distr_random_i64,ChaCha8Rng,Canon,,,3401231.0,ns,7524
distr_random_i64,ChaCha8Rng,Canon,,,3158026.0,ns,7942
distr_random_i64,ChaCha8Rng,Canon,,,3180458.0,ns,8360
distr_random_i64,ChaCha8Rng,Canon,,,6104707.0,ns,8778
distr_random_i64,ChaCha8Rng,Canon,,,2526107.0,ns,9196
distr_random_i64,ChaCha8Rng,Canon,,,5709318.0,ns,9614
distr_random_i64,ChaCha8Rng,Canon,,,7310423.0,ns,10032
distr_random_i64,ChaCha8Rng,Canon,,,7384794.0,ns,10450
distr_random_i64,ChaCha8Rng,Canon,,,3245946.0,ns,10868
distr_random_i64,ChaCha8Rng,Canon,,,5517251.0,ns,11286
distr_random_i64,ChaCha8Rng,Canon,,,4463883.0,ns,11704
distr_random_i64,ChaCha8Rng,Canon,,,8828000.0,ns,12122
distr_random_i64,ChaCha8Rng,Canon,,,5234443.0,ns,12540
distr_random_i64,ChaCha8Rng,Canon,,,8011096.0,ns,12958
distr_random_i64,ChaCha8Rng,Canon,,,6723118.0,ns,13376
distr_random_i64,ChaCha8Rng,Canon,,,6246785.0,ns,13794
distr_random_i64,ChaCha8Rng,Canon,,,5889887.0,ns,14212
distr_random_i64,ChaCha8Rng,Canon,,,6253136.0,ns,14630
distr_random_i64,ChaCha8Rng,Canon,,,3818461.0,ns,15048
distr_random_i64,ChaCha8Rng,Canon,,,6790244.0,ns,15466
distr_random_i64,ChaCha8Rng,Canon,,,10205413.0,ns,15884
distr_random_i64,ChaCha8Rng,Canon,,,4397427.0,ns,16302
distr_random_i64,ChaCha8Rng,Canon,,,11115316.0,ns,16720
distr_random_i64,ChaCha8Rng,Canon,,,12109578.0,ns,17138
distr_random_i64,ChaCha8Rng,Canon,,,12318626.0,ns,17556
distr_random_i64,ChaCha8Rng,Canon,,,4508258.0,ns,17974
distr_random_i64,ChaCha8Rng,Canon,,,9917642.0,ns,18392
distr_random_i64,ChaCha8Rng,Canon,,,5322004.0,ns,18810
distr_random_i64,ChaCha8Rng,Canon,,,12940244.0,ns,19228
distr_random_i64,ChaCha8Rng,Canon,,,11412454.0,ns,19646
distr_random_i64,ChaCha8Rng,Canon,,,8329710.0,ns,20064
distr_random_i64,ChaCha8Rng,Canon,,,14729143.0,ns,20482
distr_random_i64,ChaCha8Rng,Canon,,,9376362.0,ns,20900
distr_random_i64,ChaCha8Rng,Canon,,,7184505.0,ns,21318
distr_random_i64,ChaCha8Rng,Canon,,,5571446.0,ns,21736
distr_random_i64,ChaCha8Rng,Canon,,,14990739.0,ns,22154
distr_random_i64,ChaCha8Rng,Canon,,,10064713.0,ns,22572
distr_random_i64,ChaCha8Rng,Canon,,,6981085.0,ns,22990
distr_random_i64,ChaCha8Rng,Canon,,,6182235.0,ns,23408
distr_random_i64,ChaCha8Rng,Canon,,,16963870.0,ns,23826
distr_random_i64,ChaCha8Rng,Canon,,,15351295.0,ns,24244
distr_random_i64,ChaCha8Rng,Canon,,,7340897.0,ns,24662
distr_random_i64,ChaCha8Rng,Canon,,,8566000.0,ns,25080
distr_random_i64,ChaCha8Rng,Canon,,,16992438.0,ns,25498
distr_random_i64,ChaCha8Rng,Canon,,,13947880.0,ns,25916
distr_random_i64,ChaCha8Rng,Canon,,,17988128.0,ns,26334
distr_random_i64,ChaCha8Rng,Canon,,,12823769.0,ns,26752
distr_random_i64,ChaCha8Rng,Canon,,,17430474.0,ns,27170
distr_random_i64,ChaCha8Rng,Canon,,,9674881.0,ns,27588
distr_random_i64,ChaCha8Rng,Canon,,,13857828.0,ns,28006
distr_random_i64,ChaCha8Rng,Canon,,,11387401.0,ns,28424
distr_random_i64,ChaCha8Rng,Canon,,,8867899.0,ns,28842
distr_random_i64,ChaCha8Rng,Canon,,,8198942.0,ns,29260
distr_random_i64,ChaCha8Rng,Canon,,,18052501.0,ns,29678
distr_random_i64,ChaCha8Rng,Canon,,,21416956.0,ns,30096
distr_random_i64,ChaCha8Rng,Canon,,,18338992.0,ns,30514
distr_random_i64,ChaCha8Rng,Canon,,,18889841.0,ns,30932
distr_random_i64,ChaCha8Rng,Canon,,,10548680.0,ns,31350
distr_random_i64,ChaCha8Rng,Canon,,,18776155.0,ns,31768
distr_random_i64,ChaCha8Rng,Canon,,,10780856.0,ns,32186
distr_random_i64,ChaCha8Rng,Canon,,,14629652.0,ns,32604
distr_random_i64,ChaCha8Rng,Canon,,,12198075.0,ns,33022
distr_random_i64,ChaCha8Rng,Canon,,,8764119.0,ns,33440
distr_random_i64,ChaCha8Rng,Canon,,,10812212.0,ns,33858
distr_random_i64,ChaCha8Rng,Canon,,,24970616.0,ns,34276
distr_random_i64,ChaCha8Rng,Canon,,,23038866.0,ns,34694
distr_random_i64,ChaCha8Rng,Canon,,,11308913.0,ns,35112
distr_random_i64,ChaCha8Rng,Canon,,,14783944.0,ns,35530
distr_random_i64,ChaCha8Rng,Canon,,,10099942.0,ns,35948
distr_random_i64,ChaCha8Rng,Canon,,,10175032.0,ns,36366
distr_random_i64,ChaCha8Rng,Canon,,,14465502.0,ns,36784
distr_random_i64,ChaCha8Rng,Canon,,,26963719.0,ns,37202
distr_random_i64,ChaCha8Rng,Canon,,,25759364.0,ns,37620
distr_random_i64,ChaCha8Rng,Canon,,,12160847.0,ns,38038
distr_random_i64,ChaCha8Rng,Canon,,,16026031.0,ns,38456
distr_random_i64,ChaCha8Rng,Canon,,,21798791.0,ns,38874
distr_random_i64,ChaCha8Rng,Canon,,,15915169.0,ns,39292
distr_random_i64,ChaCha8Rng,Canon,,,19863721.0,ns,39710
distr_random_i64,ChaCha8Rng,Canon,,,10054576.0,ns,40128
distr_random_i64,ChaCha8Rng,Canon,,,24010051.0,ns,40546
distr_random_i64,ChaCha8Rng,Canon,,,18988245.0,ns,40964
distr_random_i64,ChaCha8Rng,Canon,,,11906962.0,ns,41382
distr_random_i64,ChaCha8Rng,Canon,,,21969132.0,ns,41800
