group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,ChaCha8Rng,Lemire,,,378769.0,ns,608
distr_random_i64,ChaCha8Rng,Lemire,,,326803.0,ns,1216
distr_random_i64,ChaCha8Rng,Lemire,,,609283.0,ns,1824
distr_random_i64,ChaCha8Rng,Lemire,,,665788.0,ns,2432
distr_random_i64,ChaCha8Rng,Lemire,,,1219949.0,ns,3040
distr_random_i64,ChaCha8Rng,Lemire,,,3335321.0,ns,3648
distr_random_i64,ChaCha8Rng,Lemire,,,2017965.0,ns,4256
distr_random_i64,ChaCha8Rng,Lemire,,,1987337.0,ns,4864
distr_random_i64,ChaCha8Rng,Lemire,,,1579186.0,ns,5472
distr_random_i64,ChaCha8Rng,Lemire,,,1650783.0,ns,6080
distr_random_i64,ChaCha8Rng,Lemire,,,2271851.0,ns,6688
distr_random_i64,ChaCha8Rng,Lemire,,,2704535.0,ns,7296
distr_random_i64,ChaCha8Rng,Lemire,,,2065728.0,ns,7904
distr_random_i64,ChaCha8Rng,Lemire,,,5102943.0,ns,8512
distr_random_i64,ChaCha8Rng,Lemire,,,6857821.0,ns,9120
distr_random_i64,ChaCha8Rng,Lemire,,,3082971.0,ns,9728
distr_random_i64,ChaCha8Rng,Lemire,,,7019419.0,ns,10336
distr_random_i64,ChaCha8Rng,Lemire,,,3265584.0,ns,10944
distr_random_i64,ChaCha8Rng,Lemire,,,8000309.0,ns,11552
distr_random_i64,ChaCha8Rng,Lemire,,,5489207.0,ns,12160
distr_random_i64,ChaCha8Rng,Lemire,,,3562494.0,ns,12768
distr_random_i64,ChaCha8Rng,Lemire,,,7317162.0,ns,13376
distr_random_i64,ChaCha8Rng,Lemire,,,5949160.0,ns,13984
distr_random_i64,ChaCha8Rng,Lemire,,,15532710.0,ns,14592
distr_random_i64,ChaCha8Rng,Lemire,,,5670108.0,ns,15200
distr_random_i64,ChaCha8Rng,Lemire,,,4809345.0,ns,15808
distr_random_i64,ChaCha8Rng,Lemire,,,6910861.0,ns,16416
distr_random_i64,ChaCha8Rng,Lemire,,,12732945.0,ns,17024
distr_random_i64,ChaCha8Rng,Lemire,,,6966527.0,ns,17632
distr_random_i64,ChaCha8Rng,Lemire,,,5716600.0,ns,18240
distr_random_i64,ChaCha8Rng,Lemire,,,9531067.0,ns,18848
distr_random_i64,ChaCha8Rng,Lemire,,,5501092.0,ns,19456
distr_random_i64,ChaCha8Rng,Lemire,,,5676546.0,ns,20064
distr_random_i64,ChaCha8Rng,Lemire,,,6866707.0,ns,20672
distr_random_i64,ChaCha8Rng,Lemire,,,16283200.0,ns,21280
