group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,Pcg32,Canon-reduced,,,112409.0,ns,336
distr_random_i64,Pcg32,Canon-reduced,,,432893.0,ns,672
distr_random_i64,Pcg32,Canon-reduced,,,426181.0,ns,1008
distr_random_i64,Pcg32,Canon-reduced,,,475179.0,ns,1344
distr_random_i64,Pcg32,Canon-reduced,,,526152.0,ns,1680
distr_random_i64,Pcg32,Canon-reduced,,,1395847.0,ns,2016
distr_random_i64,Pcg32,Canon-reduced,,,1467869.0,ns,2352
distr_random_i64,Pcg32,Canon-reduced,,,1919730.0,ns,2688
distr_random_i64,Pcg32,Canon-reduced,,,1178221.0,ns,3024
distr_random_i64,Pcg32,Canon-reduced,,,1090257.0,ns,3360
distr_random_i64,Pcg32,Canon-reduced,,,1880403.0,ns,3696
distr_random_i64,Pcg32,Canon-reduced,,,2016562.0,ns,4032
distr_random_i64,Pcg32,Canon-reduced,,,2930887.0,ns,4368
distr_random_i64,Pcg32,Canon-reduced,,,1858448.0,ns,4704
distr_random_i64,Pcg32,Canon-reduced,,,1915395.0,ns,5040
distr_random_i64,Pcg32,Canon-reduced,,,1708775.0,ns,5376
distr_random_i64,Pcg32,Canon-reduced,,,1785652.0,ns,5712
distr_random_i64,Pcg32,Canon-reduced,,,2280538.0,ns,6048
distr_random_i64,Pcg32,Canon-reduced,,,2712563.0,ns,6384
distr_random_i64,Pcg32,Canon-reduced,,,4403883.0,ns,6720
distr_random_i64,Pcg32,Canon-reduced,,,3221888.0,ns,7056
distr_random_i64,Pcg32,Canon-reduced,,,3274686.0,ns,7392
distr_random_i64,Pcg32,Canon-reduced,,,4502473.0,ns,7728
distr_random_i64,Pcg32,Canon-reduced,,,5515744.0,ns,8064
distr_random_i64,Pcg32,Canon-reduced,,,5066052.0,ns,8400
distr_random_i64,Pcg32,Canon-reduced,,,4683064.0,ns,8736
distr_random_i64,Pcg32,Canon-reduced,,,5013842.0,ns,9072
distr_random_i64,Pcg32,Canon-reduced,,,6230943.0,ns,9408
distr_random_i64,Pcg32,Canon-reduced,,,6559308.0,ns,9744
distr_random_i64,Pcg32,Canon-reduced,,,6850201.0,ns,10080
distr_random_i64,Pcg32,Canon-reduced,,,6674601.0,ns,10416
distr_random_i64,Pcg32,Canon-reduced,,,6300746.0,ns,10752
distr_random_i64,Pcg32,Canon-reduced,,,4335330.0,ns,11088
distr_random_i64,Pcg32,Canon-reduced,,,5348941.0,ns,11424
distr_random_i64,Pcg32,Canon-reduced,,,7979871.0,ns,11760
distr_random_i64,Pcg32,Canon-reduced,,,8740863.0,ns,12096
distr_random_i64,Pcg32,Canon-reduced,,,6373080.0,ns,12432
distr_random_i64,Pcg32,Canon-reduced,,,9099320.0,ns,12768
distr_random_i64,Pcg32,Canon-reduced,,,7206166.0,ns,13104
distr_random_i64,Pcg32,Canon-reduced,,,4354857.0,ns,13440
distr_random_i64,Pcg32,Canon-reduced,,,8608821.0,ns,13776
distr_random_i64,Pcg32,Canon-reduced,,,5610702.0,ns,14112
distr_random_i64,Pcg32,Canon-reduced,,,6123094.0,ns,14448
distr_random_i64,Pcg32,Canon-reduced,,,9191779.0,ns,14784
distr_random_i64,Pcg32,Canon-reduced,,,5032259.0,ns,15120
distr_random_i64,Pcg32,Canon-reduced,,,7197650.0,ns,15456
distr_random_i64,Pcg32,Canon-reduced,,,5153901.0,ns,15792
distr_random_i64,Pcg32,Canon-reduced,,,8427172.0,ns,16128
