group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,Pcg64,Canon,,,95592.0,ns,325
distr_random_i64,Pcg64,Canon,,,218786.0,ns,650
distr_random_i64,Pcg64,Canon,,,664298.0,ns,975
distr_random_i64,Pcg64,Canon,,,340285.0,ns,1300
distr_random_i64,Pcg64,Canon,,,485728.0,ns,1625
distr_random_i64,Pcg64,Canon,,,933188.0,ns,1950
distr_random_i64,Pcg64,Canon,,,1419578.0,ns,2275
distr_random_i64,Pcg64,Canon,,,1822234.0,ns,2600
distr_random_i64,Pcg64,Canon,,,2067754.0,ns,2925
distr_random_i64,Pcg64,Canon,,,978536.0,ns,3250
distr_random_i64,Pcg64,Canon,,,951405.0,ns,3575
distr_random_i64,Pcg64,Canon,,,2681434.0,ns,3900
distr_random_i64,Pcg64,Canon,,,1067928.0,ns,4225
distr_random_i64,Pcg64,Canon,,,2401378.0,ns,4550
distr_random_i64,Pcg64,Canon,,,3052295.0,ns,4875
distr_random_i64,Pcg64,Canon,,,3546459.0,ns,5200
distr_random_i64,Pcg64,Canon,,,2205199.0,ns,5525
distr_random_i64,Pcg64,Canon,,,2186306.0,ns,5850
distr_random_i64,Pcg64,Canon,,,4369989.0,ns,6175
distr_random_i64,Pcg64,Canon,,,4390812.0,ns,6500
distr_random_i64,Pcg64,Canon,,,4273430.0,ns,6825
distr_random_i64,Pcg64,Canon,,,2829642.0,ns,7150
distr_random_i64,Pcg64,Canon,,,2622943.0,ns,7475
distr_random_i64,Pcg64,Canon,,,4715117.0,ns,7800
distr_random_i64,Pcg64,Canon,,,2794675.0,ns,8125
distr_random_i64,Pcg64,Canon,,,6074909.0,ns,8450
distr_random_i64,Pcg64,Canon,,,2270561.0,ns,8775
distr_random_i64,Pcg64,Canon,,,5773834.0,ns,9100
distr_random_i64,Pcg64,Canon,,,2440225.0,ns,9425
distr_random_i64,Pcg64,Canon,,,3469833.0,ns,9750
distr_random_i64,Pcg64,Canon,,,2662536.0,ns,10075
distr_random_i64,Pcg64,Canon,,,3030366.0,ns,10400
distr_random_i64,Pcg64,Canon,,,6574280.0,ns,10725
distr_random_i64,Pcg64,Canon,,,3845850.0,ns,11050
distr_random_i64,Pcg64,Canon,,,2843491.0,ns,11375
distr_random_i64,Pcg64,Canon,,,3274470.0,ns,11700
distr_random_i64,Pcg64,Canon,,,7201256.0,ns,12025
distr_random_i64,Pcg64,Canon,,,5059331.0,ns,12350
distr_random_i64,Pcg64,Canon,,,3420601.0,ns,12675
distr_random_i64,Pcg64,Canon,,,3513006.0,ns,13000
distr_random_i64,Pcg64,Canon,,,8186228.0,ns,13325
distr_random_i64,Pcg64,Canon,,,4644342.0,ns,13650
distr_random_i64,Pcg64,Canon,,,4482449.0,ns,13975
distr_random_i64,Pcg64,Canon,,,3829609.0,ns,14300
distr_random_i64,Pcg64,Canon,,,5556839.0,ns,14625
distr_random_i64,Pcg64,Canon,,,4044898.0,ns,14950
distr_random_i64,Pcg64,Canon,,,4231581.0,ns,15275
distr_random_i64,Pcg64,Canon,,,3934451.0,ns,15600
distr_random_i64,Pcg64,Canon,,,6250641.0,ns,15925
distr_random_i64,Pcg64,Canon,,,11612256.0,ns,16250
distr_random_i64,Pcg64,Canon,,,9636236.0,ns,16575
distr_random_i64,Pcg64,Canon,,,6645883.0,ns,16900
distr_random_i64,Pcg64,Canon,,,5901595.0,ns,17225
distr_random_i64,Pcg64,Canon,,,8719464.0,ns,17550
distr_random_i64,Pcg64,Canon,,,8390273.0,ns,17875
distr_random_i64,Pcg64,Canon,,,4693021.0,ns,18200
