group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,Pcg64,Canon32,,,344368.0,ns,478
distr_random_i64,Pcg64,Canon32,,,313929.0,ns,956
distr_random_i64,Pcg64,Canon32,,,363636.0,ns,1434
distr_random_i64,Pcg64,Canon32,,,546624.0,ns,1912
distr_random_i64,Pcg64,Canon32,,,608664.0,ns,2390
distr_random_i64,Pcg64,Canon32,,,1712550.0,ns,2868
distr_random_i64,Pcg64,Canon32,,,2389060.0,ns,3346
distr_random_i64,Pcg64,Canon32,,,2751993.0,ns,3824
distr_random_i64,Pcg64,Canon32,,,1065954.0,ns,4302
distr_random_i64,Pcg64,Canon32,,,2807554.0,ns,4780
distr_random_i64,Pcg64,Canon32,,,3666497.0,ns,5258
distr_random_i64,Pcg64,Canon32,,,4005815.0,ns,5736
distr_random_i64,Pcg64,Canon32,,,1809160.0,ns,6214
distr_random_i64,Pcg64,Canon32,,,1721618.0,ns,6692
distr_random_i64,Pcg64,Canon32,,,3989844.0,ns,7170
distr_random_i64,Pcg64,Canon32,,,4172334.0,ns,7648
distr_random_i64,Pcg64,Canon32,,,3026445.0,ns,8126
distr_random_i64,Pcg64,Canon32,,,5355323.0,ns,8604
distr_random_i64,Pcg64,Canon32,,,2619481.0,ns,9082
distr_random_i64,Pcg64,Canon32,,,3325704.0,ns,9560
distr_random_i64,Pcg64,Canon32,,,2531186.0,ns,10038
distr_random_i64,Pcg64,Canon32,,,4903806.0,ns,10516
distr_random_i64,Pcg64,Canon32,,,4012927.0,ns,10994
distr_random_i64,Pcg64,Canon32,,,8181742.0,ns,11472
distr_random_i64,Pcg64,Canon32,,,3813208.0,ns,11950
distr_random_i64,Pcg64,Canon32,,,3722939.0,ns,12428
distr_random_i64,Pcg64,Canon32,,,8848942.0,ns,12906
distr_random_i64,Pcg64,Canon32,,,6324325.0,ns,13384
distr_random_i64,Pcg64,Canon32,,,9708231.0,ns,13862
distr_random_i64,Pcg64,Canon32,,,8798285.0,ns,14340
distr_random_i64,Pcg64,Canon32,,,3619350.0,ns,14818
distr_random_i64,Pcg64,Canon32,,,10146976.0,ns,15296
distr_random_i64,Pcg64,Canon32,,,5651495.0,ns,15774
distr_random_i64,Pcg64,Canon32,,,9055414.0,ns,16252
distr_random_i64,Pcg64,Canon32,,,5471574.0,ns,16730
distr_random_i64,Pcg64,Canon32,,,5103939.0,ns,17208
distr_random_i64,Pcg64,Canon32,,,10005230.0,ns,17686
distr_random_i64,Pcg64,Canon32,,,5089921.0,ns,18164
distr_random_i64,Pcg64,Canon32,,,12731770.0,ns,18642
distr_random_i64,Pcg64,Canon32,,,4863298.0,ns,19120
distr_random_i64,Pcg64,Canon32,,,5849960.0,ns,19598
distr_random_i64,Pcg64,Canon32,,,9293833.0,ns,20076
distr_random_i64,Pcg64,Canon32,,,5921606.0,ns,20554
distr_random_i64,Pcg64,Canon32,,,5474340.0,ns,21032
distr_random_i64,Pcg64,Canon32,,,6043211.0,ns,21510
distr_random_i64,Pcg64,Canon32,,,13929084.0,ns,21988
distr_random_i64,Pcg64,Canon32,,,16198014.0,ns,22466
distr_random_i64,Pcg64,Canon32,,,16596888.0,ns,22944
distr_random_i64,Pcg64,Canon32,,,13004560.0,ns,23422
distr_random_i64,Pcg64,Canon32,,,17091599.0,ns,23900
distr_random_i64,Pcg64,Canon32,,,7118509.0,ns,24378
distr_random_i64,Pcg64,Canon32,,,13498719.0,ns,24856
distr_random_i64,Pcg64,Canon32,,,16665751.0,ns,25334
distr_random_i64,Pcg64,Canon32,,,15232743.0,ns,25812
distr_random_i64,Pcg64,Canon32,,,15167297.0,ns,26290
distr_random_i64,Pcg64,Canon32,,,10817942.0,ns,26768
distr_random_i64,Pcg64,Canon32,,,6879671.0,ns,27246
distr_random_i64,Pcg64,Canon32,,,17602246.0,ns,27724
distr_random_i64,Pcg64,Canon32,,,20183573.0,ns,28202
distr_random_i64,Pcg64,Canon32,,,8953486.0,ns,28680
distr_random_i64,Pcg64,Canon32,,,19435569.0,ns,29158
distr_random_i64,Pcg64,Canon32,,,8364201.0,ns,29636
distr_random_i64,Pcg64,Canon32,,,17659892.0,ns,30114
distr_random_i64,Pcg64,Canon32,,,8078862.0,ns,30592
distr_random_i64,Pcg64,Canon32,,,13495934.0,ns,31070
distr_random_i64,Pcg64,Canon32,,,15273638.0,ns,31548
distr_random_i64,Pcg64,Canon32,,,12030541.0,ns,32026
distr_random_i64,Pcg64,Canon32,,,12036405.0,ns,32504
distr_random_i64,Pcg64,Canon32,,,23417602.0,ns,32982
distr_random_i64,Pcg64,Canon32,,,23150057.0,ns,33460
distr_random_i64,Pcg64,Canon32,,,11015273.0,ns,33938
distr_random_i64,Pcg64,Canon32,,,9218355.0,ns,34416
distr_random_i64,Pcg64,Canon32,,,10983745.0,ns,34894
distr_random_i64,Pcg64,Canon32,,,12571398.0,ns,35372
distr_random_i64,Pcg64,Canon32,,,17557292.0,ns,35850
distr_random_i64,Pcg64,Canon32,,,9619115.0,ns,36328
distr_random_i64,Pcg64,Canon32,,,15156804.0,ns,36806
distr_random_i64,Pcg64,Canon32,,,14704879.0,ns,37284
distr_random_i64,Pcg64,Canon32,,,9624635.0,ns,37762
distr_random_i64,Pcg64,Canon32,,,16387861.0,ns,38240
distr_random_i64,Pcg64,Canon32,,,11304889.0,ns,38718
distr_random_i64,Pcg64,Canon32,,,28091836.0,ns,39196
distr_random_i64,Pcg64,Canon32,,,10734357.0,ns,39674
distr_random_i64,Pcg64,Canon32,,,17902082.0,ns,40152
distr_random_i64,Pcg64,Canon32,,,21596675.0,ns,40630
