group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,Pcg64,Lemire,,,124590.0,ns,483
distr_random_i64,Pcg64,Lemire,,,242935.0,ns,966
distr_random_i64,Pcg64,Lemire,,,1046551.0,ns,1449
distr_random_i64,Pcg64,Lemire,,,471109.0,ns,1932
distr_random_i64,Pcg64,Lemire,,,769069.0,ns,2415
distr_random_i64,Pcg64,Lemire,,,833645.0,ns,2898
distr_random_i64,Pcg64,Lemire,,,819341.0,ns,3381
distr_random_i64,Pcg64,Lemire,,,1444875.0,ns,3864
distr_random_i64,Pcg64,Lemire,,,1585690.0,ns,4347
distr_random_i64,Pcg64,Lemire,,,1253523.0,ns,4830
distr_random_i64,Pcg64,Lemire,,,1627095.0,ns,5313
distr_random_i64,Pcg64,Lemire,,,2323121.0,ns,5796
distr_random_i64,Pcg64,Lemire,,,1554361.0,ns,6279
distr_random_i64,Pcg64,Lemire,,,1891994.0,ns,6762
distr_random_i64,Pcg64,Lemire,,,2078432.0,ns,7245
distr_random_i64,Pcg64,Lemire,,,2239699.0,ns,7728
distr_random_i64,Pcg64,Lemire,,,2806740.0,ns,8211
distr_random_i64,Pcg64,Lemire,,,2384097.0,ns,8694
distr_random_i64,Pcg64,Lemire,,,2233174.0,ns,9177
distr_random_i64,Pcg64,Lemire,,,2370435.0,ns,9660
distr_random_i64,Pcg64,Lemire,,,7487427.0,ns,10143
distr_random_i64,Pcg64,Lemire,,,6946206.0,ns,10626
distr_random_i64,Pcg64,Lemire,,,3556779.0,ns,11109
distr_random_i64,Pcg64,Lemire,,,3967609.0,ns,11592
distr_random_i64,Pcg64,Lemire,,,2960308.0,ns,12075
distr_random_i64,Pcg64,Lemire,,,9013531.0,ns,12558
distr_random_i64,Pcg64,Lemire,,,7282519.0,ns,13041
distr_random_i64,Pcg64,Lemire,,,7106542.0,ns,13524
distr_random_i64,Pcg64,Lemire,,,3863722.0,ns,14007
distr_random_i64,Pcg64,Lemire,,,3603251.0,ns,14490
distr_random_i64,Pcg64,Lemire,,,13722207.0,ns,14973
distr_random_i64,Pcg64,Lemire,,,5008033.0,ns,15456
distr_random_i64,Pcg64,Lemire,,,9193780.0,ns,15939
distr_random_i64,Pcg64,Lemire,,,5416115.0,ns,16422
distr_random_i64,Pcg64,Lemire,,,4753840.0,ns,16905
distr_random_i64,Pcg64,Lemire,,,4991626.0,ns,17388
distr_random_i64,Pcg64,Lemire,,,19513177.0,ns,17871
distr_random_i64,Pcg64,Lemire,,,4531795.0,ns,18354
distr_random_i64,Pcg64,Lemire,,,5737723.0,ns,18837
distr_random_i64,Pcg64,Lemire,,,5828099.0,ns,19320
distr_random_i64,Pcg64,Lemire,,,9372616.0,ns,19803
distr_random_i64,Pcg64,Lemire,,,4923133.0,ns,20286
distr_random_i64,Pcg64,Lemire,,,7257530.0,ns,20769
distr_random_i64,Pcg64,Lemire,,,5733474.0,ns,21252
distr_random_i64,Pcg64,Lemire,,,10281945.0,ns,21735
distr_random_i64,Pcg64,Lemire,,,10935423.0,ns,22218
distr_random_i64,Pcg64,Lemire,,,6796924.0,ns,22701
distr_random_i64,Pcg64,Lemire,,,6503164.0,ns,23184
distr_random_i64,Pcg64,Lemire,,,6453099.0,ns,23667
distr_random_i64,Pcg64,Lemire,,,7489458.0,ns,24150
distr_random_i64,Pcg64,Lemire,,,6909221.0,ns,24633
distr_random_i64,Pcg64,Lemire,,,9053377.0,ns,25116
distr_random_i64,Pcg64,Lemire,,,6645069.0,ns,25599
distr_random_i64,Pcg64,Lemire,,,10939962.0,ns,26082
distr_random_i64,Pcg64,Lemire,,,10306273.0,ns,26565
distr_random_i64,Pcg64,Lemire,,,8163262.0,ns,27048
distr_random_i64,Pcg64,Lemire,,,29074986.0,ns,27531
distr_random_i64,Pcg64,Lemire,,,9194828.0,ns,28014
distr_random_i64,Pcg64,Lemire,,,7774502.0,ns,28497
distr_random_i64,Pcg64,Lemire,,,16937986.0,ns,28980
distr_random_i64,Pcg64,Lemire,,,7580342.0,ns,29463
distr_random_i64,Pcg64,Lemire,,,15947741.0,ns,29946
distr_random_i64,Pcg64,Lemire,,,30774724.0,ns,30429
distr_random_i64,Pcg64,Lemire,,,7956546.0,ns,30912
distr_random_i64,Pcg64,Lemire,,,7661902.0,ns,31395
distr_random_i64,Pcg64,Lemire,,,8091898.0,ns,31878
distr_random_i64,Pcg64,Lemire,,,13255711.0,ns,32361
distr_random_i64,Pcg64,Lemire,,,8127256.0,ns,32844
distr_random_i64,Pcg64,Lemire,,,8158333.0,ns,33327
distr_random_i64,Pcg64,Lemire,,,13585873.0,ns,33810
distr_random_i64,Pcg64,Lemire,,,10824151.0,ns,34293
distr_random_i64,Pcg64,Lemire,,,12051052.0,ns,34776
distr_random_i64,Pcg64,Lemire,,,11262720.0,ns,35259
distr_random_i64,Pcg64,Lemire,,,10551352.0,ns,35742
distr_random_i64,Pcg64,Lemire,,,29431280.0,ns,36225
distr_random_i64,Pcg64,Lemire,,,10498514.0,ns,36708
distr_random_i64,Pcg64,Lemire,,,8996324.0,ns,37191
distr_random_i64,Pcg64,Lemire,,,9209106.0,ns,37674
distr_random_i64,Pcg64,Lemire,,,9957183.0,ns,38157
distr_random_i64,Pcg64,Lemire,,,12770971.0,ns,38640
distr_random_i64,Pcg64,Lemire,,,13894207.0,ns,39123
distr_random_i64,Pcg64,Lemire,,,15340894.0,ns,39606
distr_random_i64,Pcg64,Lemire,,,11096711.0,ns,40089
distr_random_i64,Pcg64,Lemire,,,16752280.0,ns,40572
distr_random_i64,Pcg64,Lemire,,,20281821.0,ns,41055
distr_random_i64,Pcg64,Lemire,,,16249819.0,ns,41538
distr_random_i64,Pcg64,Lemire,,,11450230.0,ns,42021
distr_random_i64,Pcg64,Lemire,,,27486504.0,ns,42504
distr_random_i64,Pcg64,Lemire,,,12467658.0,ns,42987
distr_random_i64,Pcg64,Lemire,,,21422651.0,ns,43470
distr_random_i64,Pcg64,Lemire,,,12594347.0,ns,43953
distr_random_i64,Pcg64,Lemire,,,13205617.0,ns,44436
distr_random_i64,Pcg64,Lemire,,,16278243.0,ns,44919
distr_random_i64,Pcg64,Lemire,,,12442635.0,ns,45402
distr_random_i64,Pcg64,Lemire,,,13317533.0,ns,45885
distr_random_i64,Pcg64,Lemire,,,14862559.0,ns,46368
distr_random_i64,Pcg64,Lemire,,,22826530.0,ns,46851
distr_random_i64,Pcg64,Lemire,,,23375139.0,ns,47334
distr_random_i64,Pcg64,Lemire,,,24401212.0,ns,47817
distr_random_i64,Pcg64,Lemire,,,22008516.0,ns,48300
