group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,SmallRng,Canon32,,,321053.0,ns,656
distr_random_i64,SmallRng,Canon32,,,231658.0,ns,1312
distr_random_i64,SmallRng,Canon32,,,384501.0,ns,1968
distr_random_i64,SmallRng,Canon32,,,642537.0,ns,2624
distr_random_i64,SmallRng,Canon32,,,645681.0,ns,3280
distr_random_i64,SmallRng,Canon32,,,1285081.0,ns,3936
distr_random_i64,SmallRng,Canon32,,,815252.0,ns,4592
distr_random_i64,SmallRng,Canon32,,,1022390.0,ns,5248
distr_random_i64,SmallRng,Canon32,,,1486037.0,ns,5904
distr_random_i64,SmallRng,Canon32,,,2693596.0,ns,6560
distr_random_i64,SmallRng,Canon32,,,3392631.0,ns,7216
distr_random_i64,SmallRng,Canon32,,,1166007.0,ns,7872
distr_random_i64,SmallRng,Canon32,,,1601504.0,ns,8528
distr_random_i64,SmallRng,Canon32,,,4264371.0,ns,9184
distr_random_i64,SmallRng,Canon32,,,2473031.0,ns,9840
distr_random_i64,SmallRng,Canon32,,,1739368.0,ns,10496
distr_random_i64,SmallRng,Canon32,,,3505738.0,ns,11152
distr_random_i64,SmallRng,Canon32,,,2000935.0,ns,11808
distr_random_i64,SmallRng,Canon32,,,3763586.0,ns,12464
distr_random_i64,SmallRng,Canon32,,,6077898.0,ns,13120
distr_random_i64,SmallRng,Canon32,,,3306800.0,ns,13776
distr_random_i64,SmallRng,Canon32,,,4751135.0,ns,14432
distr_random_i64,SmallRng,Canon32,,,4594433.0,ns,15088
distr_random_i64,SmallRng,Canon32,,,2484276.0,ns,15744
distr_random_i64,SmallRng,Canon32,,,7616863.0,ns,16400
distr_random_i64,SmallRng,Canon32,,,2494680.0,ns,17056
distr_random_i64,SmallRng,Canon32,,,2729640.0,ns,17712
distr_random_i64,SmallRng,Canon32,,,4945477.0,ns,18368
distr_random_i64,SmallRng,Canon32,,,2833514.0,ns,19024
distr_random_i64,SmallRng,Canon32,,,3263601.0,ns,19680
distr_random_i64,SmallRng,Canon32,,,4003115.0,ns,20336
distr_random_i64,SmallRng,Canon32,,,5413163.0,ns,20992
distr_random_i64,SmallRng,Canon32,,,8642559.0,ns,21648
distr_random_i64,SmallRng,Canon32,,,8681226.0,ns,22304
distr_random_i64,SmallRng,Canon32,,,3749546.0,ns,22960
distr_random_i64,SmallRng,Canon32,,,4115959.0,ns,23616
distr_random_i64,SmallRng,Canon32,,,6515667.0,ns,24272
distr_random_i64,SmallRng,Canon32,,,6106662.0,ns,24928
distr_random_i64,SmallRng,Canon32,,,9419650.0,ns,25584
distr_random_i64,SmallRng,Canon32,,,10011541.0,ns,26240
distr_random_i64,SmallRng,Canon32,,,5479733.0,ns,26896
distr_random_i64,SmallRng,Canon32,,,12940558.0,ns,27552
distr_random_i64,SmallRng,Canon32,,,11662805.0,ns,28208
distr_random_i64,SmallRng,Canon32,,,5653154.0,ns,28864
distr_random_i64,SmallRng,Canon32,,,7021516.0,ns,29520
distr_random_i64,SmallRng,Canon32,,,6703489.0,ns,30176
distr_random_i64,SmallRng,Canon32,,,6286235.0,ns,30832
distr_random_i64,SmallRng,Canon32,,,7450638.0,ns,31488
distr_random_i64,SmallRng,Canon32,,,13606894.0,ns,32144
distr_random_i64,SmallRng,Canon32,,,7508186.0,ns,32800
distr_random_i64,SmallRng,Canon32,,,14290342.0,ns,33456
distr_random_i64,SmallRng,Canon32,,,6802542.0,ns,34112
distr_random_i64,SmallRng,Canon32,,,8414034.0,ns,34768
distr_random_i64,SmallRng,Canon32,,,10780942.0,ns,35424
distr_random_i64,SmallRng,Canon32,,,13354123.0,ns,36080
distr_random_i64,SmallRng,Canon32,,,6147106.0,ns,36736
distr_random_i64,SmallRng,Canon32,,,5692740.0,ns,37392
distr_random_i64,SmallRng,Canon32,,,18215289.0,ns,38048
distr_random_i64,SmallRng,Canon32,,,12234859.0,ns,38704
distr_random_i64,SmallRng,Canon32,,,18839183.0,ns,39360
distr_random_i64,SmallRng,Canon32,,,8571920.0,ns,40016
distr_random_i64,SmallRng,Canon32,,,9665547.0,ns,40672
distr_random_i64,SmallRng,Canon32,,,9604609.0,ns,41328
distr_random_i64,SmallRng,Canon32,,,18610906.0,ns,41984
distr_random_i64,SmallRng,Canon32,,,7762350.0,ns,42640
distr_random_i64,SmallRng,Canon32,,,15328609.0,ns,43296
distr_random_i64,SmallRng,Canon32,,,6860833.0,ns,43952
distr_random_i64,SmallRng,Canon32,,,9586223.0,ns,44608
distr_random_i64,SmallRng,Canon32,,,7475318.0,ns,45264
distr_random_i64,SmallRng,Canon32,,,21982079.0,ns,45920
distr_random_i64,SmallRng,Canon32,,,18524625.0,ns,46576
distr_random_i64,SmallRng,Canon32,,,20749301.0,ns,47232
distr_random_i64,SmallRng,Canon32,,,8262184.0,ns,47888
distr_random_i64,SmallRng,Canon32,,,11235300.0,ns,48544
distr_random_i64,SmallRng,Canon32,,,19776927.0,ns,49200
distr_random_i64,SmallRng,Canon32,,,9499734.0,ns,49856
distr_random_i64,SmallRng,Canon32,,,7732134.0,ns,50512
distr_random_i64,SmallRng,Canon32,,,13451073.0,ns,51168
distr_random_i64,SmallRng,Canon32,,,13463171.0,ns,51824
distr_random_i64,SmallRng,Canon32,,,9427855.0,ns,52480
distr_random_i64,SmallRng,Canon32,,,9724874.0,ns,53136
distr_random_i64,SmallRng,Canon32,,,10340721.0,ns,53792
distr_random_i64,SmallRng,Canon32,,,20912558.0,ns,54448
distr_random_i64,SmallRng,Canon32,,,19105831.0,ns,55104
distr_random_i64,SmallRng,Canon32,,,12660120.0,ns,55760
distr_random_i64,SmallRng,Canon32,,,16397842.0,ns,56416
distr_random_i64,SmallRng,Canon32,,,14116603.0,ns,57072
distr_random_i64,SmallRng,Canon32,,,8933749.0,ns,57728
distr_random_i64,SmallRng,Canon32,,,25621797.0,ns,58384
distr_random_i64,SmallRng,Canon32,,,15510084.0,ns,59040
distr_random_i64,SmallRng,Canon32,,,9591298.0,ns,59696
distr_random_i64,SmallRng,Canon32,,,9890449.0,ns,60352
distr_random_i64,SmallRng,Canon32,,,24445443.0,ns,61008
distr_random_i64,SmallRng,Canon32,,,12553865.0,ns,61664
distr_random_i64,SmallRng,Canon32,,,13899593.0,ns,62320
distr_random_i64,SmallRng,Canon32,,,13629654.0,ns,62976
distr_random_i64,SmallRng,Canon32,,,30599833.0,ns,63632
distr_random_i64,SmallRng,Canon32,,,10007415.0,ns,64288
distr_random_i64,SmallRng,Canon32,,,11870776.0,ns,64944
distr_random_i64,SmallRng,Canon32,,,24295447.0,ns,65600
