group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,ChaCha8Rng,Canon,,,196076.0,ns,785
distr_random_i8,ChaCha8Rng,Canon,,,396989.0,ns,1570
distr_random_i8,ChaCha8Rng,Canon,,,587103.0,ns,2355
distr_random_i8,ChaCha8Rng,Canon,,,787193.0,ns,3140
distr_random_i8,ChaCha8Rng,Canon,,,983543.0,ns,3925
distr_random_i8,ChaCha8Rng,Canon,,,1175190.0,ns,4710
distr_random_i8,ChaCha8Rng,Canon,,,1375145.0,ns,5495
distr_random_i8,ChaCha8Rng,Canon,,,1567453.0,ns,6280
distr_random_i8,ChaCha8Rng,Canon,,,1766298.0,ns,7065
distr_random_i8,ChaCha8Rng,Canon,,,1969359.0,ns,7850
distr_random_i8,ChaCha8Rng,Canon,,,2191761.0,ns,8635
distr_random_i8,ChaCha8Rng,Canon,,,2354546.0,ns,9420
distr_random_i8,ChaCha8Rng,Canon,,,2545002.0,ns,10205
distr_random_i8,ChaCha8Rng,Canon,,,2744688.0,ns,10990
distr_random_i8,ChaCha8Rng,Canon,,,2947336.0,ns,11775
distr_random_i8,ChaCha8Rng,Canon,,,3133761.0,ns,12560
distr_random_i8,ChaCha8Rng,Canon,,,3329132.0,ns,13345
distr_random_i8,ChaCha8Rng,Canon,,,3524800.0,ns,14130
distr_random_i8,ChaCha8Rng,Canon,,,3722753.0,ns,14915
distr_random_i8,ChaCha8Rng,Canon,,,3978567.0,ns,15700
distr_random_i8,ChaCha8Rng,Canon,,,4115398.0,ns,16485
distr_random_i8,ChaCha8Rng,Canon,,,4312945.0,ns,17270
distr_random_i8,ChaCha8Rng,Canon,,,4510197.0,ns,18055
distr_random_i8,ChaCha8Rng,Canon,,,4700944.0,ns,18840
distr_random_i8,ChaCha8Rng,Canon,,,4904858.0,ns,19625
distr_random_i8,ChaCha8Rng,Canon,,,5092395.0,ns,20410
distr_random_i8,ChaCha8Rng,Canon,,,5320421.0,ns,21195
distr_random_i8,ChaCha8Rng,Canon,,,5484672.0,ns,21980
distr_random_i8,ChaCha8Rng,Canon,,,5684312.0,ns,22765
distr_random_i8,ChaCha8Rng,Canon,,,5877999.0,ns,23550
distr_random_i8,ChaCha8Rng,Canon,,,6071319.0,ns,24335
distr_random_i8,ChaCha8Rng,Canon,,,6266192.0,ns,25120
distr_random_i8,ChaCha8Rng,Canon,,,6463681.0,ns,25905
distr_random_i8,ChaCha8Rng,Canon,,,6663436.0,ns,26690
distr_random_i8,ChaCha8Rng,Canon,,,6853159.0,ns,27475
distr_random_i8,ChaCha8Rng,Canon,,,7050997.0,ns,28260
distr_random_i8,ChaCha8Rng,Canon,,,7328410.0,ns,29045
distr_random_i8,ChaCha8Rng,Canon,,,7451259.0,ns,29830
distr_random_i8,ChaCha8Rng,Canon,,,7644387.0,ns,30615
distr_random_i8,ChaCha8Rng,Canon,,,7835074.0,ns,31400
distr_random_i8,ChaCha8Rng,Canon,,,8038465.0,ns,32185
distr_random_i8,ChaCha8Rng,Canon,,,8222887.0,ns,32970
distr_random_i8,ChaCha8Rng,Canon,,,8427473.0,ns,33755
distr_random_i8,ChaCha8Rng,Canon,,,8619597.0,ns,34540
distr_random_i8,ChaCha8Rng,Canon,,,8807151.0,ns,35325
distr_random_i8,ChaCha8Rng,Canon,,,9017511.0,ns,36110
distr_random_i8,ChaCha8Rng,Canon,,,9205917.0,ns,36895
distr_random_i8,ChaCha8Rng,Canon,,,9392624.0,ns,37680
distr_random_i8,ChaCha8Rng,Canon,,,9616820.0,ns,38465
distr_random_i8,ChaCha8Rng,Canon,,,9790661.0,ns,39250
distr_random_i8,ChaCha8Rng,Canon,,,9992440.0,ns,40035
distr_random_i8,ChaCha8Rng,Canon,,,10192799.0,ns,40820
distr_random_i8,ChaCha8Rng,Canon,,,10383410.0,ns,41605
distr_random_i8,ChaCha8Rng,Canon,,,10588888.0,ns,42390
distr_random_i8,ChaCha8Rng,Canon,,,10761689.0,ns,43175
distr_random_i8,ChaCha8Rng,Canon,,,10971468.0,ns,43960
distr_random_i8,ChaCha8Rng,Canon,,,11162012.0,ns,44745
distr_random_i8,ChaCha8Rng,Canon,,,11358355.0,ns,45530
distr_random_i8,ChaCha8Rng,Canon,,,11557314.0,ns,46315
distr_random_i8,ChaCha8Rng,Canon,,,11750845.0,ns,47100
distr_random_i8,ChaCha8Rng,Canon,,,11947064.0,ns,47885
distr_random_i8,ChaCha8Rng,Canon,,,12139004.0,ns,48670
distr_random_i8,ChaCha8Rng,Canon,,,12338626.0,ns,49455
distr_random_i8,ChaCha8Rng,Canon,,,12529859.0,ns,50240
distr_random_i8,ChaCha8Rng,Canon,,,12770234.0,ns,51025
distr_random_i8,ChaCha8Rng,Canon,,,12942755.0,ns,51810
distr_random_i8,ChaCha8Rng,Canon,,,13117684.0,ns,52595
distr_random_i8,ChaCha8Rng,Canon,,,13312847.0,ns,53380
distr_random_i8,ChaCha8Rng,Canon,,,14116106.0,ns,54165
distr_random_i8,ChaCha8Rng,Canon,,,13975421.0,ns,54950
distr_random_i8,ChaCha8Rng,Canon,,,13937059.0,ns,55735
distr_random_i8,ChaCha8Rng,Canon,,,14110492.0,ns,56520
distr_random_i8,ChaCha8Rng,Canon,,,14304847.0,ns,57305
distr_random_i8,ChaCha8Rng,Canon,,,14544569.0,ns,58090
distr_random_i8,ChaCha8Rng,Canon,,,14701822.0,ns,58875
distr_random_i8,ChaCha8Rng,Canon,,,14902740.0,ns,59660
distr_random_i8,ChaCha8Rng,Canon,,,15083308.0,ns,60445
distr_random_i8,ChaCha8Rng,Canon,,,15277316.0,ns,61230
distr_random_i8,ChaCha8Rng,Canon,,,15485484.0,ns,62015
distr_random_i8,ChaCha8Rng,Canon,,,15733505.0,ns,62800
distr_random_i8,ChaCha8Rng,Canon,,,15882983.0,ns,63585
distr_random_i8,ChaCha8Rng,Canon,,,16066793.0,ns,64370
distr_random_i8,ChaCha8Rng,Canon,,,16263328.0,ns,65155
distr_random_i8,ChaCha8Rng,Canon,,,16444983.0,ns,65940
distr_random_i8,ChaCha8Rng,Canon,,,16638967.0,ns,66725
distr_random_i8,ChaCha8Rng,Canon,,,16845802.0,ns,67510
distr_random_i8,ChaCha8Rng,Canon,,,17062700.0,ns,68295
distr_random_i8,ChaCha8Rng,Canon,,,17267882.0,ns,69080
distr_random_i8,ChaCha8Rng,Canon,,,17433217.0,ns,69865
distr_random_i8,ChaCha8Rng,Canon,,,17628190.0,ns,70650
distr_random_i8,ChaCha8Rng,Canon,,,17820796.0,ns,71435
distr_random_i8,ChaCha8Rng,Canon,,,18015014.0,ns,72220
distr_random_i8,ChaCha8Rng,Canon,,,18205225.0,ns,73005
distr_random_i8,ChaCha8Rng,Canon,,,18403521.0,ns,73790
distr_random_i8,ChaCha8Rng,Canon,,,18611209.0,ns,74575
distr_random_i8,ChaCha8Rng,Canon,,,18805456.0,ns,75360
distr_random_i8,ChaCha8Rng,Canon,,,19007988.0,ns,76145
distr_random_i8,ChaCha8Rng,Canon,,,19201925.0,ns,76930
distr_random_i8,ChaCha8Rng,Canon,,,19542612.0,ns,77715
distr_random_i8,ChaCha8Rng,Canon,,,20240613.0,ns,78500
