group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,ChaCha8Rng,Old,,,203732.0,ns,1112
distr_random_i8,ChaCha8Rng,Old,,,382481.0,ns,2224
distr_random_i8,ChaCha8Rng,Old,,,578521.0,ns,3336
distr_random_i8,ChaCha8Rng,Old,,,763920.0,ns,4448
distr_random_i8,ChaCha8Rng,Old,,,961507.0,ns,5560
distr_random_i8,ChaCha8Rng,Old,,,1155537.0,ns,6672
distr_random_i8,ChaCha8Rng,Old,,,1344615.0,ns,7784
distr_random_i8,ChaCha8Rng,Old,,,1546548.0,ns,8896
distr_random_i8,ChaCha8Rng,Old,,,1747298.0,ns,10008
distr_random_i8,ChaCha8Rng,Old,,,1937242.0,ns,11120
distr_random_i8,ChaCha8Rng,Old,,,2229286.0,ns,12232
distr_random_i8,ChaCha8Rng,Old,,,2333709.0,ns,13344
distr_random_i8,ChaCha8Rng,Old,,,2525335.0,ns,14456
distr_random_i8,ChaCha8Rng,Old,,,2699335.0,ns,15568
distr_random_i8,ChaCha8Rng,Old,,,2882621.0,ns,16680
distr_random_i8,ChaCha8Rng,Old,,,3086822.0,ns,17792
distr_random_i8,ChaCha8Rng,Old,,,3290324.0,ns,18904
distr_random_i8,ChaCha8Rng,Old,,,3497689.0,ns,20016
distr_random_i8,ChaCha8Rng,Old,,,3693725.0,ns,21128
distr_random_i8,ChaCha8Rng,Old,,,3888601.0,ns,22240
distr_random_i8,ChaCha8Rng,Old,,,4086399.0,ns,23352
distr_random_i8,ChaCha8Rng,Old,,,4237850.0,ns,24464
distr_random_i8,ChaCha8Rng,Old,,,4440292.0,ns,25576
distr_random_i8,ChaCha8Rng,Old,,,4628858.0,ns,26688
distr_random_i8,ChaCha8Rng,Old,,,4876542.0,ns,27800
distr_random_i8,ChaCha8Rng,Old,,,5003931.0,ns,28912
distr_random_i8,ChaCha8Rng,Old,,,5205194.0,ns,30024
distr_random_i8,ChaCha8Rng,Old,,,5405597.0,ns,31136
distr_random_i8,ChaCha8Rng,Old,,,5631431.0,ns,32248
distr_random_i8,ChaCha8Rng,Old,,,5982693.0,ns,33360
distr_random_i8,ChaCha8Rng,Old,,,5956786.0,ns,34472
distr_random_i8,ChaCha8Rng,Old,,,6144162.0,ns,35584
distr_random_i8,ChaCha8Rng,Old,,,6348191.0,ns,36696
distr_random_i8,ChaCha8Rng,Old,,,6772540.0,ns,37808
distr_random_i8,ChaCha8Rng,Old,,,6768405.0,ns,38920
distr_random_i8,ChaCha8Rng,Old,,,6965679.0,ns,40032
distr_random_i8,ChaCha8Rng,Old,,,7140206.0,ns,41144
distr_random_i8,ChaCha8Rng,Old,,,7291021.0,ns,42256
distr_random_i8,ChaCha8Rng,Old,,,7554557.0,ns,43368
distr_random_i8,ChaCha8Rng,Old,,,7678033.0,ns,44480
distr_random_i8,ChaCha8Rng,Old,,,8097533.0,ns,45592
distr_random_i8,ChaCha8Rng,Old,,,8161357.0,ns,46704
distr_random_i8,ChaCha8Rng,Old,,,8351169.0,ns,47816
distr_random_i8,ChaCha8Rng,Old,,,8489798.0,ns,48928
distr_random_i8,ChaCha8Rng,Old,,,8713628.0,ns,50040
distr_random_i8,ChaCha8Rng,Old,,,8841277.0,ns,51152
distr_random_i8,ChaCha8Rng,Old,,,9306138.0,ns,52264
distr_random_i8,ChaCha8Rng,Old,,,9407651.0,ns,53376
distr_random_i8,ChaCha8Rng,Old,,,9442075.0,ns,54488
distr_random_i8,ChaCha8Rng,Old,,,9957809.0,ns,55600
distr_random_i8,ChaCha8Rng,Old,,,10044143.0,ns,56712
distr_random_i8,ChaCha8Rng,Old,,,10046949.0,ns,57824
distr_random_i8,ChaCha8Rng,Old,,,10387283.0,ns,58936
distr_random_i8,ChaCha8Rng,Old,,,10378868.0,ns,60048
distr_random_i8,ChaCha8Rng,Old,,,11727194.0,ns,61160
distr_random_i8,ChaCha8Rng,Old,,,10780607.0,ns,62272
distr_random_i8,ChaCha8Rng,Old,,,11005659.0,ns,63384
distr_random_i8,ChaCha8Rng,Old,,,11175545.0,ns,64496
distr_random_i8,ChaCha8Rng,Old,,,11558639.0,ns,65608
distr_random_i8,ChaCha8Rng,Old,,,11571866.0,ns,66720
distr_random_i8,ChaCha8Rng,Old,,,11831328.0,ns,67832
distr_random_i8,ChaCha8Rng,Old,,,12214763.0,ns,68944
distr_random_i8,ChaCha8Rng,Old,,,12134587.0,ns,70056
