group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,Pcg64,Canon-Lemire,,,194915.0,ns,806
distr_random_i8,Pcg64,Canon-Lemire,,,390813.0,ns,1612
distr_random_i8,Pcg64,Canon-Lemire,,,589784.0,ns,2418
distr_random_i8,Pcg64,Canon-Lemire,,,783230.0,ns,3224
distr_random_i8,Pcg64,Canon-Lemire,,,977695.0,ns,4030
distr_random_i8,Pcg64,Canon-Lemire,,,1173553.0,ns,4836
distr_random_i8,Pcg64,Canon-Lemire,,,1368861.0,ns,5642
distr_random_i8,Pcg64,Canon-Lemire,,,1566570.0,ns,6448
distr_random_i8,Pcg64,Canon-Lemire,,,1759005.0,ns,7254
distr_random_i8,Pcg64,Canon-Lemire,,,1956283.0,ns,8060
distr_random_i8,Pcg64,Canon-Lemire,,,2152326.0,ns,8866
distr_random_i8,Pcg64,Canon-Lemire,,,2346130.0,ns,9672
distr_random_i8,Pcg64,Canon-Lemire,,,2540312.0,ns,10478
distr_random_i8,Pcg64,Canon-Lemire,,,2735950.0,ns,11284
distr_random_i8,Pcg64,Canon-Lemire,,,2939465.0,ns,12090
distr_random_i8,Pcg64,Canon-Lemire,,,3129958.0,ns,12896
distr_random_i8,Pcg64,Canon-Lemire,,,3328027.0,ns,13702
distr_random_i8,Pcg64,Canon-Lemire,,,3520026.0,ns,14508
distr_random_i8,Pcg64,Canon-Lemire,,,3715346.0,ns,15314
distr_random_i8,Pcg64,Canon-Lemire,,,3928856.0,ns,16120
distr_random_i8,Pcg64,Canon-Lemire,,,4105156.0,ns,16926
distr_random_i8,Pcg64,Canon-Lemire,,,4299261.0,ns,17732
distr_random_i8,Pcg64,Canon-Lemire,,,4500676.0,ns,18538
distr_random_i8,Pcg64,Canon-Lemire,,,4692550.0,ns,19344
distr_random_i8,Pcg64,Canon-Lemire,,,4888030.0,ns,20150
distr_random_i8,Pcg64,Canon-Lemire,,,5084925.0,ns,20956
distr_random_i8,Pcg64,Canon-Lemire,,,5296674.0,ns,21762
distr_random_i8,Pcg64,Canon-Lemire,,,5473014.0,ns,22568
distr_random_i8,Pcg64,Canon-Lemire,,,5671174.0,ns,23374
distr_random_i8,Pcg64,Canon-Lemire,,,5868021.0,ns,24180
distr_random_i8,Pcg64,Canon-Lemire,,,6061749.0,ns,24986
distr_random_i8,Pcg64,Canon-Lemire,,,6255840.0,ns,25792
distr_random_i8,Pcg64,Canon-Lemire,,,6448850.0,ns,26598
distr_random_i8,Pcg64,Canon-Lemire,,,6648385.0,ns,27404
distr_random_i8,Pcg64,Canon-Lemire,,,6845633.0,ns,28210
distr_random_i8,Pcg64,Canon-Lemire,,,7041232.0,ns,29016
distr_random_i8,Pcg64,Canon-Lemire,,,7236202.0,ns,29822
distr_random_i8,Pcg64,Canon-Lemire,,,7438220.0,ns,30628
distr_random_i8,Pcg64,Canon-Lemire,,,7629838.0,ns,31434
distr_random_i8,Pcg64,Canon-Lemire,,,7820613.0,ns,32240
distr_random_i8,Pcg64,Canon-Lemire,,,8020297.0,ns,33046
distr_random_i8,Pcg64,Canon-Lemire,,,8213299.0,ns,33852
distr_random_i8,Pcg64,Canon-Lemire,,,8412985.0,ns,34658
distr_random_i8,Pcg64,Canon-Lemire,,,8601684.0,ns,35464
distr_random_i8,Pcg64,Canon-Lemire,,,8802674.0,ns,36270
distr_random_i8,Pcg64,Canon-Lemire,,,8993712.0,ns,37076
distr_random_i8,Pcg64,Canon-Lemire,,,9187009.0,ns,37882
distr_random_i8,Pcg64,Canon-Lemire,,,9380551.0,ns,38688
distr_random_i8,Pcg64,Canon-Lemire,,,9575445.0,ns,39494
distr_random_i8,Pcg64,Canon-Lemire,,,9778296.0,ns,40300
distr_random_i8,Pcg64,Canon-Lemire,,,9974396.0,ns,41106
distr_random_i8,Pcg64,Canon-Lemire,,,10173832.0,ns,41912
distr_random_i8,Pcg64,Canon-Lemire,,,10373147.0,ns,42718
distr_random_i8,Pcg64,Canon-Lemire,,,10571361.0,ns,43524
distr_random_i8,Pcg64,Canon-Lemire,,,10820757.0,ns,44330
distr_random_i8,Pcg64,Canon-Lemire,,,10948844.0,ns,45136
distr_random_i8,Pcg64,Canon-Lemire,,,11140250.0,ns,45942
distr_random_i8,Pcg64,Canon-Lemire,,,11338132.0,ns,46748
distr_random_i8,Pcg64,Canon-Lemire,,,11535570.0,ns,47554
distr_random_i8,Pcg64,Canon-Lemire,,,11732455.0,ns,48360
distr_random_i8,Pcg64,Canon-Lemire,,,11920903.0,ns,49166
distr_random_i8,Pcg64,Canon-Lemire,,,12120191.0,ns,49972
distr_random_i8,Pcg64,Canon-Lemire,,,12313827.0,ns,50778
distr_random_i8,Pcg64,Canon-Lemire,,,12525829.0,ns,51584
distr_random_i8,Pcg64,Canon-Lemire,,,12712920.0,ns,52390
distr_random_i8,Pcg64,Canon-Lemire,,,12895274.0,ns,53196
distr_random_i8,Pcg64,Canon-Lemire,,,13104750.0,ns,54002
distr_random_i8,Pcg64,Canon-Lemire,,,13288367.0,ns,54808
distr_random_i8,Pcg64,Canon-Lemire,,,13676912.0,ns,55614
distr_random_i8,Pcg64,Canon-Lemire,,,13717598.0,ns,56420
distr_random_i8,Pcg64,Canon-Lemire,,,13914059.0,ns,57226
distr_random_i8,Pcg64,Canon-Lemire,,,14088713.0,ns,58032
distr_random_i8,Pcg64,Canon-Lemire,,,14271814.0,ns,58838
distr_random_i8,Pcg64,Canon-Lemire,,,14468013.0,ns,59644
distr_random_i8,Pcg64,Canon-Lemire,,,14668890.0,ns,60450
distr_random_i8,Pcg64,Canon-Lemire,,,14860670.0,ns,61256
distr_random_i8,Pcg64,Canon-Lemire,,,15056055.0,ns,62062
distr_random_i8,Pcg64,Canon-Lemire,,,15250836.0,ns,62868
distr_random_i8,Pcg64,Canon-Lemire,,,15447731.0,ns,63674
distr_random_i8,Pcg64,Canon-Lemire,,,15640345.0,ns,64480
distr_random_i8,Pcg64,Canon-Lemire,,,15846664.0,ns,65286
distr_random_i8,Pcg64,Canon-Lemire,,,16063885.0,ns,66092
distr_random_i8,Pcg64,Canon-Lemire,,,16238929.0,ns,66898
distr_random_i8,Pcg64,Canon-Lemire,,,16443892.0,ns,67704
distr_random_i8,Pcg64,Canon-Lemire,,,16623592.0,ns,68510
distr_random_i8,Pcg64,Canon-Lemire,,,16814303.0,ns,69316
distr_random_i8,Pcg64,Canon-Lemire,,,17026132.0,ns,70122
distr_random_i8,Pcg64,Canon-Lemire,,,17209905.0,ns,70928
distr_random_i8,Pcg64,Canon-Lemire,,,17397386.0,ns,71734
distr_random_i8,Pcg64,Canon-Lemire,,,17641320.0,ns,72540
distr_random_i8,Pcg64,Canon-Lemire,,,17872084.0,ns,73346
distr_random_i8,Pcg64,Canon-Lemire,,,18020376.0,ns,74152
distr_random_i8,Pcg64,Canon-Lemire,,,18196767.0,ns,74958
distr_random_i8,Pcg64,Canon-Lemire,,,18381762.0,ns,75764
distr_random_i8,Pcg64,Canon-Lemire,,,18572118.0,ns,76570
distr_random_i8,Pcg64,Canon-Lemire,,,18801582.0,ns,77376
distr_random_i8,Pcg64,Canon-Lemire,,,18960804.0,ns,78182
distr_random_i8,Pcg64,Canon-Lemire,,,19174357.0,ns,78988
distr_random_i8,Pcg64,Canon-Lemire,,,19351062.0,ns,79794
distr_random_i8,Pcg64,Canon-Lemire,,,19787714.0,ns,80600
