group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,SmallRng,Bitmask,,,173803.0,ns,450
distr_random_i8,SmallRng,Bitmask,,,370571.0,ns,900
distr_random_i8,SmallRng,Bitmask,,,935712.0,ns,1350
distr_random_i8,SmallRng,Bitmask,,,1377752.0,ns,1800
distr_random_i8,SmallRng,Bitmask,,,529417.0,ns,2250
distr_random_i8,SmallRng,Bitmask,,,2082910.0,ns,2700
distr_random_i8,SmallRng,Bitmask,,,2431097.0,ns,3150
distr_random_i8,SmallRng,Bitmask,,,1576103.0,ns,3600
distr_random_i8,SmallRng,Bitmask,,,2098904.0,ns,4050
distr_random_i8,SmallRng,Bitmask,,,736967.0,ns,4500
distr_random_i8,SmallRng,Bitmask,,,2924454.0,ns,4950
distr_random_i8,SmallRng,Bitmask,,,762528.0,ns,5400
distr_random_i8,SmallRng,Bitmask,,,1864449.0,ns,5850
distr_random_i8,SmallRng,Bitmask,,,3425112.0,ns,6300
distr_random_i8,SmallRng,Bitmask,,,961230.0,ns,6750
distr_random_i8,SmallRng,Bitmask,,,1295006.0,ns,7200
distr_random_i8,SmallRng,Bitmask,,,1593734.0,ns,7650
distr_random_i8,SmallRng,Bitmask,,,3167055.0,ns,8100
distr_random_i8,SmallRng,Bitmask,,,1207078.0,ns,8550
distr_random_i8,SmallRng,Bitmask,,,1881768.0,ns,9000
distr_random_i8,SmallRng,Bitmask,,,2206018.0,ns,9450
distr_random_i8,SmallRng,Bitmask,,,1403578.0,ns,9900
distr_random_i8,SmallRng,Bitmask,,,5250909.0,ns,10350
distr_random_i8,SmallRng,Bitmask,,,7184573.0,ns,10800
distr_random_i8,SmallRng,Bitmask,,,3765545.0,ns,11250
distr_random_i8,SmallRng,Bitmask,,,1649004.0,ns,11700
distr_random_i8,SmallRng,Bitmask,,,4273522.0,ns,12150
distr_random_i8,SmallRng,Bitmask,,,3618291.0,ns,12600
distr_random_i8,SmallRng,Bitmask,,,2270572.0,ns,13050
distr_random_i8,SmallRng,Bitmask,,,5354658.0,ns,13500
distr_random_i8,SmallRng,Bitmask,,,3802583.0,ns,13950
distr_random_i8,SmallRng,Bitmask,,,5683714.0,ns,14400
distr_random_i8,SmallRng,Bitmask,,,4717097.0,ns,14850
distr_random_i8,SmallRng,Bitmask,,,12013784.0,ns,15300
distr_random_i8,SmallRng,Bitmask,,,3888885.0,ns,15750
distr_random_i8,SmallRng,Bitmask,,,12746026.0,ns,16200
distr_random_i8,SmallRng,Bitmask,,,3894278.0,ns,16650
distr_random_i8,SmallRng,Bitmask,,,3165996.0,ns,17100
distr_random_i8,SmallRng,Bitmask,,,3043978.0,ns,17550
distr_random_i8,SmallRng,Bitmask,,,9641175.0,ns,18000
distr_random_i8,SmallRng,Bitmask,,,11152849.0,ns,18450
distr_random_i8,SmallRng,Bitmask,,,13750692.0,ns,18900
distr_random_i8,SmallRng,Bitmask,,,15284118.0,ns,19350
distr_random_i8,SmallRng,Bitmask,,,7000425.0,ns,19800
distr_random_i8,SmallRng,Bitmask,,,13071724.0,ns,20250
distr_random_i8,SmallRng,Bitmask,,,7284389.0,ns,20700
distr_random_i8,SmallRng,Bitmask,,,3803239.0,ns,21150
distr_random_i8,SmallRng,Bitmask,,,13759469.0,ns,21600
distr_random_i8,SmallRng,Bitmask,,,16164236.0,ns,22050
distr_random_i8,SmallRng,Bitmask,,,17469823.0,ns,22500
distr_random_i8,SmallRng,Bitmask,,,5368392.0,ns,22950
distr_random_i8,SmallRng,Bitmask,,,5172614.0,ns,23400
distr_random_i8,SmallRng,Bitmask,,,14451718.0,ns,23850
distr_random_i8,SmallRng,Bitmask,,,19192196.0,ns,24300
distr_random_i8,SmallRng,Bitmask,,,6096024.0,ns,24750
distr_random_i8,SmallRng,Bitmask,,,10626316.0,ns,25200
distr_random_i8,SmallRng,Bitmask,,,7084714.0,ns,25650
distr_random_i8,SmallRng,Bitmask,,,5749100.0,ns,26100
distr_random_i8,SmallRng,Bitmask,,,4316545.0,ns,26550
distr_random_i8,SmallRng,Bitmask,,,17369431.0,ns,27000
distr_random_i8,SmallRng,Bitmask,,,18674414.0,ns,27450
distr_random_i8,SmallRng,Bitmask,,,12991476.0,ns,27900
distr_random_i8,SmallRng,Bitmask,,,7950507.0,ns,28350
distr_random_i8,SmallRng,Bitmask,,,12420077.0,ns,28800
distr_random_i8,SmallRng,Bitmask,,,4757608.0,ns,29250
distr_random_i8,SmallRng,Bitmask,,,15424872.0,ns,29700
distr_random_i8,SmallRng,Bitmask,,,8460609.0,ns,30150
distr_random_i8,SmallRng,Bitmask,,,22318451.0,ns,30600
distr_random_i8,SmallRng,Bitmask,,,5387636.0,ns,31050
distr_random_i8,SmallRng,Bitmask,,,13603444.0,ns,31500
distr_random_i8,SmallRng,Bitmask,,,23298886.0,ns,31950
distr_random_i8,SmallRng,Bitmask,,,19651142.0,ns,32400
distr_random_i8,SmallRng,Bitmask,,,17073521.0,ns,32850
distr_random_i8,SmallRng,Bitmask,,,6940633.0,ns,33300
distr_random_i8,SmallRng,Bitmask,,,20169933.0,ns,33750
distr_random_i8,SmallRng,Bitmask,,,8430542.0,ns,34200
distr_random_i8,SmallRng,Bitmask,,,12174443.0,ns,34650
distr_random_i8,SmallRng,Bitmask,,,27618266.0,ns,35100
distr_random_i8,SmallRng,Bitmask,,,5016788.0,ns,35550
distr_random_i8,SmallRng,Bitmask,,,14010498.0,ns,36000
distr_random_i8,SmallRng,Bitmask,,,19485091.0,ns,36450
distr_random_i8,SmallRng,Bitmask,,,8631518.0,ns,36900
distr_random_i8,SmallRng,Bitmask,,,21092599.0,ns,37350
distr_random_i8,SmallRng,Bitmask,,,19141956.0,ns,37800
distr_random_i8,SmallRng,Bitmask,,,24081401.0,ns,38250
distr_random_i8,SmallRng,Bitmask,,,19744217.0,ns,38700
distr_random_i8,SmallRng,Bitmask,,,30827898.0,ns,39150
distr_random_i8,SmallRng,Bitmask,,,9757859.0,ns,39600
distr_random_i8,SmallRng,Bitmask,,,9337488.0,ns,40050
distr_random_i8,SmallRng,Bitmask,,,14240157.0,ns,40500
distr_random_i8,SmallRng,Bitmask,,,5769300.0,ns,40950
distr_random_i8,SmallRng,Bitmask,,,12526745.0,ns,41400
distr_random_i8,SmallRng,Bitmask,,,23977518.0,ns,41850
distr_random_i8,SmallRng,Bitmask,,,33398930.0,ns,42300
distr_random_i8,SmallRng,Bitmask,,,22887705.0,ns,42750
distr_random_i8,SmallRng,Bitmask,,,21875500.0,ns,43200
distr_random_i8,SmallRng,Bitmask,,,18895386.0,ns,43650
distr_random_i8,SmallRng,Bitmask,,,29220003.0,ns,44100
distr_random_i8,SmallRng,Bitmask,,,12813667.0,ns,44550
distr_random_i8,SmallRng,Bitmask,,,9362947.0,ns,45000
