group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,SmallRng,Old,,,197743.0,ns,1271
distr_random_i8,SmallRng,Old,,,393969.0,ns,2542
distr_random_i8,SmallRng,Old,,,596112.0,ns,3813
distr_random_i8,SmallRng,Old,,,789987.0,ns,5084
distr_random_i8,SmallRng,Old,,,987377.0,ns,6355
distr_random_i8,SmallRng,Old,,,1188471.0,ns,7626
distr_random_i8,SmallRng,Old,,,1383647.0,ns,8897
distr_random_i8,SmallRng,Old,,,1584060.0,ns,10168
distr_random_i8,SmallRng,Old,,,1777970.0,ns,11439
distr_random_i8,SmallRng,Old,,,1977826.0,ns,12710
distr_random_i8,SmallRng,Old,,,2230679.0,ns,13981
distr_random_i8,SmallRng,Old,,,2376889.0,ns,15252
distr_random_i8,SmallRng,Old,,,2577213.0,ns,16523
distr_random_i8,SmallRng,Old,,,2773754.0,ns,17794
distr_random_i8,SmallRng,Old,,,2970857.0,ns,19065
distr_random_i8,SmallRng,Old,,,3167136.0,ns,20336
distr_random_i8,SmallRng,Old,,,3685825.0,ns,21607
distr_random_i8,SmallRng,Old,,,3667148.0,ns,22878
distr_random_i8,SmallRng,Old,,,3795621.0,ns,24149
distr_random_i8,SmallRng,Old,,,3972312.0,ns,25420
distr_random_i8,SmallRng,Old,,,4164588.0,ns,26691
distr_random_i8,SmallRng,Old,,,4363417.0,ns,27962
distr_random_i8,SmallRng,Old,,,4568481.0,ns,29233
distr_random_i8,SmallRng,Old,,,4763953.0,ns,30504
distr_random_i8,SmallRng,Old,,,4955630.0,ns,31775
distr_random_i8,SmallRng,Old,,,5159128.0,ns,33046
distr_random_i8,SmallRng,Old,,,5357991.0,ns,34317
distr_random_i8,SmallRng,Old,,,5555981.0,ns,35588
distr_random_i8,SmallRng,Old,,,5748212.0,ns,36859
distr_random_i8,SmallRng,Old,,,5949025.0,ns,38130
distr_random_i8,SmallRng,Old,,,6133486.0,ns,39401
distr_random_i8,SmallRng,Old,,,6337526.0,ns,40672
distr_random_i8,SmallRng,Old,,,6534965.0,ns,41943
distr_random_i8,SmallRng,Old,,,6722246.0,ns,43214
distr_random_i8,SmallRng,Old,,,6932747.0,ns,44485
distr_random_i8,SmallRng,Old,,,7148016.0,ns,45756
distr_random_i8,SmallRng,Old,,,7330970.0,ns,47027
distr_random_i8,SmallRng,Old,,,7526795.0,ns,48298
distr_random_i8,SmallRng,Old,,,7731786.0,ns,49569
distr_random_i8,SmallRng,Old,,,8527836.0,ns,50840
distr_random_i8,SmallRng,Old,,,8119389.0,ns,52111
distr_random_i8,SmallRng,Old,,,8329651.0,ns,53382
distr_random_i8,SmallRng,Old,,,8515618.0,ns,54653
distr_random_i8,SmallRng,Old,,,8843652.0,ns,55924
distr_random_i8,SmallRng,Old,,,8949771.0,ns,57195
distr_random_i8,SmallRng,Old,,,9128051.0,ns,58466
distr_random_i8,SmallRng,Old,,,9307419.0,ns,59737
distr_random_i8,SmallRng,Old,,,9505709.0,ns,61008
distr_random_i8,SmallRng,Old,,,9700219.0,ns,62279
distr_random_i8,SmallRng,Old,,,9898148.0,ns,63550
distr_random_i8,SmallRng,Old,,,10106641.0,ns,64821
distr_random_i8,SmallRng,Old,,,10291698.0,ns,66092
distr_random_i8,SmallRng,Old,,,10501745.0,ns,67363
distr_random_i8,SmallRng,Old,,,10688619.0,ns,68634
distr_random_i8,SmallRng,Old,,,10881296.0,ns,69905
distr_random_i8,SmallRng,Old,,,11090299.0,ns,71176
distr_random_i8,SmallRng,Old,,,11307224.0,ns,72447
distr_random_i8,SmallRng,Old,,,11475851.0,ns,73718
distr_random_i8,SmallRng,Old,,,11680258.0,ns,74989
distr_random_i8,SmallRng,Old,,,11876054.0,ns,76260
distr_random_i8,SmallRng,Old,,,12077012.0,ns,77531
distr_random_i8,SmallRng,Old,,,12266798.0,ns,78802
distr_random_i8,SmallRng,Old,,,12467240.0,ns,80073
distr_random_i8,SmallRng,Old,,,12670204.0,ns,81344
distr_random_i8,SmallRng,Old,,,12856875.0,ns,82615
distr_random_i8,SmallRng,Old,,,13071310.0,ns,83886
distr_random_i8,SmallRng,Old,,,13262209.0,ns,85157
distr_random_i8,SmallRng,Old,,,13467936.0,ns,86428
distr_random_i8,SmallRng,Old,,,13646926.0,ns,87699
distr_random_i8,SmallRng,Old,,,13846665.0,ns,88970
distr_random_i8,SmallRng,Old,,,14052197.0,ns,90241
distr_random_i8,SmallRng,Old,,,14245019.0,ns,91512
distr_random_i8,SmallRng,Old,,,14874754.0,ns,92783
distr_random_i8,SmallRng,Old,,,14704111.0,ns,94054
distr_random_i8,SmallRng,Old,,,14878947.0,ns,95325
distr_random_i8,SmallRng,Old,,,15059627.0,ns,96596
distr_random_i8,SmallRng,Old,,,15242525.0,ns,97867
distr_random_i8,SmallRng,Old,,,15439211.0,ns,99138
distr_random_i8,SmallRng,Old,,,15642734.0,ns,100409
distr_random_i8,SmallRng,Old,,,15869179.0,ns,101680
distr_random_i8,SmallRng,Old,,,16014978.0,ns,102951
distr_random_i8,SmallRng,Old,,,16219616.0,ns,104222
distr_random_i8,SmallRng,Old,,,16441487.0,ns,105493
distr_random_i8,SmallRng,Old,,,16825528.0,ns,106764
distr_random_i8,SmallRng,Old,,,16847317.0,ns,108035
distr_random_i8,SmallRng,Old,,,17039460.0,ns,109306
distr_random_i8,SmallRng,Old,,,17238821.0,ns,110577
distr_random_i8,SmallRng,Old,,,17418522.0,ns,111848
distr_random_i8,SmallRng,Old,,,17622304.0,ns,113119
