group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,Pcg32,Canon-Lemire,,,194575.0,ns,151
single_random_i128,Pcg32,Canon-Lemire,,,452198.0,ns,302
single_random_i128,Pcg32,Canon-Lemire,,,581949.0,ns,453
single_random_i128,Pcg32,Canon-Lemire,,,1362969.0,ns,604
single_random_i128,Pcg32,Canon-Lemire,,,1009841.0,ns,755
single_random_i128,Pcg32,Canon-Lemire,,,1396461.0,ns,906
single_random_i128,Pcg32,Canon-Lemire,,,2412394.0,ns,1057
single_random_i128,Pcg32,Canon-Lemire,,,2429797.0,ns,1208
single_random_i128,Pcg32,Canon-Lemire,,,2135144.0,ns,1359
single_random_i128,Pcg32,Canon-Lemire,,,2947804.0,ns,1510
single_random_i128,Pcg32,Canon-Lemire,,,2149870.0,ns,1661
single_random_i128,Pcg32,Canon-Lemire,,,2391468.0,ns,1812
single_random_i128,Pcg32,Canon-Lemire,,,3290205.0,ns,1963
single_random_i128,Pcg32,Canon-Lemire,,,2865984.0,ns,2114
single_random_i128,Pcg32,Canon-Lemire,,,3105745.0,ns,2265
single_random_i128,Pcg32,Canon-Lemire,,,3272166.0,ns,2416
single_random_i128,Pcg32,Canon-Lemire,,,4630068.0,ns,2567
single_random_i128,Pcg32,Canon-Lemire,,,6080937.0,ns,2718
single_random_i128,Pcg32,Canon-Lemire,,,4186539.0,ns,2869
single_random_i128,Pcg32,Canon-Lemire,,,3835704.0,ns,3020
single_random_i128,Pcg32,Canon-Lemire,,,4203716.0,ns,3171
single_random_i128,Pcg32,Canon-Lemire,,,6524106.0,ns,3322
single_random_i128,Pcg32,Canon-Lemire,,,6071067.0,ns,3473
single_random_i128,Pcg32,Canon-Lemire,,,4661032.0,ns,3624
single_random_i128,Pcg32,Canon-Lemire,,,7743600.0,ns,3775
single_random_i128,Pcg32,Canon-Lemire,,,5108769.0,ns,3926
single_random_i128,Pcg32,Canon-Lemire,,,5369691.0,ns,4077
single_random_i128,Pcg32,Canon-Lemire,,,5351503.0,ns,4228
single_random_i128,Pcg32,Canon-Lemire,,,6244050.0,ns,4379
single_random_i128,Pcg32,Canon-Lemire,,,6090418.0,ns,4530
single_random_i128,Pcg32,Canon-Lemire,,,7390086.0,ns,4681
single_random_i128,Pcg32,Canon-Lemire,,,9299426.0,ns,4832
single_random_i128,Pcg32,Canon-Lemire,,,7780523.0,ns,4983
single_random_i128,Pcg32,Canon-Lemire,,,6582045.0,ns,5134
single_random_i128,Pcg32,Canon-Lemire,,,7614851.0,ns,5285
single_random_i128,Pcg32,Canon-Lemire,,,7285696.0,ns,5436
single_random_i128,Pcg32,Canon-Lemire,,,9611208.0,ns,5587
single_random_i128,Pcg32,Canon-Lemire,,,8889127.0,ns,5738
single_random_i128,Pcg32,Canon-Lemire,,,7487729.0,ns,5889
single_random_i128,Pcg32,Canon-Lemire,,,8908729.0,ns,6040
single_random_i128,Pcg32,Canon-Lemire,,,10861286.0,ns,6191
single_random_i128,Pcg32,Canon-Lemire,,,8719968.0,ns,6342
single_random_i128,Pcg32,Canon-Lemire,,,8253214.0,ns,6493
single_random_i128,Pcg32,Canon-Lemire,,,8609997.0,ns,6644
single_random_i128,Pcg32,Canon-Lemire,,,12834080.0,ns,6795
single_random_i128,Pcg32,Canon-Lemire,,,11308371.0,ns,6946
single_random_i128,Pcg32,Canon-Lemire,,,16084123.0,ns,7097
single_random_i128,Pcg32,Canon-Lemire,,,10209196.0,ns,7248
single_random_i128,Pcg32,Canon-Lemire,,,10641899.0,ns,7399
single_random_i128,Pcg32,Canon-Lemire,,,10265079.0,ns,7550
single_random_i128,Pcg32,Canon-Lemire,,,9953915.0,ns,7701
single_random_i128,Pcg32,Canon-Lemire,,,9990526.0,ns,7852
single_random_i128,Pcg32,Canon-Lemire,,,13369402.0,ns,8003
single_random_i128,Pcg32,Canon-Lemire,,,13233167.0,ns,8154
single_random_i128,Pcg32,Canon-Lemire,,,10550859.0,ns,8305
single_random_i128,Pcg32,Canon-Lemire,,,10896433.0,ns,8456
single_random_i128,Pcg32,Canon-Lemire,,,12393062.0,ns,8607
single_random_i128,Pcg32,Canon-Lemire,,,14112821.0,ns,8758
single_random_i128,Pcg32,Canon-Lemire,,,11395269.0,ns,8909
single_random_i128,Pcg32,Canon-Lemire,,,13879358.0,ns,9060
single_random_i128,Pcg32,Canon-Lemire,,,14427055.0,ns,9211
single_random_i128,Pcg32,Canon-Lemire,,,12257012.0,ns,9362
single_random_i128,Pcg32,Canon-Lemire,,,15092062.0,ns,9513
single_random_i128,Pcg32,Canon-Lemire,,,16062097.0,ns,9664
single_random_i128,Pcg32,Canon-Lemire,,,21209312.0,ns,9815
single_random_i128,Pcg32,Canon-Lemire,,,17552052.0,ns,9966
single_random_i128,Pcg32,Canon-Lemire,,,12964849.0,ns,10117
single_random_i128,Pcg32,Canon-Lemire,,,13087485.0,ns,10268
