group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,Pcg64,Canon-Lemire,,,175203.0,ns,120
single_random_i128,Pcg64,Canon-Lemire,,,439755.0,ns,240
single_random_i128,Pcg64,Canon-Lemire,,,501007.0,ns,360
single_random_i128,Pcg64,Canon-Lemire,,,597848.0,ns,480
single_random_i128,Pcg64,Canon-Lemire,,,741976.0,ns,600
single_random_i128,Pcg64,Canon-Lemire,,,957179.0,ns,720
single_random_i128,Pcg64,Canon-Lemire,,,1007612.0,ns,840
single_random_i128,Pcg64,Canon-Lemire,,,1245796.0,ns,960
single_random_i128,Pcg64,Canon-Lemire,,,1377513.0,ns,1080
single_random_i128,Pcg64,Canon-Lemire,,,1471836.0,ns,1200
single_random_i128,Pcg64,Canon-Lemire,,,1561640.0,ns,1320
single_random_i128,Pcg64,Canon-Lemire,,,1714840.0,ns,1440
single_random_i128,Pcg64,Canon-Lemire,,,2090942.0,ns,1560
single_random_i128,Pcg64,Canon-Lemire,,,2104765.0,ns,1680
single_random_i128,Pcg64,Canon-Lemire,,,3890230.0,ns,1800
single_random_i128,Pcg64,Canon-Lemire,,,2625849.0,ns,1920
single_random_i128,Pcg64,Canon-Lemire,,,2764053.0,ns,2040
single_random_i128,Pcg64,Canon-Lemire,,,2705044.0,ns,2160
single_random_i128,Pcg64,Canon-Lemire,,,2758950.0,ns,2280
single_random_i128,Pcg64,Canon-Lemire,,,3554120.0,ns,2400
single_random_i128,Pcg64,Canon-Lemire,,,4634462.0,ns,2520
single_random_i128,Pcg64,Canon-Lemire,,,3193714.0,ns,2640
single_random_i128,Pcg64,Canon-Lemire,,,3314845.0,ns,2760
single_random_i128,Pcg64,Canon-Lemire,,,4291173.0,ns,2880
single_random_i128,Pcg64,Canon-Lemire,,,3981958.0,ns,3000
single_random_i128,Pcg64,Canon-Lemire,,,5295039.0,ns,3120
single_random_i128,Pcg64,Canon-Lemire,,,4433456.0,ns,3240
single_random_i128,Pcg64,Canon-Lemire,,,6004404.0,ns,3360
single_random_i128,Pcg64,Canon-Lemire,,,4484517.0,ns,3480
single_random_i128,Pcg64,Canon-Lemire,,,4524567.0,ns,3600
single_random_i128,Pcg64,Canon-Lemire,,,4559223.0,ns,3720
single_random_i128,Pcg64,Canon-Lemire,,,5891883.0,ns,3840
single_random_i128,Pcg64,Canon-Lemire,,,5190199.0,ns,3960
single_random_i128,Pcg64,Canon-Lemire,,,6661136.0,ns,4080
single_random_i128,Pcg64,Canon-Lemire,,,5101675.0,ns,4200
single_random_i128,Pcg64,Canon-Lemire,,,5213357.0,ns,4320
single_random_i128,Pcg64,Canon-Lemire,,,5882542.0,ns,4440
single_random_i128,Pcg64,Canon-Lemire,,,5441221.0,ns,4560
single_random_i128,Pcg64,Canon-Lemire,,,7843269.0,ns,4680
single_random_i128,Pcg64,Canon-Lemire,,,6667477.0,ns,4800
single_random_i128,Pcg64,Canon-Lemire,,,8391723.0,ns,4920
