group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,Pcg64,ONeill,,,145513.0,ns,190
single_random_i128,Pcg64,ONeill,,,570633.0,ns,380
single_random_i128,Pcg64,ONeill,,,572636.0,ns,570
single_random_i128,Pcg64,ONeill,,,919023.0,ns,760
single_random_i128,Pcg64,ONeill,,,651579.0,ns,950
single_random_i128,Pcg64,ONeill,,,943674.0,ns,1140
single_random_i128,Pcg64,ONeill,,,2231074.0,ns,1330
single_random_i128,Pcg64,ONeill,,,1609118.0,ns,1520
single_random_i128,Pcg64,ONeill,,,1260415.0,ns,1710
single_random_i128,Pcg64,ONeill,,,2836254.0,ns,1900
single_random_i128,Pcg64,ONeill,,,2402315.0,ns,2090
single_random_i128,Pcg64,ONeill,,,3310334.0,ns,2280
single_random_i128,Pcg64,ONeill,,,1720035.0,ns,2470
single_random_i128,Pcg64,ONeill,,,1811203.0,ns,2660
single_random_i128,Pcg64,ONeill,,,4046472.0,ns,2850
single_random_i128,Pcg64,ONeill,,,2894390.0,ns,3040
single_random_i128,Pcg64,ONeill,,,2655335.0,ns,3230
single_random_i128,Pcg64,ONeill,,,4973484.0,ns,3420
single_random_i128,Pcg64,ONeill,,,2582005.0,ns,3610
single_random_i128,Pcg64,ONeill,,,2817048.0,ns,3800
single_random_i128,Pcg64,ONeill,,,4043408.0,ns,3990
single_random_i128,Pcg64,ONeill,,,6679610.0,ns,4180
single_random_i128,Pcg64,ONeill,,,7343794.0,ns,4370
single_random_i128,Pcg64,ONeill,,,7367209.0,ns,4560
single_random_i128,Pcg64,ONeill,,,7959721.0,ns,4750
single_random_i128,Pcg64,ONeill,,,7920723.0,ns,4940
single_random_i128,Pcg64,ONeill,,,11727991.0,ns,5130
single_random_i128,Pcg64,ONeill,,,9293427.0,ns,5320
single_random_i128,Pcg64,ONeill,,,10313859.0,ns,5510
single_random_i128,Pcg64,ONeill,,,5840310.0,ns,5700
single_random_i128,Pcg64,ONeill,,,5679347.0,ns,5890
single_random_i128,Pcg64,ONeill,,,6491052.0,ns,6080
single_random_i128,Pcg64,ONeill,,,10404374.0,ns,6270
single_random_i128,Pcg64,ONeill,,,13006358.0,ns,6460
single_random_i128,Pcg64,ONeill,,,9556992.0,ns,6650
single_random_i128,Pcg64,ONeill,,,11884644.0,ns,6840
single_random_i128,Pcg64,ONeill,,,6352281.0,ns,7030
single_random_i128,Pcg64,ONeill,,,4920692.0,ns,7220
single_random_i128,Pcg64,ONeill,,,6260079.0,ns,7410
single_random_i128,Pcg64,ONeill,,,9433867.0,ns,7600
single_random_i128,Pcg64,ONeill,,,11285488.0,ns,7790
single_random_i128,Pcg64,ONeill,,,11067284.0,ns,7980
single_random_i128,Pcg64,ONeill,,,6857234.0,ns,8170
single_random_i128,Pcg64,ONeill,,,12215091.0,ns,8360
single_random_i128,Pcg64,ONeill,,,9513359.0,ns,8550
single_random_i128,Pcg64,ONeill,,,8312675.0,ns,8740
single_random_i128,Pcg64,ONeill,,,18653780.0,ns,8930
single_random_i128,Pcg64,ONeill,,,9301072.0,ns,9120
single_random_i128,Pcg64,ONeill,,,6427221.0,ns,9310
single_random_i128,Pcg64,ONeill,,,13467549.0,ns,9500
single_random_i128,Pcg64,ONeill,,,13963566.0,ns,9690
single_random_i128,Pcg64,ONeill,,,10063185.0,ns,9880
single_random_i128,Pcg64,ONeill,,,7397604.0,ns,10070
single_random_i128,Pcg64,ONeill,,,11536246.0,ns,10260
single_random_i128,Pcg64,ONeill,,,13791088.0,ns,10450
single_random_i128,Pcg64,ONeill,,,22053828.0,ns,10640
single_random_i128,Pcg64,ONeill,,,15775535.0,ns,10830
single_random_i128,Pcg64,ONeill,,,16104048.0,ns,11020
single_random_i128,Pcg64,ONeill,,,16132514.0,ns,11210
single_random_i128,Pcg64,ONeill,,,15327845.0,ns,11400
single_random_i128,Pcg64,ONeill,,,14302329.0,ns,11590
single_random_i128,Pcg64,ONeill,,,11468268.0,ns,11780
single_random_i128,Pcg64,ONeill,,,13311412.0,ns,11970
single_random_i128,Pcg64,ONeill,,,17763234.0,ns,12160
single_random_i128,Pcg64,ONeill,,,10525924.0,ns,12350
single_random_i128,Pcg64,ONeill,,,8597183.0,ns,12540
single_random_i128,Pcg64,ONeill,,,10503519.0,ns,12730
single_random_i128,Pcg64,ONeill,,,15099259.0,ns,12920
single_random_i128,Pcg64,ONeill,,,18906348.0,ns,13110
single_random_i128,Pcg64,ONeill,,,13387155.0,ns,13300
single_random_i128,Pcg64,ONeill,,,21423992.0,ns,13490
single_random_i128,Pcg64,ONeill,,,27644198.0,ns,13680
single_random_i128,Pcg64,ONeill,,,11814306.0,ns,13870
single_random_i128,Pcg64,ONeill,,,21638242.0,ns,14060
single_random_i128,Pcg64,ONeill,,,10232450.0,ns,14250
single_random_i128,Pcg64,ONeill,,,15312228.0,ns,14440
single_random_i128,Pcg64,ONeill,,,13718565.0,ns,14630
single_random_i128,Pcg64,ONeill,,,10935181.0,ns,14820
single_random_i128,Pcg64,ONeill,,,13983061.0,ns,15010
single_random_i128,Pcg64,ONeill,,,21572406.0,ns,15200
single_random_i128,Pcg64,ONeill,,,27415637.0,ns,15390
single_random_i128,Pcg64,ONeill,,,15739825.0,ns,15580
single_random_i128,Pcg64,ONeill,,,21609722.0,ns,15770
single_random_i128,Pcg64,ONeill,,,11170448.0,ns,15960
single_random_i128,Pcg64,ONeill,,,15220590.0,ns,16150
single_random_i128,Pcg64,ONeill,,,22172825.0,ns,16340
single_random_i128,Pcg64,ONeill,,,13731346.0,ns,16530
single_random_i128,Pcg64,ONeill,,,28761935.0,ns,16720
single_random_i128,Pcg64,ONeill,,,19876929.0,ns,16910
single_random_i128,Pcg64,ONeill,,,14181700.0,ns,17100
single_random_i128,Pcg64,ONeill,,,12983904.0,ns,17290
single_random_i128,Pcg64,ONeill,,,23274094.0,ns,17480
single_random_i128,Pcg64,ONeill,,,34919980.0,ns,17670
single_random_i128,Pcg64,ONeill,,,13097544.0,ns,17860
single_random_i128,Pcg64,ONeill,,,13551728.0,ns,18050
single_random_i128,Pcg64,ONeill,,,17899968.0,ns,18240
single_random_i128,Pcg64,ONeill,,,13731968.0,ns,18430
single_random_i128,Pcg64,ONeill,,,20693600.0,ns,18620
single_random_i128,Pcg64,ONeill,,,13600553.0,ns,18810
single_random_i128,Pcg64,ONeill,,,16036673.0,ns,19000
