group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,SmallRng,Bitmask,,,261475.0,ns,200
single_random_i128,SmallRng,Bitmask,,,363827.0,ns,400
single_random_i128,SmallRng,Bitmask,,,360048.0,ns,600
single_random_i128,SmallRng,Bitmask,,,717837.0,ns,800
single_random_i128,SmallRng,Bitmask,,,614884.0,ns,1000
single_random_i128,SmallRng,Bitmask,,,697075.0,ns,1200
single_random_i128,SmallRng,Bitmask,,,1796789.0,ns,1400
single_random_i128,SmallRng,Bitmask,,,1890121.0,ns,1600
single_random_i128,SmallRng,Bitmask,,,1164961.0,ns,1800
single_random_i128,SmallRng,Bitmask,,,2554148.0,ns,2000
single_random_i128,SmallRng,Bitmask,,,1326886.0,ns,2200
single_random_i128,SmallRng,Bitmask,,,2011697.0,ns,2400
single_random_i128,SmallRng,Bitmask,,,3213697.0,ns,2600
single_random_i128,SmallRng,Bitmask,,,1278709.0,ns,2800
single_random_i128,SmallRng,Bitmask,,,2743774.0,ns,3000
single_random_i128,SmallRng,Bitmask,,,2928821.0,ns,3200
single_random_i128,SmallRng,Bitmask,,,2568191.0,ns,3400
single_random_i128,SmallRng,Bitmask,,,3573994.0,ns,3600
single_random_i128,SmallRng,Bitmask,,,4887581.0,ns,3800
single_random_i128,SmallRng,Bitmask,,,3638803.0,ns,4000
single_random_i128,SmallRng,Bitmask,,,3003483.0,ns,4200
single_random_i128,SmallRng,Bitmask,,,5529873.0,ns,4400
single_random_i128,SmallRng,Bitmask,,,4623160.0,ns,4600
single_random_i128,SmallRng,Bitmask,,,3440287.0,ns,4800
single_random_i128,SmallRng,Bitmask,,,2853521.0,ns,5000
single_random_i128,SmallRng,Bitmask,,,5406641.0,ns,5200
single_random_i128,SmallRng,Bitmask,,,2513817.0,ns,5400
single_random_i128,SmallRng,Bitmask,,,2828896.0,ns,5600
single_random_i128,SmallRng,Bitmask,,,4719491.0,ns,5800
single_random_i128,SmallRng,Bitmask,,,5313409.0,ns,6000
single_random_i128,SmallRng,Bitmask,,,6434367.0,ns,6200
single_random_i128,SmallRng,Bitmask,,,4703344.0,ns,6400
