group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,SmallRng,Canon-Lemire,,,287614.0,ns,166
single_random_i128,SmallRng,Canon-Lemire,,,429013.0,ns,332
single_random_i128,SmallRng,Canon-Lemire,,,579650.0,ns,498
single_random_i128,SmallRng,Canon-Lemire,,,743213.0,ns,664
single_random_i128,SmallRng,Canon-Lemire,,,1014126.0,ns,830
single_random_i128,SmallRng,Canon-Lemire,,,1214775.0,ns,996
single_random_i128,SmallRng,Canon-Lemire,,,2117228.0,ns,1162
single_random_i128,SmallRng,Canon-Lemire,,,1576739.0,ns,1328
single_random_i128,SmallRng,Canon-Lemire,,,2966653.0,ns,1494
single_random_i128,SmallRng,Canon-Lemire,,,1914110.0,ns,1660
single_random_i128,SmallRng,Canon-Lemire,,,2158912.0,ns,1826
single_random_i128,SmallRng,Canon-Lemire,,,2991767.0,ns,1992
single_random_i128,SmallRng,Canon-Lemire,,,2629661.0,ns,2158
single_random_i128,SmallRng,Canon-Lemire,,,2598587.0,ns,2324
single_random_i128,SmallRng,Canon-Lemire,,,2856640.0,ns,2490
single_random_i128,SmallRng,Canon-Lemire,,,3248915.0,ns,2656
single_random_i128,SmallRng,Canon-Lemire,,,3595519.0,ns,2822
single_random_i128,SmallRng,Canon-Lemire,,,4601618.0,ns,2988
single_random_i128,SmallRng,Canon-Lemire,,,4237679.0,ns,3154
single_random_i128,SmallRng,Canon-Lemire,,,3824517.0,ns,3320
single_random_i128,SmallRng,Canon-Lemire,,,5609294.0,ns,3486
single_random_i128,SmallRng,Canon-Lemire,,,4118540.0,ns,3652
single_random_i128,SmallRng,Canon-Lemire,,,4735677.0,ns,3818
single_random_i128,SmallRng,Canon-Lemire,,,4771368.0,ns,3984
single_random_i128,SmallRng,Canon-Lemire,,,5145735.0,ns,4150
single_random_i128,SmallRng,Canon-Lemire,,,5628285.0,ns,4316
single_random_i128,SmallRng,Canon-Lemire,,,4982146.0,ns,4482
single_random_i128,SmallRng,Canon-Lemire,,,5152419.0,ns,4648
single_random_i128,SmallRng,Canon-Lemire,,,5353657.0,ns,4814
single_random_i128,SmallRng,Canon-Lemire,,,6192075.0,ns,4980
single_random_i128,SmallRng,Canon-Lemire,,,6286037.0,ns,5146
single_random_i128,SmallRng,Canon-Lemire,,,7139391.0,ns,5312
single_random_i128,SmallRng,Canon-Lemire,,,10851974.0,ns,5478
single_random_i128,SmallRng,Canon-Lemire,,,8624311.0,ns,5644
single_random_i128,SmallRng,Canon-Lemire,,,6846700.0,ns,5810
single_random_i128,SmallRng,Canon-Lemire,,,7771440.0,ns,5976
single_random_i128,SmallRng,Canon-Lemire,,,7875609.0,ns,6142
single_random_i128,SmallRng,Canon-Lemire,,,7953602.0,ns,6308
single_random_i128,SmallRng,Canon-Lemire,,,7178938.0,ns,6474
single_random_i128,SmallRng,Canon-Lemire,,,9139723.0,ns,6640
single_random_i128,SmallRng,Canon-Lemire,,,10540873.0,ns,6806
single_random_i128,SmallRng,Canon-Lemire,,,8447191.0,ns,6972
single_random_i128,SmallRng,Canon-Lemire,,,11859111.0,ns,7138
single_random_i128,SmallRng,Canon-Lemire,,,8975733.0,ns,7304
single_random_i128,SmallRng,Canon-Lemire,,,8417179.0,ns,7470
single_random_i128,SmallRng,Canon-Lemire,,,11170431.0,ns,7636
single_random_i128,SmallRng,Canon-Lemire,,,14135788.0,ns,7802
single_random_i128,SmallRng,Canon-Lemire,,,8922068.0,ns,7968
single_random_i128,SmallRng,Canon-Lemire,,,11705690.0,ns,8134
single_random_i128,SmallRng,Canon-Lemire,,,10366821.0,ns,8300
single_random_i128,SmallRng,Canon-Lemire,,,13023324.0,ns,8466
single_random_i128,SmallRng,Canon-Lemire,,,12876221.0,ns,8632
single_random_i128,SmallRng,Canon-Lemire,,,9607946.0,ns,8798
single_random_i128,SmallRng,Canon-Lemire,,,13865833.0,ns,8964
single_random_i128,SmallRng,Canon-Lemire,,,10248695.0,ns,9130
single_random_i128,SmallRng,Canon-Lemire,,,10144867.0,ns,9296
single_random_i128,SmallRng,Canon-Lemire,,,10564763.0,ns,9462
single_random_i128,SmallRng,Canon-Lemire,,,16521992.0,ns,9628
single_random_i128,SmallRng,Canon-Lemire,,,12389666.0,ns,9794
single_random_i128,SmallRng,Canon-Lemire,,,12477109.0,ns,9960
single_random_i128,SmallRng,Canon-Lemire,,,11087736.0,ns,10126
single_random_i128,SmallRng,Canon-Lemire,,,12592349.0,ns,10292
single_random_i128,SmallRng,Canon-Lemire,,,12321578.0,ns,10458
single_random_i128,SmallRng,Canon-Lemire,,,12038419.0,ns,10624
single_random_i128,SmallRng,Canon-Lemire,,,20739796.0,ns,10790
single_random_i128,SmallRng,Canon-Lemire,,,13432581.0,ns,10956
