group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,SmallRng,Canon,,,154964.0,ns,223
single_random_i128,SmallRng,Canon,,,258120.0,ns,446
single_random_i128,SmallRng,Canon,,,588342.0,ns,669
single_random_i128,SmallRng,Canon,,,989726.0,ns,892
single_random_i128,SmallRng,Canon,,,1088139.0,ns,1115
single_random_i128,SmallRng,Canon,,,1674039.0,ns,1338
single_random_i128,SmallRng,Canon,,,1736698.0,ns,1561
single_random_i128,SmallRng,Canon,,,2360505.0,ns,1784
single_random_i128,SmallRng,Canon,,,2498050.0,ns,2007
single_random_i128,SmallRng,Canon,,,2511097.0,ns,2230
single_random_i128,SmallRng,Canon,,,1561530.0,ns,2453
single_random_i128,SmallRng,Canon,,,2349284.0,ns,2676
single_random_i128,SmallRng,Canon,,,3198833.0,ns,2899
single_random_i128,SmallRng,Canon,,,2645365.0,ns,3122
single_random_i128,SmallRng,Canon,,,3758999.0,ns,3345
single_random_i128,SmallRng,Canon,,,2200817.0,ns,3568
single_random_i128,SmallRng,Canon,,,3044853.0,ns,3791
single_random_i128,SmallRng,Canon,,,3038386.0,ns,4014
single_random_i128,SmallRng,Canon,,,3453184.0,ns,4237
single_random_i128,SmallRng,Canon,,,4631758.0,ns,4460
single_random_i128,SmallRng,Canon,,,3845917.0,ns,4683
single_random_i128,SmallRng,Canon,,,5214575.0,ns,4906
single_random_i128,SmallRng,Canon,,,5755147.0,ns,5129
single_random_i128,SmallRng,Canon,,,5618033.0,ns,5352
single_random_i128,SmallRng,Canon,,,4712622.0,ns,5575
single_random_i128,SmallRng,Canon,,,6357250.0,ns,5798
single_random_i128,SmallRng,Canon,,,3384364.0,ns,6021
single_random_i128,SmallRng,Canon,,,6664841.0,ns,6244
single_random_i128,SmallRng,Canon,,,6334352.0,ns,6467
single_random_i128,SmallRng,Canon,,,5524212.0,ns,6690
single_random_i128,SmallRng,Canon,,,7409316.0,ns,6913
single_random_i128,SmallRng,Canon,,,4874868.0,ns,7136
single_random_i128,SmallRng,Canon,,,4922901.0,ns,7359
single_random_i128,SmallRng,Canon,,,5764025.0,ns,7582
single_random_i128,SmallRng,Canon,,,7330387.0,ns,7805
single_random_i128,SmallRng,Canon,,,5078992.0,ns,8028
single_random_i128,SmallRng,Canon,,,6919847.0,ns,8251
single_random_i128,SmallRng,Canon,,,7933793.0,ns,8474
single_random_i128,SmallRng,Canon,,,9205002.0,ns,8697
single_random_i128,SmallRng,Canon,,,6039622.0,ns,8920
single_random_i128,SmallRng,Canon,,,10006453.0,ns,9143
single_random_i128,SmallRng,Canon,,,6310663.0,ns,9366
single_random_i128,SmallRng,Canon,,,5951574.0,ns,9589
single_random_i128,SmallRng,Canon,,,5556675.0,ns,9812
single_random_i128,SmallRng,Canon,,,5641167.0,ns,10035
single_random_i128,SmallRng,Canon,,,6176025.0,ns,10258
single_random_i128,SmallRng,Canon,,,5982801.0,ns,10481
single_random_i128,SmallRng,Canon,,,11924116.0,ns,10704
single_random_i128,SmallRng,Canon,,,5855684.0,ns,10927
single_random_i128,SmallRng,Canon,,,10397759.0,ns,11150
single_random_i128,SmallRng,Canon,,,8037545.0,ns,11373
single_random_i128,SmallRng,Canon,,,6491271.0,ns,11596
single_random_i128,SmallRng,Canon,,,7642221.0,ns,11819
single_random_i128,SmallRng,Canon,,,12086259.0,ns,12042
single_random_i128,SmallRng,Canon,,,9592165.0,ns,12265
single_random_i128,SmallRng,Canon,,,13608532.0,ns,12488
single_random_i128,SmallRng,Canon,,,9662801.0,ns,12711
single_random_i128,SmallRng,Canon,,,11480660.0,ns,12934
single_random_i128,SmallRng,Canon,,,14716454.0,ns,13157
single_random_i128,SmallRng,Canon,,,14365149.0,ns,13380
single_random_i128,SmallRng,Canon,,,13456234.0,ns,13603
single_random_i128,SmallRng,Canon,,,14829655.0,ns,13826
single_random_i128,SmallRng,Canon,,,13515566.0,ns,14049
single_random_i128,SmallRng,Canon,,,12977292.0,ns,14272
single_random_i128,SmallRng,Canon,,,12386376.0,ns,14495
single_random_i128,SmallRng,Canon,,,14678411.0,ns,14718
single_random_i128,SmallRng,Canon,,,10359637.0,ns,14941
single_random_i128,SmallRng,Canon,,,15773104.0,ns,15164
single_random_i128,SmallRng,Canon,,,13816234.0,ns,15387
single_random_i128,SmallRng,Canon,,,11236034.0,ns,15610
single_random_i128,SmallRng,Canon,,,17915966.0,ns,15833
single_random_i128,SmallRng,Canon,,,12996761.0,ns,16056
single_random_i128,SmallRng,Canon,,,18329052.0,ns,16279
single_random_i128,SmallRng,Canon,,,10958570.0,ns,16502
single_random_i128,SmallRng,Canon,,,10988055.0,ns,16725
single_random_i128,SmallRng,Canon,,,17325233.0,ns,16948
single_random_i128,SmallRng,Canon,,,8988811.0,ns,17171
single_random_i128,SmallRng,Canon,,,18813879.0,ns,17394
single_random_i128,SmallRng,Canon,,,14150381.0,ns,17617
single_random_i128,SmallRng,Canon,,,14897388.0,ns,17840
single_random_i128,SmallRng,Canon,,,13460248.0,ns,18063
single_random_i128,SmallRng,Canon,,,18237794.0,ns,18286
single_random_i128,SmallRng,Canon,,,13600235.0,ns,18509
single_random_i128,SmallRng,Canon,,,20087342.0,ns,18732
single_random_i128,SmallRng,Canon,,,10619664.0,ns,18955
single_random_i128,SmallRng,Canon,,,16711402.0,ns,19178
single_random_i128,SmallRng,Canon,,,16899035.0,ns,19401
single_random_i128,SmallRng,Canon,,,18098996.0,ns,19624
single_random_i128,SmallRng,Canon,,,13394604.0,ns,19847
single_random_i128,SmallRng,Canon,,,12324653.0,ns,20070
single_random_i128,SmallRng,Canon,,,13771061.0,ns,20293
single_random_i128,SmallRng,Canon,,,16863775.0,ns,20516
single_random_i128,SmallRng,Canon,,,11832157.0,ns,20739
single_random_i128,SmallRng,Canon,,,22851921.0,ns,20962
single_random_i128,SmallRng,Canon,,,15909851.0,ns,21185
single_random_i128,SmallRng,Canon,,,19835362.0,ns,21408
single_random_i128,SmallRng,Canon,,,18477675.0,ns,21631
single_random_i128,SmallRng,Canon,,,14488270.0,ns,21854
single_random_i128,SmallRng,Canon,,,12998833.0,ns,22077
single_random_i128,SmallRng,Canon,,,24796517.0,ns,22300
