group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,ChaCha8Rng,Canon-Lemire,,,196881.0,ns,503
single_random_i16,ChaCha8Rng,Canon-Lemire,,,388231.0,ns,1006
single_random_i16,ChaCha8Rng,Canon-Lemire,,,588113.0,ns,1509
single_random_i16,ChaCha8Rng,Canon-Lemire,,,777263.0,ns,2012
single_random_i16,ChaCha8Rng,Canon-Lemire,,,970474.0,ns,2515
single_random_i16,ChaCha8Rng,Canon-Lemire,,,1165524.0,ns,3018
single_random_i16,ChaCha8Rng,Canon-Lemire,,,1361692.0,ns,3521
single_random_i16,ChaCha8Rng,Canon-Lemire,,,1566606.0,ns,4024
single_random_i16,ChaCha8Rng,Canon-Lemire,,,1753198.0,ns,4527
single_random_i16,ChaCha8Rng,Canon-Lemire,,,1941658.0,ns,5030
single_random_i16,ChaCha8Rng,Canon-Lemire,,,2338015.0,ns,5533
single_random_i16,ChaCha8Rng,Canon-Lemire,,,2350230.0,ns,6036
single_random_i16,ChaCha8Rng,Canon-Lemire,,,2544225.0,ns,6539
single_random_i16,ChaCha8Rng,Canon-Lemire,,,2740789.0,ns,7042
single_random_i16,ChaCha8Rng,Canon-Lemire,,,2917886.0,ns,7545
single_random_i16,ChaCha8Rng,Canon-Lemire,,,3130182.0,ns,8048
single_random_i16,ChaCha8Rng,Canon-Lemire,,,3307142.0,ns,8551
single_random_i16,ChaCha8Rng,Canon-Lemire,,,3518477.0,ns,9054
single_random_i16,ChaCha8Rng,Canon-Lemire,,,3712089.0,ns,9557
single_random_i16,ChaCha8Rng,Canon-Lemire,,,3916842.0,ns,10060
single_random_i16,ChaCha8Rng,Canon-Lemire,,,4103751.0,ns,10563
single_random_i16,ChaCha8Rng,Canon-Lemire,,,4304386.0,ns,11066
single_random_i16,ChaCha8Rng,Canon-Lemire,,,4477730.0,ns,11569
single_random_i16,ChaCha8Rng,Canon-Lemire,,,4684568.0,ns,12072
single_random_i16,ChaCha8Rng,Canon-Lemire,,,4874925.0,ns,12575
single_random_i16,ChaCha8Rng,Canon-Lemire,,,5082157.0,ns,13078
single_random_i16,ChaCha8Rng,Canon-Lemire,,,5257080.0,ns,13581
single_random_i16,ChaCha8Rng,Canon-Lemire,,,5599309.0,ns,14084
single_random_i16,ChaCha8Rng,Canon-Lemire,,,5685980.0,ns,14587
single_random_i16,ChaCha8Rng,Canon-Lemire,,,5957868.0,ns,15090
single_random_i16,ChaCha8Rng,Canon-Lemire,,,6050396.0,ns,15593
single_random_i16,ChaCha8Rng,Canon-Lemire,,,6291190.0,ns,16096
single_random_i16,ChaCha8Rng,Canon-Lemire,,,6454267.0,ns,16599
single_random_i16,ChaCha8Rng,Canon-Lemire,,,6609881.0,ns,17102
single_random_i16,ChaCha8Rng,Canon-Lemire,,,6848568.0,ns,17605
single_random_i16,ChaCha8Rng,Canon-Lemire,,,7037102.0,ns,18108
single_random_i16,ChaCha8Rng,Canon-Lemire,,,7218590.0,ns,18611
single_random_i16,ChaCha8Rng,Canon-Lemire,,,7411089.0,ns,19114
single_random_i16,ChaCha8Rng,Canon-Lemire,,,7609729.0,ns,19617
single_random_i16,ChaCha8Rng,Canon-Lemire,,,7808019.0,ns,20120
single_random_i16,ChaCha8Rng,Canon-Lemire,,,7981698.0,ns,20623
single_random_i16,ChaCha8Rng,Canon-Lemire,,,8176666.0,ns,21126
single_random_i16,ChaCha8Rng,Canon-Lemire,,,8382031.0,ns,21629
single_random_i16,ChaCha8Rng,Canon-Lemire,,,8592593.0,ns,22132
single_random_i16,ChaCha8Rng,Canon-Lemire,,,8766096.0,ns,22635
single_random_i16,ChaCha8Rng,Canon-Lemire,,,8962324.0,ns,23138
single_random_i16,ChaCha8Rng,Canon-Lemire,,,9147974.0,ns,23641
single_random_i16,ChaCha8Rng,Canon-Lemire,,,9358563.0,ns,24144
single_random_i16,ChaCha8Rng,Canon-Lemire,,,9556512.0,ns,24647
single_random_i16,ChaCha8Rng,Canon-Lemire,,,9755261.0,ns,25150
single_random_i16,ChaCha8Rng,Canon-Lemire,,,9962134.0,ns,25653
single_random_i16,ChaCha8Rng,Canon-Lemire,,,10148248.0,ns,26156
single_random_i16,ChaCha8Rng,Canon-Lemire,,,10336267.0,ns,26659
single_random_i16,ChaCha8Rng,Canon-Lemire,,,10519300.0,ns,27162
