group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg32,Canon32,,,198085.0,ns,964
single_random_i16,Pcg32,Canon32,,,406060.0,ns,1928
single_random_i16,Pcg32,Canon32,,,590766.0,ns,2892
single_random_i16,Pcg32,Canon32,,,790606.0,ns,3856
single_random_i16,Pcg32,Canon32,,,989141.0,ns,4820
single_random_i16,Pcg32,Canon32,,,1173778.0,ns,5784
single_random_i16,Pcg32,Canon32,,,1364909.0,ns,6748
single_random_i16,Pcg32,Canon32,,,1569127.0,ns,7712
single_random_i16,Pcg32,Canon32,,,1756855.0,ns,8676
single_random_i16,Pcg32,Canon32,,,1959896.0,ns,9640
single_random_i16,Pcg32,Canon32,,,2195253.0,ns,10604
single_random_i16,Pcg32,Canon32,,,2374279.0,ns,11568
single_random_i16,Pcg32,Canon32,,,2572741.0,ns,12532
single_random_i16,Pcg32,Canon32,,,2736366.0,ns,13496
single_random_i16,Pcg32,Canon32,,,2955296.0,ns,14460
single_random_i16,Pcg32,Canon32,,,3139032.0,ns,15424
single_random_i16,Pcg32,Canon32,,,3335673.0,ns,16388
single_random_i16,Pcg32,Canon32,,,3635234.0,ns,17352
single_random_i16,Pcg32,Canon32,,,3760321.0,ns,18316
single_random_i16,Pcg32,Canon32,,,3959326.0,ns,19280
single_random_i16,Pcg32,Canon32,,,4139505.0,ns,20244
single_random_i16,Pcg32,Canon32,,,4304182.0,ns,21208
single_random_i16,Pcg32,Canon32,,,4484192.0,ns,22172
single_random_i16,Pcg32,Canon32,,,4685107.0,ns,23136
single_random_i16,Pcg32,Canon32,,,4890913.0,ns,24100
single_random_i16,Pcg32,Canon32,,,5083582.0,ns,25064
single_random_i16,Pcg32,Canon32,,,5301830.0,ns,26028
single_random_i16,Pcg32,Canon32,,,5491011.0,ns,26992
single_random_i16,Pcg32,Canon32,,,5685964.0,ns,27956
single_random_i16,Pcg32,Canon32,,,5876509.0,ns,28920
single_random_i16,Pcg32,Canon32,,,6077252.0,ns,29884
single_random_i16,Pcg32,Canon32,,,6274884.0,ns,30848
single_random_i16,Pcg32,Canon32,,,6472727.0,ns,31812
single_random_i16,Pcg32,Canon32,,,6672795.0,ns,32776
single_random_i16,Pcg32,Canon32,,,6901749.0,ns,33740
single_random_i16,Pcg32,Canon32,,,7046543.0,ns,34704
single_random_i16,Pcg32,Canon32,,,7259783.0,ns,35668
single_random_i16,Pcg32,Canon32,,,7441517.0,ns,36632
single_random_i16,Pcg32,Canon32,,,7662968.0,ns,37596
single_random_i16,Pcg32,Canon32,,,7862548.0,ns,38560
single_random_i16,Pcg32,Canon32,,,8041238.0,ns,39524
single_random_i16,Pcg32,Canon32,,,8214348.0,ns,40488
single_random_i16,Pcg32,Canon32,,,8400613.0,ns,41452
single_random_i16,Pcg32,Canon32,,,8601994.0,ns,42416
single_random_i16,Pcg32,Canon32,,,8799097.0,ns,43380
single_random_i16,Pcg32,Canon32,,,9016546.0,ns,44344
single_random_i16,Pcg32,Canon32,,,9206601.0,ns,45308
single_random_i16,Pcg32,Canon32,,,9400476.0,ns,46272
single_random_i16,Pcg32,Canon32,,,9633193.0,ns,47236
single_random_i16,Pcg32,Canon32,,,9780828.0,ns,48200
single_random_i16,Pcg32,Canon32,,,10026267.0,ns,49164
single_random_i16,Pcg32,Canon32,,,10223621.0,ns,50128
single_random_i16,Pcg32,Canon32,,,10374927.0,ns,51092
single_random_i16,Pcg32,Canon32,,,11193090.0,ns,52056
single_random_i16,Pcg32,Canon32,,,10824752.0,ns,53020
single_random_i16,Pcg32,Canon32,,,11057946.0,ns,53984
single_random_i16,Pcg32,Canon32,,,11190442.0,ns,54948
single_random_i16,Pcg32,Canon32,,,11370181.0,ns,55912
single_random_i16,Pcg32,Canon32,,,11593837.0,ns,56876
single_random_i16,Pcg32,Canon32,,,11798867.0,ns,57840
single_random_i16,Pcg32,Canon32,,,11953124.0,ns,58804
single_random_i16,Pcg32,Canon32,,,12129234.0,ns,59768
single_random_i16,Pcg32,Canon32,,,12372950.0,ns,60732
single_random_i16,Pcg32,Canon32,,,12528449.0,ns,61696
single_random_i16,Pcg32,Canon32,,,12759171.0,ns,62660
single_random_i16,Pcg32,Canon32,,,12968580.0,ns,63624
single_random_i16,Pcg32,Canon32,,,13159051.0,ns,64588
single_random_i16,Pcg32,Canon32,,,13335349.0,ns,65552
single_random_i16,Pcg32,Canon32,,,13532603.0,ns,66516
single_random_i16,Pcg32,Canon32,,,13727837.0,ns,67480
single_random_i16,Pcg32,Canon32,,,13899065.0,ns,68444
single_random_i16,Pcg32,Canon32,,,14145987.0,ns,69408
single_random_i16,Pcg32,Canon32,,,14326769.0,ns,70372
single_random_i16,Pcg32,Canon32,,,14681468.0,ns,71336
single_random_i16,Pcg32,Canon32,,,14745884.0,ns,72300
single_random_i16,Pcg32,Canon32,,,14917456.0,ns,73264
single_random_i16,Pcg32,Canon32,,,15096575.0,ns,74228
single_random_i16,Pcg32,Canon32,,,15315121.0,ns,75192
single_random_i16,Pcg32,Canon32,,,15513175.0,ns,76156
single_random_i16,Pcg32,Canon32,,,15677583.0,ns,77120
single_random_i16,Pcg32,Canon32,,,16001907.0,ns,78084
single_random_i16,Pcg32,Canon32,,,16077885.0,ns,79048
single_random_i16,Pcg32,Canon32,,,16239679.0,ns,80012
single_random_i16,Pcg32,Canon32,,,16453993.0,ns,80976
single_random_i16,Pcg32,Canon32,,,16688456.0,ns,81940
single_random_i16,Pcg32,Canon32,,,16818358.0,ns,82904
single_random_i16,Pcg32,Canon32,,,17059108.0,ns,83868
single_random_i16,Pcg32,Canon32,,,17293785.0,ns,84832
single_random_i16,Pcg32,Canon32,,,17599149.0,ns,85796
single_random_i16,Pcg32,Canon32,,,17719895.0,ns,86760
single_random_i16,Pcg32,Canon32,,,17837994.0,ns,87724
single_random_i16,Pcg32,Canon32,,,18008275.0,ns,88688
single_random_i16,Pcg32,Canon32,,,18233175.0,ns,89652
single_random_i16,Pcg32,Canon32,,,18466551.0,ns,90616
single_random_i16,Pcg32,Canon32,,,18559513.0,ns,91580
single_random_i16,Pcg32,Canon32,,,18813340.0,ns,92544
single_random_i16,Pcg32,Canon32,,,19014916.0,ns,93508
single_random_i16,Pcg32,Canon32,,,19236621.0,ns,94472
single_random_i16,Pcg32,Canon32,,,19382726.0,ns,95436
single_random_i16,Pcg32,Canon32,,,19590101.0,ns,96400
