group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg32,Old,,,195763.0,ns,806
single_random_i16,Pcg32,Old,,,391310.0,ns,1612
single_random_i16,Pcg32,Old,,,593743.0,ns,2418
single_random_i16,Pcg32,Old,,,785521.0,ns,3224
single_random_i16,Pcg32,Old,,,979064.0,ns,4030
single_random_i16,Pcg32,Old,,,1176012.0,ns,4836
single_random_i16,Pcg32,Old,,,1374870.0,ns,5642
single_random_i16,Pcg32,Old,,,1568086.0,ns,6448
single_random_i16,Pcg32,Old,,,1764117.0,ns,7254
single_random_i16,Pcg32,Old,,,1998452.0,ns,8060
single_random_i16,Pcg32,Old,,,2240811.0,ns,8866
single_random_i16,Pcg32,Old,,,2349034.0,ns,9672
single_random_i16,Pcg32,Old,,,2547444.0,ns,10478
single_random_i16,Pcg32,Old,,,2741438.0,ns,11284
single_random_i16,Pcg32,Old,,,2932830.0,ns,12090
single_random_i16,Pcg32,Old,,,3139412.0,ns,12896
single_random_i16,Pcg32,Old,,,3325215.0,ns,13702
single_random_i16,Pcg32,Old,,,3523367.0,ns,14508
single_random_i16,Pcg32,Old,,,3718251.0,ns,15314
single_random_i16,Pcg32,Old,,,3916506.0,ns,16120
single_random_i16,Pcg32,Old,,,4297439.0,ns,16926
single_random_i16,Pcg32,Old,,,4315023.0,ns,17732
single_random_i16,Pcg32,Old,,,4506006.0,ns,18538
single_random_i16,Pcg32,Old,,,4709152.0,ns,19344
single_random_i16,Pcg32,Old,,,4905112.0,ns,20150
single_random_i16,Pcg32,Old,,,5100225.0,ns,20956
single_random_i16,Pcg32,Old,,,5288113.0,ns,21762
single_random_i16,Pcg32,Old,,,5478946.0,ns,22568
single_random_i16,Pcg32,Old,,,5678275.0,ns,23374
single_random_i16,Pcg32,Old,,,5873224.0,ns,24180
single_random_i16,Pcg32,Old,,,6064604.0,ns,24986
single_random_i16,Pcg32,Old,,,6270699.0,ns,25792
single_random_i16,Pcg32,Old,,,6470372.0,ns,26598
single_random_i16,Pcg32,Old,,,6660190.0,ns,27404
single_random_i16,Pcg32,Old,,,6849957.0,ns,28210
single_random_i16,Pcg32,Old,,,7047648.0,ns,29016
single_random_i16,Pcg32,Old,,,7239696.0,ns,29822
single_random_i16,Pcg32,Old,,,7437484.0,ns,30628
single_random_i16,Pcg32,Old,,,7643181.0,ns,31434
single_random_i16,Pcg32,Old,,,7833083.0,ns,32240
single_random_i16,Pcg32,Old,,,8036761.0,ns,33046
single_random_i16,Pcg32,Old,,,8231478.0,ns,33852
single_random_i16,Pcg32,Old,,,8420829.0,ns,34658
single_random_i16,Pcg32,Old,,,8629924.0,ns,35464
single_random_i16,Pcg32,Old,,,8803462.0,ns,36270
single_random_i16,Pcg32,Old,,,9004086.0,ns,37076
single_random_i16,Pcg32,Old,,,9191268.0,ns,37882
single_random_i16,Pcg32,Old,,,9389762.0,ns,38688
single_random_i16,Pcg32,Old,,,9609573.0,ns,39494
single_random_i16,Pcg32,Old,,,9796763.0,ns,40300
single_random_i16,Pcg32,Old,,,9981858.0,ns,41106
single_random_i16,Pcg32,Old,,,10189660.0,ns,41912
single_random_i16,Pcg32,Old,,,10394130.0,ns,42718
single_random_i16,Pcg32,Old,,,10581355.0,ns,43524
single_random_i16,Pcg32,Old,,,10760141.0,ns,44330
single_random_i16,Pcg32,Old,,,10962211.0,ns,45136
single_random_i16,Pcg32,Old,,,11148513.0,ns,45942
single_random_i16,Pcg32,Old,,,11356076.0,ns,46748
single_random_i16,Pcg32,Old,,,11548448.0,ns,47554
single_random_i16,Pcg32,Old,,,11742886.0,ns,48360
single_random_i16,Pcg32,Old,,,11961190.0,ns,49166
single_random_i16,Pcg32,Old,,,12151156.0,ns,49972
single_random_i16,Pcg32,Old,,,12329994.0,ns,50778
single_random_i16,Pcg32,Old,,,12528264.0,ns,51584
single_random_i16,Pcg32,Old,,,12737741.0,ns,52390
single_random_i16,Pcg32,Old,,,12934677.0,ns,53196
single_random_i16,Pcg32,Old,,,13118905.0,ns,54002
single_random_i16,Pcg32,Old,,,13319364.0,ns,54808
single_random_i16,Pcg32,Old,,,13494979.0,ns,55614
single_random_i16,Pcg32,Old,,,14333178.0,ns,56420
single_random_i16,Pcg32,Old,,,13969008.0,ns,57226
single_random_i16,Pcg32,Old,,,14166624.0,ns,58032
single_random_i16,Pcg32,Old,,,14320112.0,ns,58838
single_random_i16,Pcg32,Old,,,14523123.0,ns,59644
single_random_i16,Pcg32,Old,,,14758676.0,ns,60450
single_random_i16,Pcg32,Old,,,14894815.0,ns,61256
single_random_i16,Pcg32,Old,,,15074971.0,ns,62062
single_random_i16,Pcg32,Old,,,15258705.0,ns,62868
single_random_i16,Pcg32,Old,,,15459916.0,ns,63674
single_random_i16,Pcg32,Old,,,15658921.0,ns,64480
single_random_i16,Pcg32,Old,,,15856814.0,ns,65286
single_random_i16,Pcg32,Old,,,16085966.0,ns,66092
single_random_i16,Pcg32,Old,,,16254056.0,ns,66898
single_random_i16,Pcg32,Old,,,16459883.0,ns,67704
single_random_i16,Pcg32,Old,,,16642551.0,ns,68510
single_random_i16,Pcg32,Old,,,16843480.0,ns,69316
single_random_i16,Pcg32,Old,,,17033393.0,ns,70122
single_random_i16,Pcg32,Old,,,17242881.0,ns,70928
single_random_i16,Pcg32,Old,,,17410628.0,ns,71734
single_random_i16,Pcg32,Old,,,17627988.0,ns,72540
single_random_i16,Pcg32,Old,,,17806963.0,ns,73346
single_random_i16,Pcg32,Old,,,18004612.0,ns,74152
single_random_i16,Pcg32,Old,,,18193420.0,ns,74958
single_random_i16,Pcg32,Old,,,18400901.0,ns,75764
single_random_i16,Pcg32,Old,,,18594208.0,ns,76570
single_random_i16,Pcg32,Old,,,18807572.0,ns,77376
single_random_i16,Pcg32,Old,,,18999691.0,ns,78182
single_random_i16,Pcg32,Old,,,19192074.0,ns,78988
single_random_i16,Pcg32,Old,,,19381509.0,ns,79794
single_random_i16,Pcg32,Old,,,19580734.0,ns,80600
