group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg64,Bitmask,,,89280.0,ns,226
single_random_i16,Pcg64,Bitmask,,,340336.0,ns,452
single_random_i16,Pcg64,Bitmask,,,508990.0,ns,678
single_random_i16,Pcg64,Bitmask,,,339219.0,ns,904
single_random_i16,Pcg64,Bitmask,,,1207509.0,ns,1130
single_random_i16,Pcg64,Bitmask,,,1118476.0,ns,1356
single_random_i16,Pcg64,Bitmask,,,1697449.0,ns,1582
single_random_i16,Pcg64,Bitmask,,,537887.0,ns,1808
single_random_i16,Pcg64,Bitmask,,,1835652.0,ns,2034
single_random_i16,Pcg64,Bitmask,,,2465367.0,ns,2260
single_random_i16,Pcg64,Bitmask,,,824468.0,ns,2486
single_random_i16,Pcg64,Bitmask,,,2352223.0,ns,2712
single_random_i16,Pcg64,Bitmask,,,2413961.0,ns,2938
single_random_i16,Pcg64,Bitmask,,,1286249.0,ns,3164
single_random_i16,Pcg64,Bitmask,,,1840502.0,ns,3390
single_random_i16,Pcg64,Bitmask,,,2811290.0,ns,3616
single_random_i16,Pcg64,Bitmask,,,2978018.0,ns,3842
single_random_i16,Pcg64,Bitmask,,,2091599.0,ns,4068
single_random_i16,Pcg64,Bitmask,,,2095964.0,ns,4294
single_random_i16,Pcg64,Bitmask,,,4570714.0,ns,4520
single_random_i16,Pcg64,Bitmask,,,3049025.0,ns,4746
single_random_i16,Pcg64,Bitmask,,,5511334.0,ns,4972
single_random_i16,Pcg64,Bitmask,,,2372642.0,ns,5198
single_random_i16,Pcg64,Bitmask,,,5297537.0,ns,5424
single_random_i16,Pcg64,Bitmask,,,1816771.0,ns,5650
single_random_i16,Pcg64,Bitmask,,,7077833.0,ns,5876
single_random_i16,Pcg64,Bitmask,,,2180801.0,ns,6102
single_random_i16,Pcg64,Bitmask,,,2256683.0,ns,6328
single_random_i16,Pcg64,Bitmask,,,2025811.0,ns,6554
single_random_i16,Pcg64,Bitmask,,,7187546.0,ns,6780
single_random_i16,Pcg64,Bitmask,,,2718339.0,ns,7006
single_random_i16,Pcg64,Bitmask,,,2179993.0,ns,7232
single_random_i16,Pcg64,Bitmask,,,2799165.0,ns,7458
single_random_i16,Pcg64,Bitmask,,,8921118.0,ns,7684
single_random_i16,Pcg64,Bitmask,,,4783236.0,ns,7910
single_random_i16,Pcg64,Bitmask,,,4123881.0,ns,8136
single_random_i16,Pcg64,Bitmask,,,10042152.0,ns,8362
single_random_i16,Pcg64,Bitmask,,,4740627.0,ns,8588
single_random_i16,Pcg64,Bitmask,,,3733986.0,ns,8814
single_random_i16,Pcg64,Bitmask,,,7208217.0,ns,9040
single_random_i16,Pcg64,Bitmask,,,5414632.0,ns,9266
single_random_i16,Pcg64,Bitmask,,,3248787.0,ns,9492
single_random_i16,Pcg64,Bitmask,,,4290262.0,ns,9718
single_random_i16,Pcg64,Bitmask,,,10546089.0,ns,9944
single_random_i16,Pcg64,Bitmask,,,10298903.0,ns,10170
single_random_i16,Pcg64,Bitmask,,,8728953.0,ns,10396
single_random_i16,Pcg64,Bitmask,,,12148223.0,ns,10622
single_random_i16,Pcg64,Bitmask,,,3810067.0,ns,10848
single_random_i16,Pcg64,Bitmask,,,8924024.0,ns,11074
single_random_i16,Pcg64,Bitmask,,,7478695.0,ns,11300
single_random_i16,Pcg64,Bitmask,,,9665249.0,ns,11526
single_random_i16,Pcg64,Bitmask,,,4652821.0,ns,11752
single_random_i16,Pcg64,Bitmask,,,6185263.0,ns,11978
single_random_i16,Pcg64,Bitmask,,,9548526.0,ns,12204
single_random_i16,Pcg64,Bitmask,,,10818923.0,ns,12430
single_random_i16,Pcg64,Bitmask,,,6033902.0,ns,12656
single_random_i16,Pcg64,Bitmask,,,6092031.0,ns,12882
single_random_i16,Pcg64,Bitmask,,,13639847.0,ns,13108
single_random_i16,Pcg64,Bitmask,,,12059921.0,ns,13334
single_random_i16,Pcg64,Bitmask,,,15811945.0,ns,13560
single_random_i16,Pcg64,Bitmask,,,7893402.0,ns,13786
single_random_i16,Pcg64,Bitmask,,,5196792.0,ns,14012
single_random_i16,Pcg64,Bitmask,,,4935396.0,ns,14238
single_random_i16,Pcg64,Bitmask,,,11110733.0,ns,14464
single_random_i16,Pcg64,Bitmask,,,5976678.0,ns,14690
single_random_i16,Pcg64,Bitmask,,,8000830.0,ns,14916
single_random_i16,Pcg64,Bitmask,,,6266695.0,ns,15142
single_random_i16,Pcg64,Bitmask,,,16038838.0,ns,15368
single_random_i16,Pcg64,Bitmask,,,12999765.0,ns,15594
single_random_i16,Pcg64,Bitmask,,,6260229.0,ns,15820
single_random_i16,Pcg64,Bitmask,,,9585645.0,ns,16046
single_random_i16,Pcg64,Bitmask,,,7714783.0,ns,16272
single_random_i16,Pcg64,Bitmask,,,12250688.0,ns,16498
single_random_i16,Pcg64,Bitmask,,,19388333.0,ns,16724
single_random_i16,Pcg64,Bitmask,,,10513951.0,ns,16950
single_random_i16,Pcg64,Bitmask,,,5454308.0,ns,17176
single_random_i16,Pcg64,Bitmask,,,9268744.0,ns,17402
single_random_i16,Pcg64,Bitmask,,,14030221.0,ns,17628
single_random_i16,Pcg64,Bitmask,,,9575817.0,ns,17854
single_random_i16,Pcg64,Bitmask,,,19747037.0,ns,18080
single_random_i16,Pcg64,Bitmask,,,10048661.0,ns,18306
single_random_i16,Pcg64,Bitmask,,,9013586.0,ns,18532
single_random_i16,Pcg64,Bitmask,,,10657481.0,ns,18758
single_random_i16,Pcg64,Bitmask,,,10051775.0,ns,18984
single_random_i16,Pcg64,Bitmask,,,8201501.0,ns,19210
single_random_i16,Pcg64,Bitmask,,,19044006.0,ns,19436
single_random_i16,Pcg64,Bitmask,,,12494560.0,ns,19662
single_random_i16,Pcg64,Bitmask,,,18338920.0,ns,19888
single_random_i16,Pcg64,Bitmask,,,8411936.0,ns,20114
single_random_i16,Pcg64,Bitmask,,,14424872.0,ns,20340
single_random_i16,Pcg64,Bitmask,,,8304843.0,ns,20566
single_random_i16,Pcg64,Bitmask,,,21500267.0,ns,20792
single_random_i16,Pcg64,Bitmask,,,18156937.0,ns,21018
single_random_i16,Pcg64,Bitmask,,,8150819.0,ns,21244
single_random_i16,Pcg64,Bitmask,,,21641668.0,ns,21470
single_random_i16,Pcg64,Bitmask,,,9154998.0,ns,21696
single_random_i16,Pcg64,Bitmask,,,12894769.0,ns,21922
single_random_i16,Pcg64,Bitmask,,,12491205.0,ns,22148
single_random_i16,Pcg64,Bitmask,,,18748144.0,ns,22374
single_random_i16,Pcg64,Bitmask,,,10032650.0,ns,22600
