group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg64,Canon-Unbiased,,,201393.0,ns,699
single_random_i16,Pcg64,Canon-Unbiased,,,379633.0,ns,1398
single_random_i16,Pcg64,Canon-Unbiased,,,572853.0,ns,2097
single_random_i16,Pcg64,Canon-Unbiased,,,759385.0,ns,2796
single_random_i16,Pcg64,Canon-Unbiased,,,952141.0,ns,3495
single_random_i16,Pcg64,Canon-Unbiased,,,1269145.0,ns,4194
single_random_i16,Pcg64,Canon-Unbiased,,,1343766.0,ns,4893
single_random_i16,Pcg64,Canon-Unbiased,,,1524009.0,ns,5592
single_random_i16,Pcg64,Canon-Unbiased,,,1722403.0,ns,6291
single_random_i16,Pcg64,Canon-Unbiased,,,1918229.0,ns,6990
single_random_i16,Pcg64,Canon-Unbiased,,,2446841.0,ns,7689
single_random_i16,Pcg64,Canon-Unbiased,,,2284241.0,ns,8388
single_random_i16,Pcg64,Canon-Unbiased,,,2491905.0,ns,9087
single_random_i16,Pcg64,Canon-Unbiased,,,2674769.0,ns,9786
single_random_i16,Pcg64,Canon-Unbiased,,,2875902.0,ns,10485
single_random_i16,Pcg64,Canon-Unbiased,,,3047623.0,ns,11184
single_random_i16,Pcg64,Canon-Unbiased,,,3289112.0,ns,11883
single_random_i16,Pcg64,Canon-Unbiased,,,3627902.0,ns,12582
single_random_i16,Pcg64,Canon-Unbiased,,,3739285.0,ns,13281
single_random_i16,Pcg64,Canon-Unbiased,,,3831919.0,ns,13980
single_random_i16,Pcg64,Canon-Unbiased,,,4010652.0,ns,14679
single_random_i16,Pcg64,Canon-Unbiased,,,4264808.0,ns,15378
single_random_i16,Pcg64,Canon-Unbiased,,,4465556.0,ns,16077
single_random_i16,Pcg64,Canon-Unbiased,,,4845602.0,ns,16776
single_random_i16,Pcg64,Canon-Unbiased,,,4796355.0,ns,17475
single_random_i16,Pcg64,Canon-Unbiased,,,4980141.0,ns,18174
single_random_i16,Pcg64,Canon-Unbiased,,,5161999.0,ns,18873
single_random_i16,Pcg64,Canon-Unbiased,,,5504694.0,ns,19572
single_random_i16,Pcg64,Canon-Unbiased,,,5705749.0,ns,20271
single_random_i16,Pcg64,Canon-Unbiased,,,5768145.0,ns,20970
single_random_i16,Pcg64,Canon-Unbiased,,,5931348.0,ns,21669
single_random_i16,Pcg64,Canon-Unbiased,,,6465816.0,ns,22368
single_random_i16,Pcg64,Canon-Unbiased,,,6307464.0,ns,23067
