group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Canon-reduced,,,196179.0,ns,1052
single_random_i16,SmallRng,Canon-reduced,,,391604.0,ns,2104
single_random_i16,SmallRng,Canon-reduced,,,591022.0,ns,3156
single_random_i16,SmallRng,Canon-reduced,,,786573.0,ns,4208
single_random_i16,SmallRng,Canon-reduced,,,997874.0,ns,5260
single_random_i16,SmallRng,Canon-reduced,,,1178407.0,ns,6312
single_random_i16,SmallRng,Canon-reduced,,,1383693.0,ns,7364
single_random_i16,SmallRng,Canon-reduced,,,1570375.0,ns,8416
single_random_i16,SmallRng,Canon-reduced,,,1767348.0,ns,9468
single_random_i16,SmallRng,Canon-reduced,,,1964672.0,ns,10520
single_random_i16,SmallRng,Canon-reduced,,,2240037.0,ns,11572
single_random_i16,SmallRng,Canon-reduced,,,2357926.0,ns,12624
single_random_i16,SmallRng,Canon-reduced,,,2574831.0,ns,13676
single_random_i16,SmallRng,Canon-reduced,,,2751917.0,ns,14728
single_random_i16,SmallRng,Canon-reduced,,,2947999.0,ns,15780
single_random_i16,SmallRng,Canon-reduced,,,3145628.0,ns,16832
single_random_i16,SmallRng,Canon-reduced,,,3336347.0,ns,17884
single_random_i16,SmallRng,Canon-reduced,,,3534745.0,ns,18936
single_random_i16,SmallRng,Canon-reduced,,,3726552.0,ns,19988
single_random_i16,SmallRng,Canon-reduced,,,3946875.0,ns,21040
single_random_i16,SmallRng,Canon-reduced,,,4125553.0,ns,22092
single_random_i16,SmallRng,Canon-reduced,,,4321716.0,ns,23144
single_random_i16,SmallRng,Canon-reduced,,,4519527.0,ns,24196
single_random_i16,SmallRng,Canon-reduced,,,4735980.0,ns,25248
single_random_i16,SmallRng,Canon-reduced,,,4908727.0,ns,26300
single_random_i16,SmallRng,Canon-reduced,,,5109076.0,ns,27352
single_random_i16,SmallRng,Canon-reduced,,,5307025.0,ns,28404
single_random_i16,SmallRng,Canon-reduced,,,5510178.0,ns,29456
single_random_i16,SmallRng,Canon-reduced,,,5693255.0,ns,30508
single_random_i16,SmallRng,Canon-reduced,,,5892642.0,ns,31560
single_random_i16,SmallRng,Canon-reduced,,,6090344.0,ns,32612
single_random_i16,SmallRng,Canon-reduced,,,6282819.0,ns,33664
single_random_i16,SmallRng,Canon-reduced,,,6477644.0,ns,34716
single_random_i16,SmallRng,Canon-reduced,,,6673531.0,ns,35768
single_random_i16,SmallRng,Canon-reduced,,,6891132.0,ns,36820
single_random_i16,SmallRng,Canon-reduced,,,7145848.0,ns,37872
single_random_i16,SmallRng,Canon-reduced,,,7266663.0,ns,38924
single_random_i16,SmallRng,Canon-reduced,,,7460153.0,ns,39976
single_random_i16,SmallRng,Canon-reduced,,,7677106.0,ns,41028
single_random_i16,SmallRng,Canon-reduced,,,7896189.0,ns,42080
single_random_i16,SmallRng,Canon-reduced,,,8048689.0,ns,43132
single_random_i16,SmallRng,Canon-reduced,,,8246050.0,ns,44184
single_random_i16,SmallRng,Canon-reduced,,,8439403.0,ns,45236
single_random_i16,SmallRng,Canon-reduced,,,8639381.0,ns,46288
single_random_i16,SmallRng,Canon-reduced,,,9087093.0,ns,47340
single_random_i16,SmallRng,Canon-reduced,,,9029822.0,ns,48392
single_random_i16,SmallRng,Canon-reduced,,,9253733.0,ns,49444
single_random_i16,SmallRng,Canon-reduced,,,9673162.0,ns,50496
single_random_i16,SmallRng,Canon-reduced,,,9697087.0,ns,51548
single_random_i16,SmallRng,Canon-reduced,,,9817968.0,ns,52600
single_random_i16,SmallRng,Canon-reduced,,,10013127.0,ns,53652
single_random_i16,SmallRng,Canon-reduced,,,10208535.0,ns,54704
single_random_i16,SmallRng,Canon-reduced,,,10405323.0,ns,55756
single_random_i16,SmallRng,Canon-reduced,,,11807002.0,ns,56808
single_random_i16,SmallRng,Canon-reduced,,,10824273.0,ns,57860
