group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Canon,,,183525.0,ns,851
single_random_i16,SmallRng,Canon,,,372357.0,ns,1702
single_random_i16,SmallRng,Canon,,,550899.0,ns,2553
single_random_i16,SmallRng,Canon,,,737622.0,ns,3404
single_random_i16,SmallRng,Canon,,,921025.0,ns,4255
single_random_i16,SmallRng,Canon,,,1106890.0,ns,5106
single_random_i16,SmallRng,Canon,,,1287753.0,ns,5957
single_random_i16,SmallRng,Canon,,,1513011.0,ns,6808
single_random_i16,SmallRng,Canon,,,1652769.0,ns,7659
single_random_i16,SmallRng,Canon,,,2176763.0,ns,8510
single_random_i16,SmallRng,Canon,,,2063106.0,ns,9361
single_random_i16,SmallRng,Canon,,,2309740.0,ns,10212
single_random_i16,SmallRng,Canon,,,2393057.0,ns,11063
single_random_i16,SmallRng,Canon,,,2581798.0,ns,11914
single_random_i16,SmallRng,Canon,,,2769225.0,ns,12765
single_random_i16,SmallRng,Canon,,,2946598.0,ns,13616
single_random_i16,SmallRng,Canon,,,3328920.0,ns,14467
single_random_i16,SmallRng,Canon,,,3313422.0,ns,15318
single_random_i16,SmallRng,Canon,,,3553643.0,ns,16169
single_random_i16,SmallRng,Canon,,,3784954.0,ns,17020
single_random_i16,SmallRng,Canon,,,3868766.0,ns,17871
single_random_i16,SmallRng,Canon,,,4281263.0,ns,18722
single_random_i16,SmallRng,Canon,,,4426419.0,ns,19573
single_random_i16,SmallRng,Canon,,,4472151.0,ns,20424
single_random_i16,SmallRng,Canon,,,4775293.0,ns,21275
single_random_i16,SmallRng,Canon,,,5159504.0,ns,22126
single_random_i16,SmallRng,Canon,,,5178833.0,ns,22977
single_random_i16,SmallRng,Canon,,,5181105.0,ns,23828
single_random_i16,SmallRng,Canon,,,5738231.0,ns,24679
single_random_i16,SmallRng,Canon,,,5733071.0,ns,25530
single_random_i16,SmallRng,Canon,,,5706560.0,ns,26381
single_random_i16,SmallRng,Canon,,,6230943.0,ns,27232
