group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,ONeill,,,183617.0,ns,969
single_random_i16,SmallRng,ONeill,,,366390.0,ns,1938
single_random_i16,SmallRng,ONeill,,,556683.0,ns,2907
single_random_i16,SmallRng,ONeill,,,739095.0,ns,3876
single_random_i16,SmallRng,ONeill,,,934482.0,ns,4845
single_random_i16,SmallRng,ONeill,,,1111949.0,ns,5814
single_random_i16,SmallRng,ONeill,,,1288703.0,ns,6783
single_random_i16,SmallRng,ONeill,,,1571264.0,ns,7752
single_random_i16,SmallRng,ONeill,,,1657598.0,ns,8721
single_random_i16,SmallRng,ONeill,,,1843304.0,ns,9690
single_random_i16,SmallRng,ONeill,,,2092372.0,ns,10659
single_random_i16,SmallRng,ONeill,,,2214356.0,ns,11628
single_random_i16,SmallRng,ONeill,,,2578455.0,ns,12597
single_random_i16,SmallRng,ONeill,,,2586605.0,ns,13566
single_random_i16,SmallRng,ONeill,,,2759206.0,ns,14535
single_random_i16,SmallRng,ONeill,,,3135429.0,ns,15504
single_random_i16,SmallRng,ONeill,,,3202396.0,ns,16473
single_random_i16,SmallRng,ONeill,,,3323002.0,ns,17442
single_random_i16,SmallRng,ONeill,,,3513298.0,ns,18411
single_random_i16,SmallRng,ONeill,,,3690662.0,ns,19380
single_random_i16,SmallRng,ONeill,,,3935809.0,ns,20349
single_random_i16,SmallRng,ONeill,,,4064492.0,ns,21318
single_random_i16,SmallRng,ONeill,,,4249223.0,ns,22287
single_random_i16,SmallRng,ONeill,,,4457957.0,ns,23256
single_random_i16,SmallRng,ONeill,,,4674154.0,ns,24225
single_random_i16,SmallRng,ONeill,,,4797553.0,ns,25194
single_random_i16,SmallRng,ONeill,,,4986411.0,ns,26163
single_random_i16,SmallRng,ONeill,,,5299060.0,ns,27132
single_random_i16,SmallRng,ONeill,,,5356129.0,ns,28101
single_random_i16,SmallRng,ONeill,,,5567097.0,ns,29070
single_random_i16,SmallRng,ONeill,,,5776095.0,ns,30039
single_random_i16,SmallRng,ONeill,,,5909949.0,ns,31008
single_random_i16,SmallRng,ONeill,,,6202580.0,ns,31977
single_random_i16,SmallRng,ONeill,,,6293977.0,ns,32946
single_random_i16,SmallRng,ONeill,,,6467055.0,ns,33915
single_random_i16,SmallRng,ONeill,,,6700519.0,ns,34884
single_random_i16,SmallRng,ONeill,,,6835652.0,ns,35853
single_random_i16,SmallRng,ONeill,,,7125661.0,ns,36822
single_random_i16,SmallRng,ONeill,,,7204663.0,ns,37791
single_random_i16,SmallRng,ONeill,,,7429706.0,ns,38760
single_random_i16,SmallRng,ONeill,,,7567926.0,ns,39729
single_random_i16,SmallRng,ONeill,,,7872154.0,ns,40698
single_random_i16,SmallRng,ONeill,,,7994374.0,ns,41667
single_random_i16,SmallRng,ONeill,,,8180795.0,ns,42636
single_random_i16,SmallRng,ONeill,,,8369309.0,ns,43605
single_random_i16,SmallRng,ONeill,,,8679834.0,ns,44574
single_random_i16,SmallRng,ONeill,,,8746593.0,ns,45543
single_random_i16,SmallRng,ONeill,,,9173727.0,ns,46512
single_random_i16,SmallRng,ONeill,,,9096431.0,ns,47481
single_random_i16,SmallRng,ONeill,,,9298818.0,ns,48450
single_random_i16,SmallRng,ONeill,,,9557463.0,ns,49419
single_random_i16,SmallRng,ONeill,,,10130029.0,ns,50388
single_random_i16,SmallRng,ONeill,,,10536224.0,ns,51357
single_random_i16,SmallRng,ONeill,,,10124273.0,ns,52326
single_random_i16,SmallRng,ONeill,,,10201846.0,ns,53295
single_random_i16,SmallRng,ONeill,,,10859327.0,ns,54264
single_random_i16,SmallRng,ONeill,,,10668199.0,ns,55233
single_random_i16,SmallRng,ONeill,,,10966590.0,ns,56202
single_random_i16,SmallRng,ONeill,,,11008800.0,ns,57171
single_random_i16,SmallRng,ONeill,,,11423000.0,ns,58140
single_random_i16,SmallRng,ONeill,,,11283514.0,ns,59109
single_random_i16,SmallRng,ONeill,,,11601772.0,ns,60078
single_random_i16,SmallRng,ONeill,,,12127814.0,ns,61047
single_random_i16,SmallRng,ONeill,,,12671342.0,ns,62016
single_random_i16,SmallRng,ONeill,,,12289068.0,ns,62985
single_random_i16,SmallRng,ONeill,,,12191317.0,ns,63954
single_random_i16,SmallRng,ONeill,,,12974038.0,ns,64923
single_random_i16,SmallRng,ONeill,,,13967272.0,ns,65892
single_random_i16,SmallRng,ONeill,,,13110208.0,ns,66861
single_random_i16,SmallRng,ONeill,,,13343235.0,ns,67830
single_random_i16,SmallRng,ONeill,,,13403113.0,ns,68799
single_random_i16,SmallRng,ONeill,,,13283194.0,ns,69768
single_random_i16,SmallRng,ONeill,,,13886511.0,ns,70737
single_random_i16,SmallRng,ONeill,,,14088046.0,ns,71706
single_random_i16,SmallRng,ONeill,,,14194558.0,ns,72675
single_random_i16,SmallRng,ONeill,,,14379748.0,ns,73644
single_random_i16,SmallRng,ONeill,,,14320267.0,ns,74613
single_random_i16,SmallRng,ONeill,,,16731674.0,ns,75582
single_random_i16,SmallRng,ONeill,,,14978139.0,ns,76551
single_random_i16,SmallRng,ONeill,,,14991589.0,ns,77520
single_random_i16,SmallRng,ONeill,,,15006046.0,ns,78489
single_random_i16,SmallRng,ONeill,,,15336837.0,ns,79458
single_random_i16,SmallRng,ONeill,,,15943865.0,ns,80427
single_random_i16,SmallRng,ONeill,,,16190861.0,ns,81396
single_random_i16,SmallRng,ONeill,,,16099529.0,ns,82365
single_random_i16,SmallRng,ONeill,,,16137082.0,ns,83334
single_random_i16,SmallRng,ONeill,,,16498066.0,ns,84303
single_random_i16,SmallRng,ONeill,,,16828252.0,ns,85272
single_random_i16,SmallRng,ONeill,,,16675479.0,ns,86241
single_random_i16,SmallRng,ONeill,,,16577124.0,ns,87210
single_random_i16,SmallRng,ONeill,,,16929619.0,ns,88179
single_random_i16,SmallRng,ONeill,,,17298328.0,ns,89148
single_random_i16,SmallRng,ONeill,,,17484399.0,ns,90117
single_random_i16,SmallRng,ONeill,,,18112030.0,ns,91086
single_random_i16,SmallRng,ONeill,,,18110830.0,ns,92055
