group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,ChaCha8Rng,Canon,,,197454.0,ns,603
single_random_i32,ChaCha8Rng,Canon,,,389996.0,ns,1206
single_random_i32,ChaCha8Rng,Canon,,,544090.0,ns,1809
single_random_i32,ChaCha8Rng,Canon,,,773821.0,ns,2412
single_random_i32,ChaCha8Rng,Canon,,,954176.0,ns,3015
single_random_i32,ChaCha8Rng,Canon,,,1161342.0,ns,3618
single_random_i32,ChaCha8Rng,Canon,,,1369453.0,ns,4221
single_random_i32,ChaCha8Rng,Canon,,,1586867.0,ns,4824
single_random_i32,ChaCha8Rng,Canon,,,1791344.0,ns,5427
single_random_i32,ChaCha8Rng,Canon,,,1942977.0,ns,6030
single_random_i32,ChaCha8Rng,Canon,,,2250935.0,ns,6633
single_random_i32,ChaCha8Rng,Canon,,,2362282.0,ns,7236
single_random_i32,ChaCha8Rng,Canon,,,2562151.0,ns,7839
single_random_i32,ChaCha8Rng,Canon,,,2712746.0,ns,8442
single_random_i32,ChaCha8Rng,Canon,,,2960114.0,ns,9045
single_random_i32,ChaCha8Rng,Canon,,,3122265.0,ns,9648
single_random_i32,ChaCha8Rng,Canon,,,3337504.0,ns,10251
single_random_i32,ChaCha8Rng,Canon,,,3551736.0,ns,10854
single_random_i32,ChaCha8Rng,Canon,,,3767954.0,ns,11457
single_random_i32,ChaCha8Rng,Canon,,,3855657.0,ns,12060
single_random_i32,ChaCha8Rng,Canon,,,4072587.0,ns,12663
single_random_i32,ChaCha8Rng,Canon,,,4352857.0,ns,13266
single_random_i32,ChaCha8Rng,Canon,,,4525945.0,ns,13869
single_random_i32,ChaCha8Rng,Canon,,,4720221.0,ns,14472
single_random_i32,ChaCha8Rng,Canon,,,4938167.0,ns,15075
single_random_i32,ChaCha8Rng,Canon,,,5025449.0,ns,15678
single_random_i32,ChaCha8Rng,Canon,,,5325209.0,ns,16281
single_random_i32,ChaCha8Rng,Canon,,,5522067.0,ns,16884
single_random_i32,ChaCha8Rng,Canon,,,5673478.0,ns,17487
single_random_i32,ChaCha8Rng,Canon,,,5975033.0,ns,18090
single_random_i32,ChaCha8Rng,Canon,,,6096079.0,ns,18693
single_random_i32,ChaCha8Rng,Canon,,,6319102.0,ns,19296
single_random_i32,ChaCha8Rng,Canon,,,6442456.0,ns,19899
single_random_i32,ChaCha8Rng,Canon,,,6726001.0,ns,20502
single_random_i32,ChaCha8Rng,Canon,,,6854780.0,ns,21105
single_random_i32,ChaCha8Rng,Canon,,,7086019.0,ns,21708
single_random_i32,ChaCha8Rng,Canon,,,7214974.0,ns,22311
single_random_i32,ChaCha8Rng,Canon,,,7429736.0,ns,22914
single_random_i32,ChaCha8Rng,Canon,,,7571634.0,ns,23517
single_random_i32,ChaCha8Rng,Canon,,,7772871.0,ns,24120
single_random_i32,ChaCha8Rng,Canon,,,8069062.0,ns,24723
single_random_i32,ChaCha8Rng,Canon,,,8215377.0,ns,25326
single_random_i32,ChaCha8Rng,Canon,,,8400932.0,ns,25929
single_random_i32,ChaCha8Rng,Canon,,,8600951.0,ns,26532
single_random_i32,ChaCha8Rng,Canon,,,8791442.0,ns,27135
single_random_i32,ChaCha8Rng,Canon,,,8979409.0,ns,27738
