group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,ChaCha8Rng,Canon32,,,200674.0,ns,316
single_random_i32,ChaCha8Rng,Canon32,,,297927.0,ns,632
single_random_i32,ChaCha8Rng,Canon32,,,674799.0,ns,948
single_random_i32,ChaCha8Rng,Canon32,,,424390.0,ns,1264
single_random_i32,ChaCha8Rng,Canon32,,,582300.0,ns,1580
single_random_i32,ChaCha8Rng,Canon32,,,1349004.0,ns,1896
single_random_i32,ChaCha8Rng,Canon32,,,712513.0,ns,2212
single_random_i32,ChaCha8Rng,Canon32,,,1304039.0,ns,2528
single_random_i32,ChaCha8Rng,Canon32,,,1493792.0,ns,2844
single_random_i32,ChaCha8Rng,Canon32,,,933042.0,ns,3160
single_random_i32,ChaCha8Rng,Canon32,,,740700.0,ns,3476
single_random_i32,ChaCha8Rng,Canon32,,,2363823.0,ns,3792
single_random_i32,ChaCha8Rng,Canon32,,,1197007.0,ns,4108
single_random_i32,ChaCha8Rng,Canon32,,,1095086.0,ns,4424
single_random_i32,ChaCha8Rng,Canon32,,,2410085.0,ns,4740
single_random_i32,ChaCha8Rng,Canon32,,,2132713.0,ns,5056
single_random_i32,ChaCha8Rng,Canon32,,,2109552.0,ns,5372
single_random_i32,ChaCha8Rng,Canon32,,,3849009.0,ns,5688
single_random_i32,ChaCha8Rng,Canon32,,,1268134.0,ns,6004
single_random_i32,ChaCha8Rng,Canon32,,,2914499.0,ns,6320
single_random_i32,ChaCha8Rng,Canon32,,,3475285.0,ns,6636
single_random_i32,ChaCha8Rng,Canon32,,,3297028.0,ns,6952
single_random_i32,ChaCha8Rng,Canon32,,,5108342.0,ns,7268
single_random_i32,ChaCha8Rng,Canon32,,,1842954.0,ns,7584
single_random_i32,ChaCha8Rng,Canon32,,,4947346.0,ns,7900
single_random_i32,ChaCha8Rng,Canon32,,,5066359.0,ns,8216
single_random_i32,ChaCha8Rng,Canon32,,,2548272.0,ns,8532
single_random_i32,ChaCha8Rng,Canon32,,,5175738.0,ns,8848
single_random_i32,ChaCha8Rng,Canon32,,,2090386.0,ns,9164
single_random_i32,ChaCha8Rng,Canon32,,,3950936.0,ns,9480
single_random_i32,ChaCha8Rng,Canon32,,,2771082.0,ns,9796
single_random_i32,ChaCha8Rng,Canon32,,,6229713.0,ns,10112
single_random_i32,ChaCha8Rng,Canon32,,,3688944.0,ns,10428
single_random_i32,ChaCha8Rng,Canon32,,,2976383.0,ns,10744
single_random_i32,ChaCha8Rng,Canon32,,,3132274.0,ns,11060
single_random_i32,ChaCha8Rng,Canon32,,,3774350.0,ns,11376
single_random_i32,ChaCha8Rng,Canon32,,,4020435.0,ns,11692
single_random_i32,ChaCha8Rng,Canon32,,,2970445.0,ns,12008
single_random_i32,ChaCha8Rng,Canon32,,,3648761.0,ns,12324
single_random_i32,ChaCha8Rng,Canon32,,,8646758.0,ns,12640
single_random_i32,ChaCha8Rng,Canon32,,,3290181.0,ns,12956
single_random_i32,ChaCha8Rng,Canon32,,,7202121.0,ns,13272
single_random_i32,ChaCha8Rng,Canon32,,,8612781.0,ns,13588
single_random_i32,ChaCha8Rng,Canon32,,,6427925.0,ns,13904
single_random_i32,ChaCha8Rng,Canon32,,,5759778.0,ns,14220
single_random_i32,ChaCha8Rng,Canon32,,,3884895.0,ns,14536
single_random_i32,ChaCha8Rng,Canon32,,,5742502.0,ns,14852
single_random_i32,ChaCha8Rng,Canon32,,,4407743.0,ns,15168
