group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg32,Bitmask,,,126076.0,ns,371
single_random_i32,Pcg32,Bitmask,,,200819.0,ns,742
single_random_i32,Pcg32,Bitmask,,,230613.0,ns,1113
single_random_i32,Pcg32,Bitmask,,,719194.0,ns,1484
single_random_i32,Pcg32,Bitmask,,,969094.0,ns,1855
single_random_i32,Pcg32,Bitmask,,,756543.0,ns,2226
single_random_i32,Pcg32,Bitmask,,,1466408.0,ns,2597
single_random_i32,Pcg32,Bitmask,,,1434204.0,ns,2968
single_random_i32,Pcg32,Bitmask,,,2953387.0,ns,3339
single_random_i32,Pcg32,Bitmask,,,2087457.0,ns,3710
single_random_i32,Pcg32,Bitmask,,,2117645.0,ns,4081
single_random_i32,Pcg32,Bitmask,,,1358289.0,ns,4452
single_random_i32,Pcg32,Bitmask,,,2586189.0,ns,4823
single_random_i32,Pcg32,Bitmask,,,2130268.0,ns,5194
single_random_i32,Pcg32,Bitmask,,,1718931.0,ns,5565
single_random_i32,Pcg32,Bitmask,,,3060349.0,ns,5936
single_random_i32,Pcg32,Bitmask,,,4657114.0,ns,6307
single_random_i32,Pcg32,Bitmask,,,3815366.0,ns,6678
single_random_i32,Pcg32,Bitmask,,,2145646.0,ns,7049
single_random_i32,Pcg32,Bitmask,,,5104893.0,ns,7420
single_random_i32,Pcg32,Bitmask,,,2600361.0,ns,7791
single_random_i32,Pcg32,Bitmask,,,5884241.0,ns,8162
single_random_i32,Pcg32,Bitmask,,,5267559.0,ns,8533
single_random_i32,Pcg32,Bitmask,,,4233828.0,ns,8904
single_random_i32,Pcg32,Bitmask,,,2192892.0,ns,9275
single_random_i32,Pcg32,Bitmask,,,4449851.0,ns,9646
single_random_i32,Pcg32,Bitmask,,,7960499.0,ns,10017
single_random_i32,Pcg32,Bitmask,,,8619111.0,ns,10388
single_random_i32,Pcg32,Bitmask,,,4722364.0,ns,10759
single_random_i32,Pcg32,Bitmask,,,3246353.0,ns,11130
single_random_i32,Pcg32,Bitmask,,,7151211.0,ns,11501
single_random_i32,Pcg32,Bitmask,,,4830662.0,ns,11872
single_random_i32,Pcg32,Bitmask,,,3086280.0,ns,12243
single_random_i32,Pcg32,Bitmask,,,3108286.0,ns,12614
single_random_i32,Pcg32,Bitmask,,,7944754.0,ns,12985
single_random_i32,Pcg32,Bitmask,,,5840683.0,ns,13356
single_random_i32,Pcg32,Bitmask,,,7346322.0,ns,13727
single_random_i32,Pcg32,Bitmask,,,9193828.0,ns,14098
single_random_i32,Pcg32,Bitmask,,,7743930.0,ns,14469
single_random_i32,Pcg32,Bitmask,,,6234956.0,ns,14840
single_random_i32,Pcg32,Bitmask,,,4800397.0,ns,15211
single_random_i32,Pcg32,Bitmask,,,7103180.0,ns,15582
single_random_i32,Pcg32,Bitmask,,,13123015.0,ns,15953
single_random_i32,Pcg32,Bitmask,,,10831908.0,ns,16324
single_random_i32,Pcg32,Bitmask,,,9615360.0,ns,16695
single_random_i32,Pcg32,Bitmask,,,7239346.0,ns,17066
single_random_i32,Pcg32,Bitmask,,,3855510.0,ns,17437
single_random_i32,Pcg32,Bitmask,,,8441621.0,ns,17808
single_random_i32,Pcg32,Bitmask,,,13549970.0,ns,18179
single_random_i32,Pcg32,Bitmask,,,7258956.0,ns,18550
single_random_i32,Pcg32,Bitmask,,,4223693.0,ns,18921
single_random_i32,Pcg32,Bitmask,,,9442102.0,ns,19292
