group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg64,Canon,,,190760.0,ns,729
single_random_i32,Pcg64,Canon,,,386604.0,ns,1458
single_random_i32,Pcg64,Canon,,,581888.0,ns,2187
single_random_i32,Pcg64,Canon,,,774059.0,ns,2916
single_random_i32,Pcg64,Canon,,,952071.0,ns,3645
single_random_i32,Pcg64,Canon,,,1323224.0,ns,4374
single_random_i32,Pcg64,Canon,,,1342894.0,ns,5103
single_random_i32,Pcg64,Canon,,,1537705.0,ns,5832
single_random_i32,Pcg64,Canon,,,1731508.0,ns,6561
single_random_i32,Pcg64,Canon,,,1943607.0,ns,7290
single_random_i32,Pcg64,Canon,,,2243061.0,ns,8019
single_random_i32,Pcg64,Canon,,,2320502.0,ns,8748
single_random_i32,Pcg64,Canon,,,2600623.0,ns,9477
single_random_i32,Pcg64,Canon,,,2727379.0,ns,10206
single_random_i32,Pcg64,Canon,,,2916047.0,ns,10935
single_random_i32,Pcg64,Canon,,,3123107.0,ns,11664
single_random_i32,Pcg64,Canon,,,3286963.0,ns,12393
single_random_i32,Pcg64,Canon,,,3486770.0,ns,13122
single_random_i32,Pcg64,Canon,,,3679142.0,ns,13851
single_random_i32,Pcg64,Canon,,,3869883.0,ns,14580
single_random_i32,Pcg64,Canon,,,4086795.0,ns,15309
single_random_i32,Pcg64,Canon,,,4448020.0,ns,16038
single_random_i32,Pcg64,Canon,,,4439530.0,ns,16767
single_random_i32,Pcg64,Canon,,,4651374.0,ns,17496
single_random_i32,Pcg64,Canon,,,4837642.0,ns,18225
single_random_i32,Pcg64,Canon,,,5034984.0,ns,18954
single_random_i32,Pcg64,Canon,,,5235208.0,ns,19683
single_random_i32,Pcg64,Canon,,,5432900.0,ns,20412
single_random_i32,Pcg64,Canon,,,5637109.0,ns,21141
single_random_i32,Pcg64,Canon,,,5803739.0,ns,21870
single_random_i32,Pcg64,Canon,,,6078811.0,ns,22599
single_random_i32,Pcg64,Canon,,,6227551.0,ns,23328
single_random_i32,Pcg64,Canon,,,6545437.0,ns,24057
single_random_i32,Pcg64,Canon,,,6592853.0,ns,24786
single_random_i32,Pcg64,Canon,,,6798029.0,ns,25515
single_random_i32,Pcg64,Canon,,,6975667.0,ns,26244
single_random_i32,Pcg64,Canon,,,7381089.0,ns,26973
single_random_i32,Pcg64,Canon,,,7510449.0,ns,27702
single_random_i32,Pcg64,Canon,,,7812246.0,ns,28431
single_random_i32,Pcg64,Canon,,,7788716.0,ns,29160
single_random_i32,Pcg64,Canon,,,8077432.0,ns,29889
single_random_i32,Pcg64,Canon,,,8142768.0,ns,30618
single_random_i32,Pcg64,Canon,,,8446003.0,ns,31347
single_random_i32,Pcg64,Canon,,,9041013.0,ns,32076
single_random_i32,Pcg64,Canon,,,8703340.0,ns,32805
single_random_i32,Pcg64,Canon,,,8903688.0,ns,33534
single_random_i32,Pcg64,Canon,,,9194957.0,ns,34263
single_random_i32,Pcg64,Canon,,,9299608.0,ns,34992
single_random_i32,Pcg64,Canon,,,9682646.0,ns,35721
single_random_i32,Pcg64,Canon,,,10025696.0,ns,36450
single_random_i32,Pcg64,Canon,,,9898119.0,ns,37179
single_random_i32,Pcg64,Canon,,,10192253.0,ns,37908
single_random_i32,Pcg64,Canon,,,10215513.0,ns,38637
single_random_i32,Pcg64,Canon,,,10456904.0,ns,39366
single_random_i32,Pcg64,Canon,,,10620582.0,ns,40095
single_random_i32,Pcg64,Canon,,,10807065.0,ns,40824
single_random_i32,Pcg64,Canon,,,10992531.0,ns,41553
single_random_i32,Pcg64,Canon,,,11162114.0,ns,42282
single_random_i32,Pcg64,Canon,,,11366259.0,ns,43011
single_random_i32,Pcg64,Canon,,,11551447.0,ns,43740
single_random_i32,Pcg64,Canon,,,11846511.0,ns,44469
single_random_i32,Pcg64,Canon,,,12075240.0,ns,45198
single_random_i32,Pcg64,Canon,,,12133306.0,ns,45927
single_random_i32,Pcg64,Canon,,,12303216.0,ns,46656
single_random_i32,Pcg64,Canon,,,12509193.0,ns,47385
single_random_i32,Pcg64,Canon,,,12858357.0,ns,48114
single_random_i32,Pcg64,Canon,,,13227764.0,ns,48843
single_random_i32,Pcg64,Canon,,,13252915.0,ns,49572
single_random_i32,Pcg64,Canon,,,13634023.0,ns,50301
single_random_i32,Pcg64,Canon,,,13599568.0,ns,51030
single_random_i32,Pcg64,Canon,,,13684430.0,ns,51759
single_random_i32,Pcg64,Canon,,,13879096.0,ns,52488
single_random_i32,Pcg64,Canon,,,14279972.0,ns,53217
single_random_i32,Pcg64,Canon,,,14284622.0,ns,53946
single_random_i32,Pcg64,Canon,,,14546325.0,ns,54675
single_random_i32,Pcg64,Canon,,,14773920.0,ns,55404
single_random_i32,Pcg64,Canon,,,14889894.0,ns,56133
single_random_i32,Pcg64,Canon,,,15447017.0,ns,56862
single_random_i32,Pcg64,Canon,,,15234474.0,ns,57591
single_random_i32,Pcg64,Canon,,,15467561.0,ns,58320
single_random_i32,Pcg64,Canon,,,15689085.0,ns,59049
single_random_i32,Pcg64,Canon,,,15915042.0,ns,59778
single_random_i32,Pcg64,Canon,,,16017633.0,ns,60507
single_random_i32,Pcg64,Canon,,,16285423.0,ns,61236
single_random_i32,Pcg64,Canon,,,16352776.0,ns,61965
single_random_i32,Pcg64,Canon,,,16645442.0,ns,62694
single_random_i32,Pcg64,Canon,,,16717895.0,ns,63423
single_random_i32,Pcg64,Canon,,,17188098.0,ns,64152
single_random_i32,Pcg64,Canon,,,17166315.0,ns,64881
single_random_i32,Pcg64,Canon,,,17372769.0,ns,65610
single_random_i32,Pcg64,Canon,,,17724437.0,ns,66339
single_random_i32,Pcg64,Canon,,,17704521.0,ns,67068
single_random_i32,Pcg64,Canon,,,18074000.0,ns,67797
single_random_i32,Pcg64,Canon,,,18360944.0,ns,68526
single_random_i32,Pcg64,Canon,,,18300194.0,ns,69255
single_random_i32,Pcg64,Canon,,,18524867.0,ns,69984
single_random_i32,Pcg64,Canon,,,18914173.0,ns,70713
single_random_i32,Pcg64,Canon,,,18924208.0,ns,71442
single_random_i32,Pcg64,Canon,,,19260151.0,ns,72171
single_random_i32,Pcg64,Canon,,,19227673.0,ns,72900
