group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,SmallRng,Canon-Unbiased,,,191559.0,ns,890
single_random_i32,SmallRng,Canon-Unbiased,,,385489.0,ns,1780
single_random_i32,SmallRng,Canon-Unbiased,,,577936.0,ns,2670
single_random_i32,SmallRng,Canon-Unbiased,,,811769.0,ns,3560
single_random_i32,SmallRng,Canon-Unbiased,,,1006835.0,ns,4450
single_random_i32,SmallRng,Canon-Unbiased,,,1147418.0,ns,5340
single_random_i32,SmallRng,Canon-Unbiased,,,1336637.0,ns,6230
single_random_i32,SmallRng,Canon-Unbiased,,,1528568.0,ns,7120
single_random_i32,SmallRng,Canon-Unbiased,,,1718904.0,ns,8010
single_random_i32,SmallRng,Canon-Unbiased,,,2003219.0,ns,8900
single_random_i32,SmallRng,Canon-Unbiased,,,2179527.0,ns,9790
single_random_i32,SmallRng,Canon-Unbiased,,,2594528.0,ns,10680
single_random_i32,SmallRng,Canon-Unbiased,,,2522896.0,ns,11570
single_random_i32,SmallRng,Canon-Unbiased,,,2753019.0,ns,12460
single_random_i32,SmallRng,Canon-Unbiased,,,3042038.0,ns,13350
single_random_i32,SmallRng,Canon-Unbiased,,,3167456.0,ns,14240
single_random_i32,SmallRng,Canon-Unbiased,,,3620387.0,ns,15130
single_random_i32,SmallRng,Canon-Unbiased,,,3463226.0,ns,16020
single_random_i32,SmallRng,Canon-Unbiased,,,3785713.0,ns,16910
single_random_i32,SmallRng,Canon-Unbiased,,,3879468.0,ns,17800
single_random_i32,SmallRng,Canon-Unbiased,,,4056261.0,ns,18690
single_random_i32,SmallRng,Canon-Unbiased,,,4301165.0,ns,19580
single_random_i32,SmallRng,Canon-Unbiased,,,4402240.0,ns,20470
single_random_i32,SmallRng,Canon-Unbiased,,,4613552.0,ns,21360
single_random_i32,SmallRng,Canon-Unbiased,,,5131929.0,ns,22250
single_random_i32,SmallRng,Canon-Unbiased,,,5198368.0,ns,23140
single_random_i32,SmallRng,Canon-Unbiased,,,5316008.0,ns,24030
single_random_i32,SmallRng,Canon-Unbiased,,,5406218.0,ns,24920
single_random_i32,SmallRng,Canon-Unbiased,,,5698927.0,ns,25810
single_random_i32,SmallRng,Canon-Unbiased,,,5732641.0,ns,26700
single_random_i32,SmallRng,Canon-Unbiased,,,6154252.0,ns,27590
single_random_i32,SmallRng,Canon-Unbiased,,,6184995.0,ns,28480
single_random_i32,SmallRng,Canon-Unbiased,,,6331716.0,ns,29370
single_random_i32,SmallRng,Canon-Unbiased,,,6639892.0,ns,30260
single_random_i32,SmallRng,Canon-Unbiased,,,6901316.0,ns,31150
single_random_i32,SmallRng,Canon-Unbiased,,,6941123.0,ns,32040
single_random_i32,SmallRng,Canon-Unbiased,,,7087962.0,ns,32930
