group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,Canon-Lemire,,,148399.0,ns,262
single_random_i64,ChaCha8Rng,Canon-Lemire,,,403519.0,ns,524
single_random_i64,ChaCha8Rng,Canon-Lemire,,,431509.0,ns,786
single_random_i64,ChaCha8Rng,Canon-Lemire,,,819065.0,ns,1048
single_random_i64,ChaCha8Rng,Canon-Lemire,,,902926.0,ns,1310
single_random_i64,ChaCha8Rng,Canon-Lemire,,,958156.0,ns,1572
single_random_i64,ChaCha8Rng,Canon-Lemire,,,718394.0,ns,1834
single_random_i64,ChaCha8Rng,Canon-Lemire,,,807435.0,ns,2096
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1006417.0,ns,2358
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2242604.0,ns,2620
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2969519.0,ns,2882
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1194442.0,ns,3144
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1546508.0,ns,3406
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1610269.0,ns,3668
single_random_i64,ChaCha8Rng,Canon-Lemire,,,1590902.0,ns,3930
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2242871.0,ns,4192
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2631732.0,ns,4454
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3157002.0,ns,4716
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2444112.0,ns,4978
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4663500.0,ns,5240
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2443724.0,ns,5502
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3846533.0,ns,5764
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2304961.0,ns,6026
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3404010.0,ns,6288
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4485334.0,ns,6550
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4087603.0,ns,6812
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6024538.0,ns,7074
single_random_i64,ChaCha8Rng,Canon-Lemire,,,2747769.0,ns,7336
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4271309.0,ns,7598
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4966859.0,ns,7860
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3080623.0,ns,8122
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3974400.0,ns,8384
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3398053.0,ns,8646
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3388867.0,ns,8908
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4622873.0,ns,9170
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4610927.0,ns,9432
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4664548.0,ns,9694
single_random_i64,ChaCha8Rng,Canon-Lemire,,,3800901.0,ns,9956
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5097369.0,ns,10218
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4520047.0,ns,10480
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5331167.0,ns,10742
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4528728.0,ns,11004
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6432414.0,ns,11266
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4690645.0,ns,11528
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4445512.0,ns,11790
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7306451.0,ns,12052
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7167076.0,ns,12314
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6913650.0,ns,12576
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8971018.0,ns,12838
single_random_i64,ChaCha8Rng,Canon-Lemire,,,4970262.0,ns,13100
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5804419.0,ns,13362
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8075554.0,ns,13624
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5798874.0,ns,13886
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6660523.0,ns,14148
single_random_i64,ChaCha8Rng,Canon-Lemire,,,5492620.0,ns,14410
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6119481.0,ns,14672
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6142385.0,ns,14934
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6006067.0,ns,15196
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9757483.0,ns,15458
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12916346.0,ns,15720
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6899516.0,ns,15982
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6499367.0,ns,16244
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6552259.0,ns,16506
single_random_i64,ChaCha8Rng,Canon-Lemire,,,15436473.0,ns,16768
single_random_i64,ChaCha8Rng,Canon-Lemire,,,17444604.0,ns,17030
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12823294.0,ns,17292
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6684669.0,ns,17554
single_random_i64,ChaCha8Rng,Canon-Lemire,,,6913489.0,ns,17816
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7446630.0,ns,18078
single_random_i64,ChaCha8Rng,Canon-Lemire,,,15377836.0,ns,18340
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10130811.0,ns,18602
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9523862.0,ns,18864
single_random_i64,ChaCha8Rng,Canon-Lemire,,,13252989.0,ns,19126
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8708809.0,ns,19388
single_random_i64,ChaCha8Rng,Canon-Lemire,,,20280408.0,ns,19650
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9997057.0,ns,19912
single_random_i64,ChaCha8Rng,Canon-Lemire,,,7818005.0,ns,20174
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10723110.0,ns,20436
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8115326.0,ns,20698
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8400726.0,ns,20960
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10934951.0,ns,21222
single_random_i64,ChaCha8Rng,Canon-Lemire,,,16545759.0,ns,21484
single_random_i64,ChaCha8Rng,Canon-Lemire,,,8304199.0,ns,21746
single_random_i64,ChaCha8Rng,Canon-Lemire,,,12951612.0,ns,22008
single_random_i64,ChaCha8Rng,Canon-Lemire,,,23020176.0,ns,22270
single_random_i64,ChaCha8Rng,Canon-Lemire,,,16124623.0,ns,22532
single_random_i64,ChaCha8Rng,Canon-Lemire,,,17489203.0,ns,22794
single_random_i64,ChaCha8Rng,Canon-Lemire,,,17469650.0,ns,23056
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9382878.0,ns,23318
single_random_i64,ChaCha8Rng,Canon-Lemire,,,20867427.0,ns,23580
single_random_i64,ChaCha8Rng,Canon-Lemire,,,10454782.0,ns,23842
single_random_i64,ChaCha8Rng,Canon-Lemire,,,15480332.0,ns,24104
single_random_i64,ChaCha8Rng,Canon-Lemire,,,18768455.0,ns,24366
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9169563.0,ns,24628
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9282991.0,ns,24890
single_random_i64,ChaCha8Rng,Canon-Lemire,,,9613113.0,ns,25152
