group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,ONeill,,,112408.0,ns,280
single_random_i64,ChaCha8Rng,ONeill,,,213337.0,ns,560
single_random_i64,ChaCha8Rng,ONeill,,,601739.0,ns,840
single_random_i64,ChaCha8Rng,ONeill,,,984802.0,ns,1120
single_random_i64,ChaCha8Rng,ONeill,,,495350.0,ns,1400
single_random_i64,ChaCha8Rng,ONeill,,,783435.0,ns,1680
single_random_i64,ChaCha8Rng,ONeill,,,739470.0,ns,1960
single_random_i64,ChaCha8Rng,ONeill,,,1311347.0,ns,2240
single_random_i64,ChaCha8Rng,ONeill,,,1006180.0,ns,2520
single_random_i64,ChaCha8Rng,ONeill,,,2362956.0,ns,2800
single_random_i64,ChaCha8Rng,ONeill,,,1511233.0,ns,3080
single_random_i64,ChaCha8Rng,ONeill,,,2025915.0,ns,3360
single_random_i64,ChaCha8Rng,ONeill,,,1784112.0,ns,3640
single_random_i64,ChaCha8Rng,ONeill,,,1937867.0,ns,3920
single_random_i64,ChaCha8Rng,ONeill,,,1697885.0,ns,4200
single_random_i64,ChaCha8Rng,ONeill,,,3426583.0,ns,4480
single_random_i64,ChaCha8Rng,ONeill,,,5930887.0,ns,4760
single_random_i64,ChaCha8Rng,ONeill,,,3979823.0,ns,5040
single_random_i64,ChaCha8Rng,ONeill,,,1894743.0,ns,5320
single_random_i64,ChaCha8Rng,ONeill,,,1883088.0,ns,5600
single_random_i64,ChaCha8Rng,ONeill,,,4572768.0,ns,5880
single_random_i64,ChaCha8Rng,ONeill,,,2541953.0,ns,6160
single_random_i64,ChaCha8Rng,ONeill,,,2202111.0,ns,6440
single_random_i64,ChaCha8Rng,ONeill,,,8258756.0,ns,6720
single_random_i64,ChaCha8Rng,ONeill,,,7429755.0,ns,7000
single_random_i64,ChaCha8Rng,ONeill,,,4702639.0,ns,7280
single_random_i64,ChaCha8Rng,ONeill,,,3458507.0,ns,7560
single_random_i64,ChaCha8Rng,ONeill,,,7623856.0,ns,7840
single_random_i64,ChaCha8Rng,ONeill,,,6564089.0,ns,8120
single_random_i64,ChaCha8Rng,ONeill,,,5622536.0,ns,8400
single_random_i64,ChaCha8Rng,ONeill,,,10184324.0,ns,8680
single_random_i64,ChaCha8Rng,ONeill,,,3791431.0,ns,8960
single_random_i64,ChaCha8Rng,ONeill,,,7957485.0,ns,9240
single_random_i64,ChaCha8Rng,ONeill,,,3180403.0,ns,9520
single_random_i64,ChaCha8Rng,ONeill,,,3875048.0,ns,9800
single_random_i64,ChaCha8Rng,ONeill,,,3615759.0,ns,10080
single_random_i64,ChaCha8Rng,ONeill,,,12234506.0,ns,10360
single_random_i64,ChaCha8Rng,ONeill,,,7362732.0,ns,10640
single_random_i64,ChaCha8Rng,ONeill,,,4515157.0,ns,10920
single_random_i64,ChaCha8Rng,ONeill,,,4224459.0,ns,11200
single_random_i64,ChaCha8Rng,ONeill,,,9832779.0,ns,11480
single_random_i64,ChaCha8Rng,ONeill,,,12592101.0,ns,11760
single_random_i64,ChaCha8Rng,ONeill,,,5480850.0,ns,12040
single_random_i64,ChaCha8Rng,ONeill,,,10400938.0,ns,12320
single_random_i64,ChaCha8Rng,ONeill,,,5195314.0,ns,12600
single_random_i64,ChaCha8Rng,ONeill,,,7001002.0,ns,12880
single_random_i64,ChaCha8Rng,ONeill,,,8183741.0,ns,13160
