group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Pcg32,Canon-Unbiased,,,86753.0,ns,227
single_random_i64,Pcg32,Canon-Unbiased,,,159304.0,ns,454
single_random_i64,Pcg32,Canon-Unbiased,,,729503.0,ns,681
single_random_i64,Pcg32,Canon-Unbiased,,,962442.0,ns,908
single_random_i64,Pcg32,Canon-Unbiased,,,439990.0,ns,1135
single_random_i64,Pcg32,Canon-Unbiased,,,1205326.0,ns,1362
single_random_i64,Pcg32,Canon-Unbiased,,,1677972.0,ns,1589
single_random_i64,Pcg32,Canon-Unbiased,,,1396215.0,ns,1816
single_random_i64,Pcg32,Canon-Unbiased,,,1151254.0,ns,2043
single_random_i64,Pcg32,Canon-Unbiased,,,2245502.0,ns,2270
single_random_i64,Pcg32,Canon-Unbiased,,,2107255.0,ns,2497
single_random_i64,Pcg32,Canon-Unbiased,,,1512106.0,ns,2724
single_random_i64,Pcg32,Canon-Unbiased,,,2766310.0,ns,2951
single_random_i64,Pcg32,Canon-Unbiased,,,3449608.0,ns,3178
single_random_i64,Pcg32,Canon-Unbiased,,,2459306.0,ns,3405
single_random_i64,Pcg32,Canon-Unbiased,,,3014898.0,ns,3632
single_random_i64,Pcg32,Canon-Unbiased,,,3136001.0,ns,3859
single_random_i64,Pcg32,Canon-Unbiased,,,4241872.0,ns,4086
single_random_i64,Pcg32,Canon-Unbiased,,,2320568.0,ns,4313
single_random_i64,Pcg32,Canon-Unbiased,,,1624540.0,ns,4540
single_random_i64,Pcg32,Canon-Unbiased,,,2143727.0,ns,4767
single_random_i64,Pcg32,Canon-Unbiased,,,2244626.0,ns,4994
single_random_i64,Pcg32,Canon-Unbiased,,,3712503.0,ns,5221
single_random_i64,Pcg32,Canon-Unbiased,,,3799015.0,ns,5448
single_random_i64,Pcg32,Canon-Unbiased,,,4630238.0,ns,5675
single_random_i64,Pcg32,Canon-Unbiased,,,5015963.0,ns,5902
single_random_i64,Pcg32,Canon-Unbiased,,,2208685.0,ns,6129
single_random_i64,Pcg32,Canon-Unbiased,,,6219085.0,ns,6356
single_random_i64,Pcg32,Canon-Unbiased,,,2806891.0,ns,6583
single_random_i64,Pcg32,Canon-Unbiased,,,5936262.0,ns,6810
single_random_i64,Pcg32,Canon-Unbiased,,,6881192.0,ns,7037
