group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,SmallRng,Old,,,336592.0,ns,453
single_random_i64,SmallRng,Old,,,409563.0,ns,906
single_random_i64,SmallRng,Old,,,1281130.0,ns,1359
single_random_i64,SmallRng,Old,,,466043.0,ns,1812
single_random_i64,SmallRng,Old,,,1024697.0,ns,2265
single_random_i64,SmallRng,Old,,,2426866.0,ns,2718
single_random_i64,SmallRng,Old,,,1907129.0,ns,3171
single_random_i64,SmallRng,Old,,,1268413.0,ns,3624
single_random_i64,SmallRng,Old,,,1068122.0,ns,4077
single_random_i64,SmallRng,Old,,,1034884.0,ns,4530
single_random_i64,SmallRng,Old,,,1746525.0,ns,4983
single_random_i64,SmallRng,Old,,,1192439.0,ns,5436
single_random_i64,SmallRng,Old,,,4827028.0,ns,5889
single_random_i64,SmallRng,Old,,,1595221.0,ns,6342
single_random_i64,SmallRng,Old,,,5497365.0,ns,6795
single_random_i64,SmallRng,Old,,,2081063.0,ns,7248
single_random_i64,SmallRng,Old,,,6692767.0,ns,7701
single_random_i64,SmallRng,Old,,,4037184.0,ns,8154
single_random_i64,SmallRng,Old,,,1987100.0,ns,8607
single_random_i64,SmallRng,Old,,,6299121.0,ns,9060
single_random_i64,SmallRng,Old,,,5780024.0,ns,9513
single_random_i64,SmallRng,Old,,,4692891.0,ns,9966
single_random_i64,SmallRng,Old,,,6283664.0,ns,10419
single_random_i64,SmallRng,Old,,,5135482.0,ns,10872
single_random_i64,SmallRng,Old,,,3789484.0,ns,11325
single_random_i64,SmallRng,Old,,,8224061.0,ns,11778
single_random_i64,SmallRng,Old,,,6059727.0,ns,12231
single_random_i64,SmallRng,Old,,,10289775.0,ns,12684
single_random_i64,SmallRng,Old,,,4124411.0,ns,13137
single_random_i64,SmallRng,Old,,,8001711.0,ns,13590
single_random_i64,SmallRng,Old,,,3712763.0,ns,14043
single_random_i64,SmallRng,Old,,,3675671.0,ns,14496
single_random_i64,SmallRng,Old,,,3344508.0,ns,14949
single_random_i64,SmallRng,Old,,,13436947.0,ns,15402
single_random_i64,SmallRng,Old,,,11884678.0,ns,15855
single_random_i64,SmallRng,Old,,,4175605.0,ns,16308
single_random_i64,SmallRng,Old,,,14790030.0,ns,16761
single_random_i64,SmallRng,Old,,,5525979.0,ns,17214
single_random_i64,SmallRng,Old,,,8972039.0,ns,17667
single_random_i64,SmallRng,Old,,,16083573.0,ns,18120
single_random_i64,SmallRng,Old,,,8752421.0,ns,18573
single_random_i64,SmallRng,Old,,,15859260.0,ns,19026
single_random_i64,SmallRng,Old,,,9765476.0,ns,19479
single_random_i64,SmallRng,Old,,,8896388.0,ns,19932
single_random_i64,SmallRng,Old,,,4797083.0,ns,20385
single_random_i64,SmallRng,Old,,,15298246.0,ns,20838
single_random_i64,SmallRng,Old,,,10983757.0,ns,21291
single_random_i64,SmallRng,Old,,,18937446.0,ns,21744
single_random_i64,SmallRng,Old,,,5255384.0,ns,22197
single_random_i64,SmallRng,Old,,,11853069.0,ns,22650
single_random_i64,SmallRng,Old,,,5619695.0,ns,23103
single_random_i64,SmallRng,Old,,,17138686.0,ns,23556
single_random_i64,SmallRng,Old,,,13270385.0,ns,24009
single_random_i64,SmallRng,Old,,,17549235.0,ns,24462
single_random_i64,SmallRng,Old,,,17106651.0,ns,24915
single_random_i64,SmallRng,Old,,,23635996.0,ns,25368
single_random_i64,SmallRng,Old,,,16925521.0,ns,25821
single_random_i64,SmallRng,Old,,,13746052.0,ns,26274
single_random_i64,SmallRng,Old,,,22577078.0,ns,26727
single_random_i64,SmallRng,Old,,,7727373.0,ns,27180
single_random_i64,SmallRng,Old,,,9641123.0,ns,27633
single_random_i64,SmallRng,Old,,,18925010.0,ns,28086
single_random_i64,SmallRng,Old,,,23385585.0,ns,28539
single_random_i64,SmallRng,Old,,,16161937.0,ns,28992
single_random_i64,SmallRng,Old,,,15476889.0,ns,29445
single_random_i64,SmallRng,Old,,,13463368.0,ns,29898
single_random_i64,SmallRng,Old,,,16712921.0,ns,30351
single_random_i64,SmallRng,Old,,,8248668.0,ns,30804
single_random_i64,SmallRng,Old,,,13147638.0,ns,31257
single_random_i64,SmallRng,Old,,,11283715.0,ns,31710
single_random_i64,SmallRng,Old,,,11519992.0,ns,32163
single_random_i64,SmallRng,Old,,,14957306.0,ns,32616
single_random_i64,SmallRng,Old,,,29160369.0,ns,33069
single_random_i64,SmallRng,Old,,,9828172.0,ns,33522
single_random_i64,SmallRng,Old,,,12574896.0,ns,33975
single_random_i64,SmallRng,Old,,,21059448.0,ns,34428
single_random_i64,SmallRng,Old,,,31000317.0,ns,34881
single_random_i64,SmallRng,Old,,,20155651.0,ns,35334
single_random_i64,SmallRng,Old,,,22866995.0,ns,35787
single_random_i64,SmallRng,Old,,,22210710.0,ns,36240
single_random_i64,SmallRng,Old,,,11727122.0,ns,36693
single_random_i64,SmallRng,Old,,,20037291.0,ns,37146
single_random_i64,SmallRng,Old,,,30230269.0,ns,37599
single_random_i64,SmallRng,Old,,,33781035.0,ns,38052
single_random_i64,SmallRng,Old,,,15522046.0,ns,38505
single_random_i64,SmallRng,Old,,,22077301.0,ns,38958
single_random_i64,SmallRng,Old,,,19766022.0,ns,39411
single_random_i64,SmallRng,Old,,,8771758.0,ns,39864
single_random_i64,SmallRng,Old,,,24439424.0,ns,40317
single_random_i64,SmallRng,Old,,,21852221.0,ns,40770
single_random_i64,SmallRng,Old,,,36001421.0,ns,41223
single_random_i64,SmallRng,Old,,,15942469.0,ns,41676
single_random_i64,SmallRng,Old,,,12721266.0,ns,42129
single_random_i64,SmallRng,Old,,,37859816.0,ns,42582
single_random_i64,SmallRng,Old,,,39631523.0,ns,43035
single_random_i64,SmallRng,Old,,,18825514.0,ns,43488
single_random_i64,SmallRng,Old,,,25168371.0,ns,43941
single_random_i64,SmallRng,Old,,,22273190.0,ns,44394
single_random_i64,SmallRng,Old,,,20979461.0,ns,44847
single_random_i64,SmallRng,Old,,,34250493.0,ns,45300
