group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,ChaCha8Rng,Bitmask,,,258965.0,ns,347
single_random_i8,ChaCha8Rng,Bitmask,,,820636.0,ns,694
single_random_i8,ChaCha8Rng,Bitmask,,,462482.0,ns,1041
single_random_i8,ChaCha8Rng,Bitmask,,,988284.0,ns,1388
single_random_i8,ChaCha8Rng,Bitmask,,,1939239.0,ns,1735
single_random_i8,ChaCha8Rng,Bitmask,,,601376.0,ns,2082
single_random_i8,ChaCha8Rng,Bitmask,,,2809399.0,ns,2429
single_random_i8,ChaCha8Rng,Bitmask,,,800464.0,ns,2776
single_random_i8,ChaCha8Rng,Bitmask,,,3729920.0,ns,3123
single_random_i8,ChaCha8Rng,Bitmask,,,1891779.0,ns,3470
single_random_i8,ChaCha8Rng,Bitmask,,,4143006.0,ns,3817
single_random_i8,ChaCha8Rng,Bitmask,,,3516922.0,ns,4164
single_random_i8,ChaCha8Rng,Bitmask,,,1581108.0,ns,4511
single_random_i8,ChaCha8Rng,Bitmask,,,5748103.0,ns,4858
single_random_i8,ChaCha8Rng,Bitmask,,,3703514.0,ns,5205
single_random_i8,ChaCha8Rng,Bitmask,,,5486824.0,ns,5552
single_random_i8,ChaCha8Rng,Bitmask,,,6382537.0,ns,5899
single_random_i8,ChaCha8Rng,Bitmask,,,6173420.0,ns,6246
single_random_i8,ChaCha8Rng,Bitmask,,,6488738.0,ns,6593
single_random_i8,ChaCha8Rng,Bitmask,,,8228299.0,ns,6940
single_random_i8,ChaCha8Rng,Bitmask,,,5640091.0,ns,7287
single_random_i8,ChaCha8Rng,Bitmask,,,7930001.0,ns,7634
single_random_i8,ChaCha8Rng,Bitmask,,,9435230.0,ns,7981
single_random_i8,ChaCha8Rng,Bitmask,,,9743822.0,ns,8328
single_random_i8,ChaCha8Rng,Bitmask,,,2884033.0,ns,8675
single_random_i8,ChaCha8Rng,Bitmask,,,10295216.0,ns,9022
single_random_i8,ChaCha8Rng,Bitmask,,,8281687.0,ns,9369
single_random_i8,ChaCha8Rng,Bitmask,,,11378359.0,ns,9716
single_random_i8,ChaCha8Rng,Bitmask,,,9914456.0,ns,10063
single_random_i8,ChaCha8Rng,Bitmask,,,4034345.0,ns,10410
single_random_i8,ChaCha8Rng,Bitmask,,,8875847.0,ns,10757
single_random_i8,ChaCha8Rng,Bitmask,,,7051956.0,ns,11104
single_random_i8,ChaCha8Rng,Bitmask,,,12850293.0,ns,11451
single_random_i8,ChaCha8Rng,Bitmask,,,9459019.0,ns,11798
single_random_i8,ChaCha8Rng,Bitmask,,,6324413.0,ns,12145
single_random_i8,ChaCha8Rng,Bitmask,,,13409433.0,ns,12492
single_random_i8,ChaCha8Rng,Bitmask,,,7647805.0,ns,12839
single_random_i8,ChaCha8Rng,Bitmask,,,9410755.0,ns,13186
single_random_i8,ChaCha8Rng,Bitmask,,,15828686.0,ns,13533
single_random_i8,ChaCha8Rng,Bitmask,,,14215637.0,ns,13880
single_random_i8,ChaCha8Rng,Bitmask,,,16007991.0,ns,14227
single_random_i8,ChaCha8Rng,Bitmask,,,14022767.0,ns,14574
single_random_i8,ChaCha8Rng,Bitmask,,,5482748.0,ns,14921
single_random_i8,ChaCha8Rng,Bitmask,,,17410254.0,ns,15268
single_random_i8,ChaCha8Rng,Bitmask,,,18460315.0,ns,15615
single_random_i8,ChaCha8Rng,Bitmask,,,12861682.0,ns,15962
single_random_i8,ChaCha8Rng,Bitmask,,,9898346.0,ns,16309
single_random_i8,ChaCha8Rng,Bitmask,,,12623400.0,ns,16656
single_random_i8,ChaCha8Rng,Bitmask,,,9238516.0,ns,17003
single_random_i8,ChaCha8Rng,Bitmask,,,10314398.0,ns,17350
single_random_i8,ChaCha8Rng,Bitmask,,,7964809.0,ns,17697
single_random_i8,ChaCha8Rng,Bitmask,,,5203302.0,ns,18044
single_random_i8,ChaCha8Rng,Bitmask,,,13607585.0,ns,18391
single_random_i8,ChaCha8Rng,Bitmask,,,5404651.0,ns,18738
single_random_i8,ChaCha8Rng,Bitmask,,,18785110.0,ns,19085
single_random_i8,ChaCha8Rng,Bitmask,,,11529077.0,ns,19432
single_random_i8,ChaCha8Rng,Bitmask,,,6888680.0,ns,19779
single_random_i8,ChaCha8Rng,Bitmask,,,19308766.0,ns,20126
single_random_i8,ChaCha8Rng,Bitmask,,,24209158.0,ns,20473
single_random_i8,ChaCha8Rng,Bitmask,,,15229318.0,ns,20820
single_random_i8,ChaCha8Rng,Bitmask,,,16395260.0,ns,21167
single_random_i8,ChaCha8Rng,Bitmask,,,18817047.0,ns,21514
single_random_i8,ChaCha8Rng,Bitmask,,,21307365.0,ns,21861
single_random_i8,ChaCha8Rng,Bitmask,,,9989230.0,ns,22208
single_random_i8,ChaCha8Rng,Bitmask,,,13851513.0,ns,22555
single_random_i8,ChaCha8Rng,Bitmask,,,8419011.0,ns,22902
single_random_i8,ChaCha8Rng,Bitmask,,,19125954.0,ns,23249
single_random_i8,ChaCha8Rng,Bitmask,,,23248304.0,ns,23596
single_random_i8,ChaCha8Rng,Bitmask,,,6926629.0,ns,23943
single_random_i8,ChaCha8Rng,Bitmask,,,27291228.0,ns,24290
single_random_i8,ChaCha8Rng,Bitmask,,,10794207.0,ns,24637
single_random_i8,ChaCha8Rng,Bitmask,,,17665097.0,ns,24984
single_random_i8,ChaCha8Rng,Bitmask,,,11378154.0,ns,25331
single_random_i8,ChaCha8Rng,Bitmask,,,12691289.0,ns,25678
single_random_i8,ChaCha8Rng,Bitmask,,,27570303.0,ns,26025
single_random_i8,ChaCha8Rng,Bitmask,,,26937686.0,ns,26372
single_random_i8,ChaCha8Rng,Bitmask,,,29964514.0,ns,26719
single_random_i8,ChaCha8Rng,Bitmask,,,32041377.0,ns,27066
single_random_i8,ChaCha8Rng,Bitmask,,,28019305.0,ns,27413
single_random_i8,ChaCha8Rng,Bitmask,,,32820733.0,ns,27760
single_random_i8,ChaCha8Rng,Bitmask,,,21724298.0,ns,28107
single_random_i8,ChaCha8Rng,Bitmask,,,8213772.0,ns,28454
single_random_i8,ChaCha8Rng,Bitmask,,,10290834.0,ns,28801
single_random_i8,ChaCha8Rng,Bitmask,,,17693451.0,ns,29148
single_random_i8,ChaCha8Rng,Bitmask,,,15438236.0,ns,29495
single_random_i8,ChaCha8Rng,Bitmask,,,27268925.0,ns,29842
single_random_i8,ChaCha8Rng,Bitmask,,,23341682.0,ns,30189
single_random_i8,ChaCha8Rng,Bitmask,,,25192750.0,ns,30536
single_random_i8,ChaCha8Rng,Bitmask,,,16803969.0,ns,30883
single_random_i8,ChaCha8Rng,Bitmask,,,36969869.0,ns,31230
single_random_i8,ChaCha8Rng,Bitmask,,,14189774.0,ns,31577
single_random_i8,ChaCha8Rng,Bitmask,,,22593459.0,ns,31924
single_random_i8,ChaCha8Rng,Bitmask,,,38199963.0,ns,32271
single_random_i8,ChaCha8Rng,Bitmask,,,13267504.0,ns,32618
single_random_i8,ChaCha8Rng,Bitmask,,,21401399.0,ns,32965
single_random_i8,ChaCha8Rng,Bitmask,,,39387664.0,ns,33312
single_random_i8,ChaCha8Rng,Bitmask,,,17453423.0,ns,33659
single_random_i8,ChaCha8Rng,Bitmask,,,15290752.0,ns,34006
single_random_i8,ChaCha8Rng,Bitmask,,,24325446.0,ns,34353
single_random_i8,ChaCha8Rng,Bitmask,,,16358322.0,ns,34700
