group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,ChaCha8Rng,Canon-reduced,,,199904.0,ns,681
single_random_i8,ChaCha8Rng,Canon-reduced,,,407466.0,ns,1362
single_random_i8,ChaCha8Rng,Canon-reduced,,,613713.0,ns,2043
single_random_i8,ChaCha8Rng,Canon-reduced,,,802476.0,ns,2724
single_random_i8,ChaCha8Rng,Canon-reduced,,,1021342.0,ns,3405
single_random_i8,ChaCha8Rng,Canon-reduced,,,1179954.0,ns,4086
single_random_i8,ChaCha8Rng,Canon-reduced,,,1398951.0,ns,4767
single_random_i8,ChaCha8Rng,Canon-reduced,,,1513167.0,ns,5448
single_random_i8,ChaCha8Rng,Canon-reduced,,,1818445.0,ns,6129
single_random_i8,ChaCha8Rng,Canon-reduced,,,1895176.0,ns,6810
single_random_i8,ChaCha8Rng,Canon-reduced,,,2225156.0,ns,7491
single_random_i8,ChaCha8Rng,Canon-reduced,,,2400578.0,ns,8172
single_random_i8,ChaCha8Rng,Canon-reduced,,,2616559.0,ns,8853
single_random_i8,ChaCha8Rng,Canon-reduced,,,2767477.0,ns,9534
single_random_i8,ChaCha8Rng,Canon-reduced,,,3008437.0,ns,10215
single_random_i8,ChaCha8Rng,Canon-reduced,,,3169738.0,ns,10896
single_random_i8,ChaCha8Rng,Canon-reduced,,,3309427.0,ns,11577
single_random_i8,ChaCha8Rng,Canon-reduced,,,3595619.0,ns,12258
single_random_i8,ChaCha8Rng,Canon-reduced,,,3710394.0,ns,12939
single_random_i8,ChaCha8Rng,Canon-reduced,,,4036993.0,ns,13620
single_random_i8,ChaCha8Rng,Canon-reduced,,,4004443.0,ns,14301
single_random_i8,ChaCha8Rng,Canon-reduced,,,4345448.0,ns,14982
single_random_i8,ChaCha8Rng,Canon-reduced,,,4520228.0,ns,15663
single_random_i8,ChaCha8Rng,Canon-reduced,,,4811466.0,ns,16344
single_random_i8,ChaCha8Rng,Canon-reduced,,,4844132.0,ns,17025
