group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,Pcg32,Canon32,,,194367.0,ns,1027
single_random_i8,Pcg32,Canon32,,,392758.0,ns,2054
single_random_i8,Pcg32,Canon32,,,589896.0,ns,3081
single_random_i8,Pcg32,Canon32,,,783504.0,ns,4108
single_random_i8,Pcg32,Canon32,,,973929.0,ns,5135
single_random_i8,Pcg32,Canon32,,,1173364.0,ns,6162
single_random_i8,Pcg32,Canon32,,,1363068.0,ns,7189
single_random_i8,Pcg32,Canon32,,,1640475.0,ns,8216
single_random_i8,Pcg32,Canon32,,,1758301.0,ns,9243
single_random_i8,Pcg32,Canon32,,,1951054.0,ns,10270
single_random_i8,Pcg32,Canon32,,,2200894.0,ns,11297
single_random_i8,Pcg32,Canon32,,,2359115.0,ns,12324
single_random_i8,Pcg32,Canon32,,,2538525.0,ns,13351
single_random_i8,Pcg32,Canon32,,,2722338.0,ns,14378
single_random_i8,Pcg32,Canon32,,,2928920.0,ns,15405
single_random_i8,Pcg32,Canon32,,,3148510.0,ns,16432
single_random_i8,Pcg32,Canon32,,,3348149.0,ns,17459
single_random_i8,Pcg32,Canon32,,,3515482.0,ns,18486
single_random_i8,Pcg32,Canon32,,,3702971.0,ns,19513
single_random_i8,Pcg32,Canon32,,,3972220.0,ns,20540
single_random_i8,Pcg32,Canon32,,,4150095.0,ns,21567
single_random_i8,Pcg32,Canon32,,,4279823.0,ns,22594
single_random_i8,Pcg32,Canon32,,,4463591.0,ns,23621
single_random_i8,Pcg32,Canon32,,,4661531.0,ns,24648
single_random_i8,Pcg32,Canon32,,,4859939.0,ns,25675
single_random_i8,Pcg32,Canon32,,,5053398.0,ns,26702
single_random_i8,Pcg32,Canon32,,,5281516.0,ns,27729
single_random_i8,Pcg32,Canon32,,,5482130.0,ns,28756
single_random_i8,Pcg32,Canon32,,,5649679.0,ns,29783
single_random_i8,Pcg32,Canon32,,,5856210.0,ns,30810
single_random_i8,Pcg32,Canon32,,,6032215.0,ns,31837
single_random_i8,Pcg32,Canon32,,,6234029.0,ns,32864
single_random_i8,Pcg32,Canon32,,,6483123.0,ns,33891
single_random_i8,Pcg32,Canon32,,,6788143.0,ns,34918
single_random_i8,Pcg32,Canon32,,,6818448.0,ns,35945
single_random_i8,Pcg32,Canon32,,,7010941.0,ns,36972
single_random_i8,Pcg32,Canon32,,,7307809.0,ns,37999
single_random_i8,Pcg32,Canon32,,,7470069.0,ns,39026
single_random_i8,Pcg32,Canon32,,,7607601.0,ns,40053
single_random_i8,Pcg32,Canon32,,,7796468.0,ns,41080
single_random_i8,Pcg32,Canon32,,,8019514.0,ns,42107
single_random_i8,Pcg32,Canon32,,,8205103.0,ns,43134
single_random_i8,Pcg32,Canon32,,,8360437.0,ns,44161
single_random_i8,Pcg32,Canon32,,,8681427.0,ns,45188
single_random_i8,Pcg32,Canon32,,,8916190.0,ns,46215
single_random_i8,Pcg32,Canon32,,,9001637.0,ns,47242
single_random_i8,Pcg32,Canon32,,,9108233.0,ns,48269
single_random_i8,Pcg32,Canon32,,,9342941.0,ns,49296
single_random_i8,Pcg32,Canon32,,,9518422.0,ns,50323
single_random_i8,Pcg32,Canon32,,,9778887.0,ns,51350
single_random_i8,Pcg32,Canon32,,,9996173.0,ns,52377
single_random_i8,Pcg32,Canon32,,,10302576.0,ns,53404
single_random_i8,Pcg32,Canon32,,,10526356.0,ns,54431
single_random_i8,Pcg32,Canon32,,,10535569.0,ns,55458
