group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,Pcg32,Old,,,194805.0,ns,861
single_random_i8,Pcg32,Old,,,391161.0,ns,1722
single_random_i8,Pcg32,Old,,,584050.0,ns,2583
single_random_i8,Pcg32,Old,,,786017.0,ns,3444
single_random_i8,Pcg32,Old,,,1010651.0,ns,4305
single_random_i8,Pcg32,Old,,,1193749.0,ns,5166
single_random_i8,Pcg32,Old,,,1367502.0,ns,6027
single_random_i8,Pcg32,Old,,,1615866.0,ns,6888
single_random_i8,Pcg32,Old,,,1863470.0,ns,7749
single_random_i8,Pcg32,Old,,,1950910.0,ns,8610
single_random_i8,Pcg32,Old,,,2202789.0,ns,9471
single_random_i8,Pcg32,Old,,,2350965.0,ns,10332
single_random_i8,Pcg32,Old,,,2597618.0,ns,11193
single_random_i8,Pcg32,Old,,,2745967.0,ns,12054
single_random_i8,Pcg32,Old,,,2934087.0,ns,12915
single_random_i8,Pcg32,Old,,,3125730.0,ns,13776
single_random_i8,Pcg32,Old,,,3346678.0,ns,14637
single_random_i8,Pcg32,Old,,,3535192.0,ns,15498
single_random_i8,Pcg32,Old,,,3734675.0,ns,16359
single_random_i8,Pcg32,Old,,,3984211.0,ns,17220
single_random_i8,Pcg32,Old,,,4094175.0,ns,18081
single_random_i8,Pcg32,Old,,,4293025.0,ns,18942
single_random_i8,Pcg32,Old,,,4498915.0,ns,19803
single_random_i8,Pcg32,Old,,,4677710.0,ns,20664
single_random_i8,Pcg32,Old,,,4928705.0,ns,21525
single_random_i8,Pcg32,Old,,,5095867.0,ns,22386
single_random_i8,Pcg32,Old,,,5288582.0,ns,23247
single_random_i8,Pcg32,Old,,,5469921.0,ns,24108
single_random_i8,Pcg32,Old,,,5661405.0,ns,24969
single_random_i8,Pcg32,Old,,,5932934.0,ns,25830
single_random_i8,Pcg32,Old,,,6067140.0,ns,26691
single_random_i8,Pcg32,Old,,,6368040.0,ns,27552
single_random_i8,Pcg32,Old,,,6457003.0,ns,28413
single_random_i8,Pcg32,Old,,,6628453.0,ns,29274
single_random_i8,Pcg32,Old,,,6930470.0,ns,30135
single_random_i8,Pcg32,Old,,,7025016.0,ns,30996
single_random_i8,Pcg32,Old,,,7208909.0,ns,31857
single_random_i8,Pcg32,Old,,,7411857.0,ns,32718
single_random_i8,Pcg32,Old,,,7613546.0,ns,33579
single_random_i8,Pcg32,Old,,,7810901.0,ns,34440
single_random_i8,Pcg32,Old,,,8214824.0,ns,35301
single_random_i8,Pcg32,Old,,,8207268.0,ns,36162
single_random_i8,Pcg32,Old,,,8471626.0,ns,37023
single_random_i8,Pcg32,Old,,,8597742.0,ns,37884
single_random_i8,Pcg32,Old,,,8997125.0,ns,38745
single_random_i8,Pcg32,Old,,,9044325.0,ns,39606
single_random_i8,Pcg32,Old,,,9168800.0,ns,40467
single_random_i8,Pcg32,Old,,,9434845.0,ns,41328
single_random_i8,Pcg32,Old,,,9709006.0,ns,42189
single_random_i8,Pcg32,Old,,,9750252.0,ns,43050
single_random_i8,Pcg32,Old,,,9954848.0,ns,43911
single_random_i8,Pcg32,Old,,,10242644.0,ns,44772
single_random_i8,Pcg32,Old,,,10664505.0,ns,45633
single_random_i8,Pcg32,Old,,,10551771.0,ns,46494
single_random_i8,Pcg32,Old,,,10923804.0,ns,47355
single_random_i8,Pcg32,Old,,,10961192.0,ns,48216
single_random_i8,Pcg32,Old,,,11177535.0,ns,49077
single_random_i8,Pcg32,Old,,,11488427.0,ns,49938
single_random_i8,Pcg32,Old,,,11702306.0,ns,50799
single_random_i8,Pcg32,Old,,,11718141.0,ns,51660
single_random_i8,Pcg32,Old,,,11971236.0,ns,52521
single_random_i8,Pcg32,Old,,,12103116.0,ns,53382
single_random_i8,Pcg32,Old,,,12384417.0,ns,54243
single_random_i8,Pcg32,Old,,,12657950.0,ns,55104
single_random_i8,Pcg32,Old,,,12671962.0,ns,55965
single_random_i8,Pcg32,Old,,,12896199.0,ns,56826
single_random_i8,Pcg32,Old,,,13166913.0,ns,57687
single_random_i8,Pcg32,Old,,,13283135.0,ns,58548
single_random_i8,Pcg32,Old,,,13505098.0,ns,59409
single_random_i8,Pcg32,Old,,,13653620.0,ns,60270
single_random_i8,Pcg32,Old,,,14085664.0,ns,61131
single_random_i8,Pcg32,Old,,,14061757.0,ns,61992
single_random_i8,Pcg32,Old,,,14414148.0,ns,62853
single_random_i8,Pcg32,Old,,,14525228.0,ns,63714
single_random_i8,Pcg32,Old,,,14696314.0,ns,64575
single_random_i8,Pcg32,Old,,,14902579.0,ns,65436
single_random_i8,Pcg32,Old,,,15041187.0,ns,66297
single_random_i8,Pcg32,Old,,,15238059.0,ns,67158
single_random_i8,Pcg32,Old,,,15427688.0,ns,68019
single_random_i8,Pcg32,Old,,,15710742.0,ns,68880
single_random_i8,Pcg32,Old,,,15870847.0,ns,69741
single_random_i8,Pcg32,Old,,,16181140.0,ns,70602
single_random_i8,Pcg32,Old,,,16270454.0,ns,71463
single_random_i8,Pcg32,Old,,,16570645.0,ns,72324
single_random_i8,Pcg32,Old,,,16673488.0,ns,73185
single_random_i8,Pcg32,Old,,,16888189.0,ns,74046
single_random_i8,Pcg32,Old,,,17115902.0,ns,74907
single_random_i8,Pcg32,Old,,,17225316.0,ns,75768
single_random_i8,Pcg32,Old,,,17375894.0,ns,76629
single_random_i8,Pcg32,Old,,,17901853.0,ns,77490
single_random_i8,Pcg32,Old,,,17861945.0,ns,78351
single_random_i8,Pcg32,Old,,,18113244.0,ns,79212
single_random_i8,Pcg32,Old,,,18347220.0,ns,80073
single_random_i8,Pcg32,Old,,,18370876.0,ns,80934
single_random_i8,Pcg32,Old,,,18624931.0,ns,81795
single_random_i8,Pcg32,Old,,,18737574.0,ns,82656
single_random_i8,Pcg32,Old,,,18906769.0,ns,83517
single_random_i8,Pcg32,Old,,,19264370.0,ns,84378
single_random_i8,Pcg32,Old,,,19356926.0,ns,85239
single_random_i8,Pcg32,Old,,,19673702.0,ns,86100
