group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,Pcg64,ONeill,,,198617.0,ns,809
single_random_i8,Pcg64,ONeill,,,390218.0,ns,1618
single_random_i8,Pcg64,ONeill,,,581954.0,ns,2427
single_random_i8,Pcg64,ONeill,,,778844.0,ns,3236
single_random_i8,Pcg64,ONeill,,,972155.0,ns,4045
single_random_i8,Pcg64,ONeill,,,1166640.0,ns,4854
single_random_i8,Pcg64,ONeill,,,1399006.0,ns,5663
single_random_i8,Pcg64,ONeill,,,1552164.0,ns,6472
single_random_i8,Pcg64,ONeill,,,1762031.0,ns,7281
single_random_i8,Pcg64,ONeill,,,1969719.0,ns,8090
single_random_i8,Pcg64,ONeill,,,2212678.0,ns,8899
single_random_i8,Pcg64,ONeill,,,2337582.0,ns,9708
single_random_i8,Pcg64,ONeill,,,2541924.0,ns,10517
single_random_i8,Pcg64,ONeill,,,2738486.0,ns,11326
single_random_i8,Pcg64,ONeill,,,2922058.0,ns,12135
single_random_i8,Pcg64,ONeill,,,3117843.0,ns,12944
single_random_i8,Pcg64,ONeill,,,3619535.0,ns,13753
single_random_i8,Pcg64,ONeill,,,3624767.0,ns,14562
single_random_i8,Pcg64,ONeill,,,4032183.0,ns,15371
single_random_i8,Pcg64,ONeill,,,3988309.0,ns,16180
single_random_i8,Pcg64,ONeill,,,4086813.0,ns,16989
single_random_i8,Pcg64,ONeill,,,4538951.0,ns,17798
single_random_i8,Pcg64,ONeill,,,4509740.0,ns,18607
single_random_i8,Pcg64,ONeill,,,4915488.0,ns,19416
single_random_i8,Pcg64,ONeill,,,4861658.0,ns,20225
single_random_i8,Pcg64,ONeill,,,5349379.0,ns,21034
single_random_i8,Pcg64,ONeill,,,5335351.0,ns,21843
single_random_i8,Pcg64,ONeill,,,5708393.0,ns,22652
single_random_i8,Pcg64,ONeill,,,5638287.0,ns,23461
single_random_i8,Pcg64,ONeill,,,5830434.0,ns,24270
single_random_i8,Pcg64,ONeill,,,6138428.0,ns,25079
single_random_i8,Pcg64,ONeill,,,6685103.0,ns,25888
single_random_i8,Pcg64,ONeill,,,6931245.0,ns,26697
single_random_i8,Pcg64,ONeill,,,6612417.0,ns,27506
single_random_i8,Pcg64,ONeill,,,7011088.0,ns,28315
single_random_i8,Pcg64,ONeill,,,7197905.0,ns,29124
single_random_i8,Pcg64,ONeill,,,7531576.0,ns,29933
single_random_i8,Pcg64,ONeill,,,7500094.0,ns,30742
single_random_i8,Pcg64,ONeill,,,7585127.0,ns,31551
single_random_i8,Pcg64,ONeill,,,7892808.0,ns,32360
single_random_i8,Pcg64,ONeill,,,8348849.0,ns,33169
single_random_i8,Pcg64,ONeill,,,8164508.0,ns,33978
single_random_i8,Pcg64,ONeill,,,8387685.0,ns,34787
single_random_i8,Pcg64,ONeill,,,8632773.0,ns,35596
single_random_i8,Pcg64,ONeill,,,8909688.0,ns,36405
single_random_i8,Pcg64,ONeill,,,9190565.0,ns,37214
single_random_i8,Pcg64,ONeill,,,9257993.0,ns,38023
single_random_i8,Pcg64,ONeill,,,9602926.0,ns,38832
single_random_i8,Pcg64,ONeill,,,10047785.0,ns,39641
single_random_i8,Pcg64,ONeill,,,10107078.0,ns,40450
single_random_i8,Pcg64,ONeill,,,10625153.0,ns,41259
single_random_i8,Pcg64,ONeill,,,10250930.0,ns,42068
single_random_i8,Pcg64,ONeill,,,10721104.0,ns,42877
single_random_i8,Pcg64,ONeill,,,10756899.0,ns,43686
single_random_i8,Pcg64,ONeill,,,10893221.0,ns,44495
single_random_i8,Pcg64,ONeill,,,15942486.0,ns,45304
single_random_i8,Pcg64,ONeill,,,11127698.0,ns,46113
single_random_i8,Pcg64,ONeill,,,11456726.0,ns,46922
single_random_i8,Pcg64,ONeill,,,11966901.0,ns,47731
single_random_i8,Pcg64,ONeill,,,11992051.0,ns,48540
single_random_i8,Pcg64,ONeill,,,12019533.0,ns,49349
single_random_i8,Pcg64,ONeill,,,12392091.0,ns,50158
single_random_i8,Pcg64,ONeill,,,12456363.0,ns,50967
single_random_i8,Pcg64,ONeill,,,12477477.0,ns,51776
single_random_i8,Pcg64,ONeill,,,12907815.0,ns,52585
single_random_i8,Pcg64,ONeill,,,13003891.0,ns,53394
single_random_i8,Pcg64,ONeill,,,13290388.0,ns,54203
single_random_i8,Pcg64,ONeill,,,14161712.0,ns,55012
single_random_i8,Pcg64,ONeill,,,13640013.0,ns,55821
single_random_i8,Pcg64,ONeill,,,13704870.0,ns,56630
single_random_i8,Pcg64,ONeill,,,13844890.0,ns,57439
single_random_i8,Pcg64,ONeill,,,14479825.0,ns,58248
single_random_i8,Pcg64,ONeill,,,14698759.0,ns,59057
single_random_i8,Pcg64,ONeill,,,15006329.0,ns,59866
single_random_i8,Pcg64,ONeill,,,14708260.0,ns,60675
single_random_i8,Pcg64,ONeill,,,15016288.0,ns,61484
single_random_i8,Pcg64,ONeill,,,15814363.0,ns,62293
single_random_i8,Pcg64,ONeill,,,15255587.0,ns,63102
single_random_i8,Pcg64,ONeill,,,15796500.0,ns,63911
single_random_i8,Pcg64,ONeill,,,15630498.0,ns,64720
single_random_i8,Pcg64,ONeill,,,16432435.0,ns,65529
single_random_i8,Pcg64,ONeill,,,16643493.0,ns,66338
single_random_i8,Pcg64,ONeill,,,16934211.0,ns,67147
single_random_i8,Pcg64,ONeill,,,17058885.0,ns,67956
single_random_i8,Pcg64,ONeill,,,16984762.0,ns,68765
