group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,ChaCha8Rng,Lemire,,,190870.0,ns,708
distr_random_i128,ChaCha8Rng,Lemire,,,370498.0,ns,1416
distr_random_i128,ChaCha8Rng,Lemire,,,479764.0,ns,2124
distr_random_i128,ChaCha8Rng,Lemire,,,687364.0,ns,2832
distr_random_i128,ChaCha8Rng,Lemire,,,1461985.0,ns,3540
distr_random_i128,ChaCha8Rng,Lemire,,,2646226.0,ns,4248
distr_random_i128,ChaCha8Rng,Lemire,,,1563266.0,ns,4956
distr_random_i128,ChaCha8Rng,Lemire,,,1583192.0,ns,5664
distr_random_i128,ChaCha8Rng,Lemire,,,1450573.0,ns,6372
distr_random_i128,ChaCha8Rng,Lemire,,,1835108.0,ns,7080
distr_random_i128,ChaCha8Rng,Lemire,,,2576345.0,ns,7788
distr_random_i128,ChaCha8Rng,Lemire,,,2781050.0,ns,8496
distr_random_i128,ChaCha8Rng,Lemire,,,6246730.0,ns,9204
distr_random_i128,ChaCha8Rng,Lemire,,,2857935.0,ns,9912
distr_random_i128,ChaCha8Rng,Lemire,,,7130665.0,ns,10620
distr_random_i128,ChaCha8Rng,Lemire,,,2618834.0,ns,11328
distr_random_i128,ChaCha8Rng,Lemire,,,7727580.0,ns,12036
distr_random_i128,ChaCha8Rng,Lemire,,,4510008.0,ns,12744
distr_random_i128,ChaCha8Rng,Lemire,,,4688034.0,ns,13452
distr_random_i128,ChaCha8Rng,Lemire,,,5361292.0,ns,14160
distr_random_i128,ChaCha8Rng,Lemire,,,5220286.0,ns,14868
distr_random_i128,ChaCha8Rng,Lemire,,,4146052.0,ns,15576
distr_random_i128,ChaCha8Rng,Lemire,,,4566234.0,ns,16284
distr_random_i128,ChaCha8Rng,Lemire,,,5573421.0,ns,16992
distr_random_i128,ChaCha8Rng,Lemire,,,8544680.0,ns,17700
distr_random_i128,ChaCha8Rng,Lemire,,,12428198.0,ns,18408
distr_random_i128,ChaCha8Rng,Lemire,,,4755110.0,ns,19116
distr_random_i128,ChaCha8Rng,Lemire,,,4554913.0,ns,19824
distr_random_i128,ChaCha8Rng,Lemire,,,6415418.0,ns,20532
distr_random_i128,ChaCha8Rng,Lemire,,,4878322.0,ns,21240
distr_random_i128,ChaCha8Rng,Lemire,,,6554780.0,ns,21948
distr_random_i128,ChaCha8Rng,Lemire,,,5344991.0,ns,22656
distr_random_i128,ChaCha8Rng,Lemire,,,6757021.0,ns,23364
distr_random_i128,ChaCha8Rng,Lemire,,,7158919.0,ns,24072
distr_random_i128,ChaCha8Rng,Lemire,,,5783558.0,ns,24780
distr_random_i128,ChaCha8Rng,Lemire,,,6918967.0,ns,25488
distr_random_i128,ChaCha8Rng,Lemire,,,18436909.0,ns,26196
distr_random_i128,ChaCha8Rng,Lemire,,,6034019.0,ns,26904
distr_random_i128,ChaCha8Rng,Lemire,,,6373809.0,ns,27612
distr_random_i128,ChaCha8Rng,Lemire,,,13583334.0,ns,28320
distr_random_i128,ChaCha8Rng,Lemire,,,8359961.0,ns,29028
distr_random_i128,ChaCha8Rng,Lemire,,,7825635.0,ns,29736
distr_random_i128,ChaCha8Rng,Lemire,,,10905007.0,ns,30444
distr_random_i128,ChaCha8Rng,Lemire,,,7074229.0,ns,31152
distr_random_i128,ChaCha8Rng,Lemire,,,9593095.0,ns,31860
distr_random_i128,ChaCha8Rng,Lemire,,,7838619.0,ns,32568
distr_random_i128,ChaCha8Rng,Lemire,,,7718283.0,ns,33276
distr_random_i128,ChaCha8Rng,Lemire,,,13365443.0,ns,33984
distr_random_i128,ChaCha8Rng,Lemire,,,9016258.0,ns,34692
distr_random_i128,ChaCha8Rng,Lemire,,,8141200.0,ns,35400
distr_random_i128,ChaCha8Rng,Lemire,,,12940973.0,ns,36108
distr_random_i128,ChaCha8Rng,Lemire,,,13097238.0,ns,36816
distr_random_i128,ChaCha8Rng,Lemire,,,8771628.0,ns,37524
distr_random_i128,ChaCha8Rng,Lemire,,,11270677.0,ns,38232
distr_random_i128,ChaCha8Rng,Lemire,,,15269881.0,ns,38940
distr_random_i128,ChaCha8Rng,Lemire,,,9688986.0,ns,39648
distr_random_i128,ChaCha8Rng,Lemire,,,9449003.0,ns,40356
distr_random_i128,ChaCha8Rng,Lemire,,,14907940.0,ns,41064
