group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,Pcg64,Canon32,,,196911.0,ns,2697
distr_random_i16,Pcg64,Canon32,,,393802.0,ns,5394
distr_random_i16,Pcg64,Canon32,,,594420.0,ns,8091
distr_random_i16,Pcg64,Canon32,,,789137.0,ns,10788
distr_random_i16,Pcg64,Canon32,,,985587.0,ns,13485
distr_random_i16,Pcg64,Canon32,,,1182669.0,ns,16182
distr_random_i16,Pcg64,Canon32,,,1379940.0,ns,18879
distr_random_i16,Pcg64,Canon32,,,1585397.0,ns,21576
distr_random_i16,Pcg64,Canon32,,,1776627.0,ns,24273
distr_random_i16,Pcg64,Canon32,,,1974340.0,ns,26970
distr_random_i16,Pcg64,Canon32,,,2160782.0,ns,29667
distr_random_i16,Pcg64,Canon32,,,2364906.0,ns,32364
distr_random_i16,Pcg64,Canon32,,,2563460.0,ns,35061
distr_random_i16,Pcg64,Canon32,,,2759679.0,ns,37758
distr_random_i16,Pcg64,Canon32,,,2956340.0,ns,40455
distr_random_i16,Pcg64,Canon32,,,3163040.0,ns,43152
distr_random_i16,Pcg64,Canon32,,,3350784.0,ns,45849
distr_random_i16,Pcg64,Canon32,,,3547674.0,ns,48546
distr_random_i16,Pcg64,Canon32,,,3742061.0,ns,51243
distr_random_i16,Pcg64,Canon32,,,3942649.0,ns,53940
distr_random_i16,Pcg64,Canon32,,,4139771.0,ns,56637
distr_random_i16,Pcg64,Canon32,,,4372860.0,ns,59334
distr_random_i16,Pcg64,Canon32,,,4533482.0,ns,62031
distr_random_i16,Pcg64,Canon32,,,4733478.0,ns,64728
distr_random_i16,Pcg64,Canon32,,,4929258.0,ns,67425
distr_random_i16,Pcg64,Canon32,,,5124866.0,ns,70122
distr_random_i16,Pcg64,Canon32,,,5310707.0,ns,72819
distr_random_i16,Pcg64,Canon32,,,5520322.0,ns,75516
distr_random_i16,Pcg64,Canon32,,,5708206.0,ns,78213
distr_random_i16,Pcg64,Canon32,,,5900869.0,ns,80910
distr_random_i16,Pcg64,Canon32,,,6091418.0,ns,83607
distr_random_i16,Pcg64,Canon32,,,6292076.0,ns,86304
distr_random_i16,Pcg64,Canon32,,,6481042.0,ns,89001
distr_random_i16,Pcg64,Canon32,,,6684465.0,ns,91698
distr_random_i16,Pcg64,Canon32,,,6875756.0,ns,94395
distr_random_i16,Pcg64,Canon32,,,7072676.0,ns,97092
distr_random_i16,Pcg64,Canon32,,,7271912.0,ns,99789
distr_random_i16,Pcg64,Canon32,,,7457832.0,ns,102486
