group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,SmallRng,Canon32-2,,,195318.0,ns,3384
distr_random_i16,SmallRng,Canon32-2,,,390646.0,ns,6768
distr_random_i16,SmallRng,Canon32-2,,,587327.0,ns,10152
distr_random_i16,SmallRng,Canon32-2,,,782254.0,ns,13536
distr_random_i16,SmallRng,Canon32-2,,,977592.0,ns,16920
distr_random_i16,SmallRng,Canon32-2,,,1175796.0,ns,20304
distr_random_i16,SmallRng,Canon32-2,,,1368398.0,ns,23688
distr_random_i16,SmallRng,Canon32-2,,,1564909.0,ns,27072
distr_random_i16,SmallRng,Canon32-2,,,1758854.0,ns,30456
distr_random_i16,SmallRng,Canon32-2,,,1963309.0,ns,33840
distr_random_i16,SmallRng,Canon32-2,,,2151534.0,ns,37224
distr_random_i16,SmallRng,Canon32-2,,,2347243.0,ns,40608
distr_random_i16,SmallRng,Canon32-2,,,2543933.0,ns,43992
distr_random_i16,SmallRng,Canon32-2,,,2741746.0,ns,47376
distr_random_i16,SmallRng,Canon32-2,,,2938156.0,ns,50760
distr_random_i16,SmallRng,Canon32-2,,,3135147.0,ns,54144
distr_random_i16,SmallRng,Canon32-2,,,3323873.0,ns,57528
distr_random_i16,SmallRng,Canon32-2,,,3519732.0,ns,60912
distr_random_i16,SmallRng,Canon32-2,,,3709800.0,ns,64296
distr_random_i16,SmallRng,Canon32-2,,,3911821.0,ns,67680
distr_random_i16,SmallRng,Canon32-2,,,4106498.0,ns,71064
distr_random_i16,SmallRng,Canon32-2,,,4296997.0,ns,74448
distr_random_i16,SmallRng,Canon32-2,,,4497324.0,ns,77832
distr_random_i16,SmallRng,Canon32-2,,,4692141.0,ns,81216
distr_random_i16,SmallRng,Canon32-2,,,4888321.0,ns,84600
distr_random_i16,SmallRng,Canon32-2,,,5083428.0,ns,87984
distr_random_i16,SmallRng,Canon32-2,,,5279698.0,ns,91368
distr_random_i16,SmallRng,Canon32-2,,,5469756.0,ns,94752
distr_random_i16,SmallRng,Canon32-2,,,5672989.0,ns,98136
distr_random_i16,SmallRng,Canon32-2,,,5866955.0,ns,101520
distr_random_i16,SmallRng,Canon32-2,,,6061391.0,ns,104904
distr_random_i16,SmallRng,Canon32-2,,,6251219.0,ns,108288
distr_random_i16,SmallRng,Canon32-2,,,6457037.0,ns,111672
distr_random_i16,SmallRng,Canon32-2,,,6638488.0,ns,115056
distr_random_i16,SmallRng,Canon32-2,,,6830079.0,ns,118440
distr_random_i16,SmallRng,Canon32-2,,,7026168.0,ns,121824
distr_random_i16,SmallRng,Canon32-2,,,7225975.0,ns,125208
distr_random_i16,SmallRng,Canon32-2,,,7408569.0,ns,128592
distr_random_i16,SmallRng,Canon32-2,,,7608015.0,ns,131976
distr_random_i16,SmallRng,Canon32-2,,,7798764.0,ns,135360
distr_random_i16,SmallRng,Canon32-2,,,7992750.0,ns,138744
distr_random_i16,SmallRng,Canon32-2,,,8179321.0,ns,142128
distr_random_i16,SmallRng,Canon32-2,,,8373748.0,ns,145512
distr_random_i16,SmallRng,Canon32-2,,,8560380.0,ns,148896
distr_random_i16,SmallRng,Canon32-2,,,8766097.0,ns,152280
distr_random_i16,SmallRng,Canon32-2,,,8950855.0,ns,155664
distr_random_i16,SmallRng,Canon32-2,,,9141544.0,ns,159048
distr_random_i16,SmallRng,Canon32-2,,,9340630.0,ns,162432
distr_random_i16,SmallRng,Canon32-2,,,9530979.0,ns,165816
distr_random_i16,SmallRng,Canon32-2,,,9724894.0,ns,169200
distr_random_i16,SmallRng,Canon32-2,,,9919511.0,ns,172584
distr_random_i16,SmallRng,Canon32-2,,,10114007.0,ns,175968
distr_random_i16,SmallRng,Canon32-2,,,10309695.0,ns,179352
distr_random_i16,SmallRng,Canon32-2,,,10502128.0,ns,182736
distr_random_i16,SmallRng,Canon32-2,,,10698980.0,ns,186120
distr_random_i16,SmallRng,Canon32-2,,,10909556.0,ns,189504
distr_random_i16,SmallRng,Canon32-2,,,11153235.0,ns,192888
distr_random_i16,SmallRng,Canon32-2,,,11316072.0,ns,196272
distr_random_i16,SmallRng,Canon32-2,,,11514826.0,ns,199656
distr_random_i16,SmallRng,Canon32-2,,,11704784.0,ns,203040
distr_random_i16,SmallRng,Canon32-2,,,11867962.0,ns,206424
distr_random_i16,SmallRng,Canon32-2,,,12071795.0,ns,209808
distr_random_i16,SmallRng,Canon32-2,,,12268326.0,ns,213192
distr_random_i16,SmallRng,Canon32-2,,,12454006.0,ns,216576
distr_random_i16,SmallRng,Canon32-2,,,12658692.0,ns,219960
distr_random_i16,SmallRng,Canon32-2,,,12837569.0,ns,223344
distr_random_i16,SmallRng,Canon32-2,,,13036694.0,ns,226728
distr_random_i16,SmallRng,Canon32-2,,,13234616.0,ns,230112
distr_random_i16,SmallRng,Canon32-2,,,13427660.0,ns,233496
distr_random_i16,SmallRng,Canon32-2,,,13615675.0,ns,236880
distr_random_i16,SmallRng,Canon32-2,,,13810081.0,ns,240264
distr_random_i16,SmallRng,Canon32-2,,,13998987.0,ns,243648
distr_random_i16,SmallRng,Canon32-2,,,14187812.0,ns,247032
distr_random_i16,SmallRng,Canon32-2,,,14389984.0,ns,250416
distr_random_i16,SmallRng,Canon32-2,,,14583248.0,ns,253800
distr_random_i16,SmallRng,Canon32-2,,,14760722.0,ns,257184
distr_random_i16,SmallRng,Canon32-2,,,14960509.0,ns,260568
distr_random_i16,SmallRng,Canon32-2,,,15164663.0,ns,263952
distr_random_i16,SmallRng,Canon32-2,,,15349693.0,ns,267336
distr_random_i16,SmallRng,Canon32-2,,,15537145.0,ns,270720
distr_random_i16,SmallRng,Canon32-2,,,15738124.0,ns,274104
distr_random_i16,SmallRng,Canon32-2,,,15926719.0,ns,277488
distr_random_i16,SmallRng,Canon32-2,,,16134200.0,ns,280872
distr_random_i16,SmallRng,Canon32-2,,,16318006.0,ns,284256
distr_random_i16,SmallRng,Canon32-2,,,16509327.0,ns,287640
distr_random_i16,SmallRng,Canon32-2,,,16703012.0,ns,291024
distr_random_i16,SmallRng,Canon32-2,,,16903960.0,ns,294408
distr_random_i16,SmallRng,Canon32-2,,,17089751.0,ns,297792
distr_random_i16,SmallRng,Canon32-2,,,17284568.0,ns,301176
distr_random_i16,SmallRng,Canon32-2,,,17483943.0,ns,304560
distr_random_i16,SmallRng,Canon32-2,,,17677709.0,ns,307944
distr_random_i16,SmallRng,Canon32-2,,,17878277.0,ns,311328
distr_random_i16,SmallRng,Canon32-2,,,18045000.0,ns,314712
distr_random_i16,SmallRng,Canon32-2,,,18251860.0,ns,318096
distr_random_i16,SmallRng,Canon32-2,,,18443342.0,ns,321480
distr_random_i16,SmallRng,Canon32-2,,,18642627.0,ns,324864
distr_random_i16,SmallRng,Canon32-2,,,18835310.0,ns,328248
distr_random_i16,SmallRng,Canon32-2,,,19034465.0,ns,331632
distr_random_i16,SmallRng,Canon32-2,,,19261623.0,ns,335016
distr_random_i16,SmallRng,Canon32-2,,,19420212.0,ns,338400
