group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,198814.0,ns,2023
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,398020.0,ns,4046
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,592587.0,ns,6069
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,787945.0,ns,8092
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,987410.0,ns,10115
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1184131.0,ns,12138
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1388696.0,ns,14161
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1582983.0,ns,16184
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1778130.0,ns,18207
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,1972597.0,ns,20230
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2174377.0,ns,22253
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2366159.0,ns,24276
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2562228.0,ns,26299
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2766202.0,ns,28322
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,2958444.0,ns,30345
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3167038.0,ns,32368
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3348910.0,ns,34391
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3539800.0,ns,36414
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3741861.0,ns,38437
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,3949121.0,ns,40460
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4158656.0,ns,42483
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4340939.0,ns,44506
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4536598.0,ns,46529
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4737426.0,ns,48552
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,4929107.0,ns,50575
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5121790.0,ns,52598
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5330063.0,ns,54621
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5520662.0,ns,56644
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5711882.0,ns,58667
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,5958537.0,ns,60690
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,6143696.0,ns,62713
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,6316601.0,ns,64736
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,6494858.0,ns,66759
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,6696979.0,ns,68782
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,6910601.0,ns,70805
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,7088156.0,ns,72828
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,7297089.0,ns,74851
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,7523867.0,ns,76874
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,7737519.0,ns,78897
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,7924341.0,ns,80920
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,8113507.0,ns,82943
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,8298186.0,ns,84966
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,8513822.0,ns,86989
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,8728647.0,ns,89012
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,8920518.0,ns,91035
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,9139571.0,ns,93058
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,9338706.0,ns,95081
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,9501633.0,ns,97104
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,9740744.0,ns,99127
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,9898801.0,ns,101150
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,10108707.0,ns,103173
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,10300559.0,ns,105196
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,10510444.0,ns,107219
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,10661689.0,ns,109242
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,10880391.0,ns,111265
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,11046273.0,ns,113288
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,11309620.0,ns,115311
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,11468850.0,ns,117334
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,11653477.0,ns,119357
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,11871969.0,ns,121380
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,12084069.0,ns,123403
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,12205277.0,ns,125426
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,12423769.0,ns,127449
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,12594671.0,ns,129472
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,12795720.0,ns,131495
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,13070838.0,ns,133518
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,13260656.0,ns,135541
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,13470511.0,ns,137564
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,13712247.0,ns,139587
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,13860406.0,ns,141610
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,13987365.0,ns,143633
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,14207530.0,ns,145656
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,14422565.0,ns,147679
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,14632881.0,ns,149702
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,14846865.0,ns,151725
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,15053213.0,ns,153748
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,15230608.0,ns,155771
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,15430755.0,ns,157794
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,15591387.0,ns,159817
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,15788509.0,ns,161840
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,15964070.0,ns,163863
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,16148838.0,ns,165886
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,16404719.0,ns,167909
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,16698814.0,ns,169932
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,16806877.0,ns,171955
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,16969594.0,ns,173978
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,17119146.0,ns,176001
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,17318111.0,ns,178024
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,17592438.0,ns,180047
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,17835405.0,ns,182070
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,18014683.0,ns,184093
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,18196666.0,ns,186116
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,18433442.0,ns,188139
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,18610416.0,ns,190162
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,18826954.0,ns,192185
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,18991153.0,ns,194208
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,19180169.0,ns,196231
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,19297140.0,ns,198254
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,19512015.0,ns,200277
distr_random_i32,ChaCha8Rng,Canon-Lemire,,,19808032.0,ns,202300
