group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,Pcg32,Canon32-2,,,85311.0,ns,1005
distr_random_i32,Pcg32,Canon32-2,,,458473.0,ns,2010
distr_random_i32,Pcg32,Canon32-2,,,267734.0,ns,3015
distr_random_i32,Pcg32,Canon32-2,,,744863.0,ns,4020
distr_random_i32,Pcg32,Canon32-2,,,924171.0,ns,5025
distr_random_i32,Pcg32,Canon32-2,,,1127033.0,ns,6030
distr_random_i32,Pcg32,Canon32-2,,,1400338.0,ns,7035
distr_random_i32,Pcg32,Canon32-2,,,1882277.0,ns,8040
distr_random_i32,Pcg32,Canon32-2,,,491325.0,ns,9045
distr_random_i32,Pcg32,Canon32-2,,,1578264.0,ns,10050
distr_random_i32,Pcg32,Canon32-2,,,1824207.0,ns,11055
distr_random_i32,Pcg32,Canon32-2,,,1067872.0,ns,12060
distr_random_i32,Pcg32,Canon32-2,,,860681.0,ns,13065
distr_random_i32,Pcg32,Canon32-2,,,2059751.0,ns,14070
distr_random_i32,Pcg32,Canon32-2,,,2425771.0,ns,15075
distr_random_i32,Pcg32,Canon32-2,,,846715.0,ns,16080
distr_random_i32,Pcg32,Canon32-2,,,1032375.0,ns,17085
distr_random_i32,Pcg32,Canon32-2,,,1078692.0,ns,18090
distr_random_i32,Pcg32,Canon32-2,,,1348250.0,ns,19095
distr_random_i32,Pcg32,Canon32-2,,,4639522.0,ns,20100
distr_random_i32,Pcg32,Canon32-2,,,5085482.0,ns,21105
distr_random_i32,Pcg32,Canon32-2,,,5370248.0,ns,22110
distr_random_i32,Pcg32,Canon32-2,,,2066954.0,ns,23115
distr_random_i32,Pcg32,Canon32-2,,,1261016.0,ns,24120
distr_random_i32,Pcg32,Canon32-2,,,5378303.0,ns,25125
distr_random_i32,Pcg32,Canon32-2,,,4176710.0,ns,26130
distr_random_i32,Pcg32,Canon32-2,,,3397983.0,ns,27135
distr_random_i32,Pcg32,Canon32-2,,,2100058.0,ns,28140
distr_random_i32,Pcg32,Canon32-2,,,2313820.0,ns,29145
distr_random_i32,Pcg32,Canon32-2,,,4788573.0,ns,30150
distr_random_i32,Pcg32,Canon32-2,,,1626614.0,ns,31155
distr_random_i32,Pcg32,Canon32-2,,,7574472.0,ns,32160
distr_random_i32,Pcg32,Canon32-2,,,7937717.0,ns,33165
distr_random_i32,Pcg32,Canon32-2,,,1991973.0,ns,34170
distr_random_i32,Pcg32,Canon32-2,,,4159117.0,ns,35175
distr_random_i32,Pcg32,Canon32-2,,,6659408.0,ns,36180
distr_random_i32,Pcg32,Canon32-2,,,3369188.0,ns,37185
distr_random_i32,Pcg32,Canon32-2,,,1979691.0,ns,38190
distr_random_i32,Pcg32,Canon32-2,,,8798278.0,ns,39195
distr_random_i32,Pcg32,Canon32-2,,,2153377.0,ns,40200
distr_random_i32,Pcg32,Canon32-2,,,9676402.0,ns,41205
distr_random_i32,Pcg32,Canon32-2,,,4097971.0,ns,42210
distr_random_i32,Pcg32,Canon32-2,,,10120669.0,ns,43215
distr_random_i32,Pcg32,Canon32-2,,,5262465.0,ns,44220
distr_random_i32,Pcg32,Canon32-2,,,10939302.0,ns,45225
distr_random_i32,Pcg32,Canon32-2,,,10237439.0,ns,46230
distr_random_i32,Pcg32,Canon32-2,,,7203663.0,ns,47235
distr_random_i32,Pcg32,Canon32-2,,,3736731.0,ns,48240
distr_random_i32,Pcg32,Canon32-2,,,5885679.0,ns,49245
distr_random_i32,Pcg32,Canon32-2,,,6656242.0,ns,50250
distr_random_i32,Pcg32,Canon32-2,,,7618475.0,ns,51255
distr_random_i32,Pcg32,Canon32-2,,,3361313.0,ns,52260
distr_random_i32,Pcg32,Canon32-2,,,12826468.0,ns,53265
distr_random_i32,Pcg32,Canon32-2,,,5871262.0,ns,54270
distr_random_i32,Pcg32,Canon32-2,,,4394720.0,ns,55275
distr_random_i32,Pcg32,Canon32-2,,,13495108.0,ns,56280
distr_random_i32,Pcg32,Canon32-2,,,12598298.0,ns,57285
distr_random_i32,Pcg32,Canon32-2,,,13924186.0,ns,58290
distr_random_i32,Pcg32,Canon32-2,,,5549888.0,ns,59295
distr_random_i32,Pcg32,Canon32-2,,,14573880.0,ns,60300
distr_random_i32,Pcg32,Canon32-2,,,14182973.0,ns,61305
distr_random_i32,Pcg32,Canon32-2,,,10332899.0,ns,62310
distr_random_i32,Pcg32,Canon32-2,,,7482789.0,ns,63315
distr_random_i32,Pcg32,Canon32-2,,,6870275.0,ns,64320
distr_random_i32,Pcg32,Canon32-2,,,15134426.0,ns,65325
distr_random_i32,Pcg32,Canon32-2,,,3699831.0,ns,66330
distr_random_i32,Pcg32,Canon32-2,,,3596216.0,ns,67335
distr_random_i32,Pcg32,Canon32-2,,,9238307.0,ns,68340
distr_random_i32,Pcg32,Canon32-2,,,3605373.0,ns,69345
distr_random_i32,Pcg32,Canon32-2,,,5921006.0,ns,70350
distr_random_i32,Pcg32,Canon32-2,,,11241851.0,ns,71355
distr_random_i32,Pcg32,Canon32-2,,,11883221.0,ns,72360
distr_random_i32,Pcg32,Canon32-2,,,4063237.0,ns,73365
distr_random_i32,Pcg32,Canon32-2,,,16821495.0,ns,74370
distr_random_i32,Pcg32,Canon32-2,,,4093703.0,ns,75375
distr_random_i32,Pcg32,Canon32-2,,,17835285.0,ns,76380
distr_random_i32,Pcg32,Canon32-2,,,17014098.0,ns,77385
distr_random_i32,Pcg32,Canon32-2,,,6980362.0,ns,78390
distr_random_i32,Pcg32,Canon32-2,,,18889221.0,ns,79395
distr_random_i32,Pcg32,Canon32-2,,,17816270.0,ns,80400
distr_random_i32,Pcg32,Canon32-2,,,4274424.0,ns,81405
distr_random_i32,Pcg32,Canon32-2,,,6217525.0,ns,82410
distr_random_i32,Pcg32,Canon32-2,,,13972507.0,ns,83415
distr_random_i32,Pcg32,Canon32-2,,,18460504.0,ns,84420
distr_random_i32,Pcg32,Canon32-2,,,6368600.0,ns,85425
distr_random_i32,Pcg32,Canon32-2,,,6220662.0,ns,86430
distr_random_i32,Pcg32,Canon32-2,,,11695246.0,ns,87435
distr_random_i32,Pcg32,Canon32-2,,,4648679.0,ns,88440
distr_random_i32,Pcg32,Canon32-2,,,21567758.0,ns,89445
distr_random_i32,Pcg32,Canon32-2,,,5489924.0,ns,90450
distr_random_i32,Pcg32,Canon32-2,,,22127193.0,ns,91455
distr_random_i32,Pcg32,Canon32-2,,,9321855.0,ns,92460
distr_random_i32,Pcg32,Canon32-2,,,22409695.0,ns,93465
distr_random_i32,Pcg32,Canon32-2,,,10164763.0,ns,94470
distr_random_i32,Pcg32,Canon32-2,,,5650015.0,ns,95475
distr_random_i32,Pcg32,Canon32-2,,,10344020.0,ns,96480
distr_random_i32,Pcg32,Canon32-2,,,23603874.0,ns,97485
distr_random_i32,Pcg32,Canon32-2,,,11990503.0,ns,98490
distr_random_i32,Pcg32,Canon32-2,,,23177451.0,ns,99495
distr_random_i32,Pcg32,Canon32-2,,,6791737.0,ns,100500
